"Alter"	"<20a"	"<25a"	"<30a"	"<40a"	">40a"	"<20a"	"<25a"	"<30a"	"<40a"	">40a"
#Zahl	228	408	320	150	65	±	±	±	±	±
0	0.44	0	0.31	0	0	0.44	0.00	0.31	0.00	0.00
1	0	0	0.31	0	0	0.00	0.00	0.31	0.00	0.00
2	0.88	0	0.31	0.67	0	0.62	0.00	0.31	0.67	0.00
3	3.07	1.72	1.88	0.67	0	1.16	0.65	0.77	0.67	0.00
4	8.33	5.64	4.69	1.33	0	1.91	1.18	1.21	0.94	0.00
5	9.65	11.52	7.81	0	1.54	2.06	1.68	1.56	0.00	1.54
6	17.54	20.34	11.88	4	0	2.77	2.23	1.93	1.63	0.00
7	10.53	12.75	10.63	5.33	0	2.15	1.77	1.82	1.89	0.00
8	9.21	13.97	13.13	4.67	0	2.01	1.85	2.03	1.76	0.00
9	8.33	5.88	6.88	8	0	1.91	1.20	1.47	2.31	0.00
10	7.46	7.11	10.94	9.33	0	1.81	1.32	1.85	2.49	0.00
11	5.7	6.62	7.19	9.33	3.08	1.58	1.27	1.50	2.49	2.18
12	7.46	3.92	7.5	7.33	3.08	1.81	0.98	1.53	2.21	2.18
13	6.58	2.94	3.13	8.67	1.54	1.70	0.85	0.99	2.40	1.54
14	3.07	3.43	5.31	9.33	3.08	1.16	0.92	1.29	2.49	2.18
15	1.75	1.47	2.19	6	6.15	0.88	0.60	0.83	2.00	3.08
16	0	1.23	0.94	6.67	6.15	0.00	0.55	0.54	2.11	3.08
17	0	0.49	1.88	2	1.54	0.00	0.35	0.77	1.15	1.54
18	0	0.49	0.94	4	3.08	0.00	0.35	0.54	1.63	2.18
19	0	0.25	0.31	0.67	1.54	0.00	0.25	0.31	0.67	1.54
20	0	0.25	0.94	1.33	4.62	0.00	0.25	0.54	0.94	2.66
21	0	0	0.31	2	3.08	0.00	0.00	0.31	1.15	2.18
22	0	0	0.63	2	3.08	0.00	0.00	0.44	1.15	2.18
23	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
24	0	0	0	2	4.62	0.00	0.00	0.00	1.15	2.66
25	0	0	0	1.33	4.62	0.00	0.00	0.00	0.94	2.66
26	0	0	0	0.67	4.62	0.00	0.00	0.00	0.67	2.66
27	0	0	0	0	6.15	0.00	0.00	0.00	0.00	3.08
28	0	0	0	0	3.08	0.00	0.00	0.00	0.00	2.18
29	0	0	0	0	9.23	0.00	0.00	0.00	0.00	3.77
30	0	0	0	0	3.08	0.00	0.00	0.00	0.00	2.18
31	0	0	0	0.67	3.08	0.00	0.00	0.00	0.67	2.18
32	0	0	0	0.67	3.08	0.00	0.00	0.00	0.67	2.18
33	0	0	0	0	4.62	0.00	0.00	0.00	0.00	2.66
34	0	0	0	0.67	1.54	0.00	0.00	0.00	0.67	1.54
35	0	0	0	0	3.08	0.00	0.00	0.00	0.00	2.18
36	0	0	0	0	1.54	0.00	0.00	0.00	0.00	1.54
37	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
38	0	0	0	0.67	0	0.00	0.00	0.00	0.67	0.00
39	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
40	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
41	0	0	0	0	1.54	0.00	0.00	0.00	0.00	1.54
42	0	0	0	0	1.54	0.00	0.00	0.00	0.00	1.54
43	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
44	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
45	0	0	0	0	1.54	0.00	0.00	0.00	0.00	1.54
46	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
47	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
48	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
49	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
50	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00
51	0	0	0	0	1.54	0.00	0.00	0.00	0.00	1.54

