"Spieldauer /h"	"10+"	"15+"	"20+"	"25+"	"30+"	"35+"	"40+"	"45+"	"50+"	"55+"	"60+"	"65+"
1	0	0	0	4	0	0	3	0	0	0	0	0
2	0	1	2	9	3	0	1	0	0	0	0	0
3	0	1	4	2	0	1	0	0	0	1	0	0
4	0	3	4	2	4	1	0	1	1	0	0	0
5	0	3	13	5	9	4	3	3	0	0	0	0
6	0	3	12	8	4	1	1	2	1	0	0	0
7	0	1	5	2	3	2	0	0	0	0	0	0
8	0	3	9	12	8	6	2	1	0	0	0	0
9	0	1	1	5	1	0	0	0	0	0	0	0
10	0	16	27	33	37	15	10	6	9	1	1	0
12	0	7	19	14	9	4	5	2	2	0	0	0
13	0	1	4	2	0	0	0	0	0	0	0	0
14	0	4	11	6	7	2	2	0	1	1	0	0
15	0	15	29	23	22	10	7	4	1	2	0	0
16	0	2	5	5	4	1	0	1	0	0	0	0
17	0	2	2	0	0	0	0	0	0	0	0	0
18	0	0	7	1	2	0	1	0	1	0	0	0
19	0	0	2	0	0	0	0	0	0	0	0	0
20	0	25	62	42	34	13	13	5	2	1	1	0
21	0	4	10	3	1	0	1	0	0	0	0	0
22	0	2	4	3	1	0	0	0	0	0	0	0
24	0	4	4	5	4	1	0	0	0	0	0	0
25	0	10	19	19	12	3	2	1	0	0	0	0
26	0	0	0	1	0	0	0	0	0	0	0	0
27	0	1	0	1	0	0	0	0	0	0	0	0
28	0	4	6	4	4	0	0	0	0	0	0	0
29	0	1	0	0	0	0	0	0	0	0	0	0
30	1	27	41	31	18	11	2	4	2	1	0	0
31	0	1	0	0	0	0	0	0	0	0	0	0
32	0	0	2	1	0	0	0	0	0	0	0	0
34	0	0	0	1	0	0	0	0	0	0	0	0
35	0	15	11	11	7	2	4	2	0	0	0	0
36	0	0	1	0	0	0	1	0	0	0	0	0
38	0	0	0	1	0	0	0	0	0	0	0	0
40	0	15	21	20	12	3	3	0	1	0	0	1
42	1	5	3	1	0	0	0	0	0	0	0	0
44	0	1	0	0	0	0	0	0	0	0	0	0
45	0	3	4	3	1	0	2	0	0	0	0	0
48	0	3	1	2	0	1	1	0	0	0	0	0
49	1	0	1	0	0	0	0	0	0	0	0	0
50	1	10	15	9	4	1	1	0	0	0	0	0
52	0	0	1	0	0	0	0	0	0	0	0	0
53	0	1	0	0	0	0	0	0	0	0	0	0
54	0	1	0	0	0	0	0	0	0	0	0	0
55	0	0	0	1	0	0	0	0	0	0	0	0
56	0	2	0	0	1	0	0	0	0	0	0	0
60	1	8	6	6	2	2	0	0	0	0	0	0
63	0	0	1	0	0	0	0	0	0	0	0	0
65	0	1	0	1	0	0	0	0	0	0	0	0
70	0	2	3	1	2	0	0	0	0	0	0	0
72	0	1	2	0	0	0	0	0	0	0	0	0
74	1	0	0	0	0	0	0	0	0	0	0	0
75	0	1	0	0	0	0	0	0	0	0	0	0
80	0	1	2	2	0	0	0	0	1	0	0	0
81	0	0	0	1	0	0	0	0	0	0	0	0
84	0	1	0	0	0	0	0	0	0	0	0	0
90	0	0	1	0	1	0	0	0	0	0	0	0
91	0	1	0	0	0	0	0	0	0	0	0	0
96	0	0	0	1	0	0	0	0	0	0	0	0
100	0	2	5	2	0	0	0	0	0	0	0	0
109	0	1	0	0	0	0	0	0	0	0	0	0
120	0	0	0	1	0	0	0	0	0	0	0	0
130	0	0	0	0	1	0	0	0	0	0	0	0
145	0	0	0	0	1	0	0	0	0	0	0	0
200	0	1	1	0	0	0	0	0	0	0	0	0

