Wert	Frequency	Kommuliert
0	731	731
1	1	732
5	4	736
6	1	737
7	1	738
9	1	739
10	6	745
12	2	747
13	6	753
15	7	760
20	7	767
21	1	768
23	1	769
24	1	770
25	1	771
26	3	774
30	14	788
32	1	789
33	1	790
35	2	792
36	1	793
39	1	794
40	8	802
45	1	803
48	1	804
50	31	835
60	10	845
65	3	848
70	5	853
75	1	854
78	1	855
80	3	858
84	1	859
90	1	860
100	15	875
120	11	886
122	1	887
130	2	889
132	1	890
135	1	891
140	1	892
144	1	893
150	6	899
156	6	905
160	1	906
166	1	907
200	5	912
210	1	913
220	1	914
244	1	915
275	1	916
300	1	917
360	1	918
500	1	919
.	1496	2415
