Wert	Häufigkeit	Kumuliert
0	2	2
1	1	3
2	4	7
3	24	31
4	60	91
5	105	196
6	202	398
7	136	534
8	160	694
9	94	788
10	127	915
11	91	1006
12	94	1100
13	60	1160
14	69	1229
15	38	1267
16	25	1292
17	13	1305
18	14	1319
19	5	1324
20	13	1337
21	6	1343
22	9	1352
23	3	1355
24	6	1361
25	5	1366
26	4	1370
27	4	1374
28	2	1376
29	6	1382
30	4	1386
31	3	1389
32	3	1392
33	3	1395
34	2	1397
35	2	1399
36	1	1400
37	0	1400
38	1	1401
39	0	1401
40	0	1401
41	1	1402
42	1	1403
43	0	1403
44	0	1403
45	1	1404
46	0	1404
47	0	1404
48	0	1404
49	0	1404
50	0	1404
51	1	1405
