ntwort ID	Datum Abgeschickt	Letzte Seite	Datum gestartet
3	2013-12-20T10:12:35	6	2013-12-20T10:00:45
4	2013-12-20T10:46:41	6	2013-12-20T10:40:45
5	2013-12-20T22:10:12	6	2013-12-20T21:51:18
6	2013-12-21T10:31:07	6	2013-12-21T10:14:45
9	2013-12-21T12:39:54	6	2013-12-21T12:26:39
10	2013-12-21T19:51:24	6	2013-12-21T19:43:03
11	2013-12-22T00:29:25	6	2013-12-22T00:19:12
12	2013-12-22T00:37:28	6	2013-12-22T00:21:48
13		0	2013-12-22T00:22:18
14		0	2013-12-22T00:22:41
15	2013-12-22T00:38:43	6	2013-12-22T00:25:09
16	2013-12-22T00:40:52	6	2013-12-22T00:33:11
17	2013-12-22T01:25:40	6	2013-12-22T01:14:36
18	2013-12-22T02:21:45	6	2013-12-22T02:09:18
19		0	2013-12-22T02:19:44
20	2013-12-22T02:38:21	6	2013-12-22T02:21:28
21	2013-12-22T03:06:05	6	2013-12-22T02:42:42
22	2013-12-22T03:47:40	6	2013-12-22T03:38:25
23	2013-12-22T06:38:04	6	2013-12-22T06:20:57
24	2013-12-22T07:52:00	6	2013-12-22T07:35:27
25		0	2013-12-22T08:28:13
26	2013-12-22T08:56:49	6	2013-12-22T08:49:36
29	2013-12-22T09:44:04	6	2013-12-22T09:02:45
28	2013-12-22T09:05:18	6	2013-12-22T08:53:19
30		1	2013-12-22T09:06:00
31	2013-12-22T09:34:21	6	2013-12-22T09:12:11
32	2013-12-22T09:31:06	6	2013-12-22T09:20:01
33	2013-12-22T09:48:01	6	2013-12-22T09:40:51
34		1	2013-12-22T10:08:27
35	2013-12-22T10:31:27	6	2013-12-22T10:12:14
36	2013-12-22T10:37:35	6	2013-12-22T10:22:10
37	2013-12-22T10:42:48	6	2013-12-22T10:35:31
38	2013-12-22T10:56:47	6	2013-12-22T10:36:34
39		0	2013-12-22T10:40:53
40	2013-12-22T10:54:49	6	2013-12-22T10:43:03
41	2013-12-22T10:53:11	6	2013-12-22T10:43:51
43	2013-12-22T11:03:29	6	2013-12-22T10:46:27
44	2013-12-22T11:01:35	6	2013-12-22T10:46:40
45	2013-12-22T11:03:45	6	2013-12-22T10:48:27
46	2013-12-22T10:59:20	6	2013-12-22T10:49:00
47	2013-12-22T11:09:58	6	2013-12-22T10:53:57
48	2013-12-22T11:07:39	6	2013-12-22T10:59:24
49	2013-12-22T11:11:50	6	2013-12-22T11:02:35
50	2013-12-22T11:17:58	6	2013-12-22T11:03:49
51		5	2013-12-22T11:09:15
52	2013-12-22T11:23:53	6	2013-12-22T11:10:25
53	2013-12-22T11:18:55	6	2013-12-22T11:11:00
54	2013-12-22T11:23:40	6	2013-12-22T11:15:59
55	2013-12-22T11:32:57	6	2013-12-22T11:23:28
56	2013-12-22T11:35:41	6	2013-12-22T11:25:36
57		0	2013-12-22T11:30:19
58	2013-12-22T11:53:27	6	2013-12-22T11:35:18
59	2013-12-22T11:44:38	6	2013-12-22T11:35:27
60		1	2013-12-22T11:37:58
61	2013-12-22T12:15:27	6	2013-12-22T11:44:43
62		1	2013-12-22T12:15:15
63	2013-12-22T12:40:20	6	2013-12-22T12:29:43
64		5	2013-12-22T12:34:50
65	2013-12-22T12:54:55	6	2013-12-22T12:41:42
66	2013-12-22T12:56:50	6	2013-12-22T12:46:46
67		1	2013-12-22T12:47:05
68	2013-12-22T15:52:16	6	2013-12-22T12:52:57
69	2013-12-22T13:57:35	6	2013-12-22T13:09:37
70	2013-12-22T13:37:37	6	2013-12-22T13:15:33
71	2013-12-22T13:32:25	6	2013-12-22T13:20:22
72	2013-12-22T13:53:57	6	2013-12-22T13:36:56
73	2013-12-22T14:00:22	6	2013-12-22T13:40:03
74	2013-12-22T13:51:24	6	2013-12-22T13:40:20
75	2013-12-22T14:21:51	6	2013-12-22T13:49:13
76	2013-12-22T14:57:25	6	2013-12-22T14:29:14
77	2013-12-22T14:46:57	6	2013-12-22T14:38:12
78	2013-12-22T15:28:52	6	2013-12-22T15:20:41
79	2013-12-22T15:51:27	6	2013-12-22T15:42:23
80	2013-12-22T16:18:02	6	2013-12-22T16:08:57
81	2013-12-22T16:21:51	6	2013-12-22T16:11:06
82		0	2013-12-22T16:15:33
83		0	2013-12-22T16:16:15
84	2013-12-22T16:38:57	6	2013-12-22T16:16:41
85	2013-12-22T16:52:53	6	2013-12-22T16:36:35
86	2013-12-22T16:49:05	6	2013-12-22T16:40:22
87	2013-12-22T17:15:50	6	2013-12-22T17:02:34
88		1	2013-12-22T17:55:50
89	2013-12-22T18:26:59	6	2013-12-22T18:16:26
90		3	2013-12-22T18:30:37
91	2013-12-22T18:58:51	6	2013-12-22T18:48:34
92	2013-12-22T19:18:00	6	2013-12-22T18:51:27
93	2013-12-22T20:24:34	6	2013-12-22T18:59:04
94	2013-12-22T19:46:13	6	2013-12-22T19:00:21
95	2013-12-22T19:36:58	6	2013-12-22T19:04:40
96		1	2013-12-22T19:04:46
97	2013-12-22T19:16:00	6	2013-12-22T19:06:30
98		0	2013-12-22T19:15:22
99	2013-12-22T19:57:12	6	2013-12-22T19:34:53
100	2013-12-22T20:43:55	6	2013-12-22T20:32:46
101	2013-12-22T22:12:25	6	2013-12-22T21:58:39
102	2013-12-22T22:19:17	6	2013-12-22T22:00:18
103		1	2013-12-22T22:33:59
104	2013-12-22T23:54:54	6	2013-12-22T23:36:46
105	2013-12-23T01:20:09	6	2013-12-23T01:04:25
106	2013-12-23T01:31:06	6	2013-12-23T01:10:20
107	2013-12-23T03:34:50	6	2013-12-23T03:23:23
108	2013-12-23T03:38:13	6	2013-12-23T03:26:16
109		0	2013-12-23T06:18:06
110	2013-12-23T06:54:29	6	2013-12-23T06:36:26
111		1	2013-12-23T07:24:16
112		0	2013-12-23T09:09:13
114		0	2013-12-23T09:09:59
116	2013-12-23T10:04:14	6	2013-12-23T09:47:49
115	2013-12-23T09:21:02	6	2013-12-23T09:10:33
117	2013-12-23T11:08:54	6	2013-12-23T10:38:47
118		1	2013-12-23T10:40:59
119	2013-12-23T10:52:50	6	2013-12-23T10:44:54
120	2013-12-23T11:04:55	6	2013-12-23T10:59:27
121		1	2013-12-23T11:05:52
122	2013-12-23T11:19:45	6	2013-12-23T11:06:13
123		0	2013-12-23T11:06:25
124	2013-12-23T11:30:29	6	2013-12-23T11:06:37
125	2013-12-23T11:13:43	6	2013-12-23T11:08:52
127	2013-12-23T11:56:51	6	2013-12-23T11:13:26
128	2013-12-23T11:21:44	6	2013-12-23T11:13:55
129	2013-12-23T11:23:04	6	2013-12-23T11:14:20
130	2013-12-23T11:25:02	6	2013-12-23T11:16:30
131	2013-12-23T11:40:36	6	2013-12-23T11:23:45
132		0	2013-12-23T11:24:33
133		2	2013-12-23T11:28:51
134	2013-12-23T11:43:22	6	2013-12-23T11:33:28
