"Titel"	"Anzahl"
" ()"	3012
"Battlefield 4 (2013)"	132
"Skyrim (2011)"	107
"Minecraft (2010)"	94
"Borderlands 2 (2012)"	87
"Starbound (2013)"	82
"Team Fortress 2 (2007)"	67
"Dota 2 (2013)"	62
"League of Legends (2009)"	62
"Battlefield 3 (2011)"	57
"DayZ (2013)"	56
"Left 4 Dead 2 (2009)"	52
"Payday 2 (2013)"	48
"Far Cry 3 (2012)"	45
"Killing Floor (2009)"	43
"World of Warcraft (2005)"	42
"Diablo 3 (2012)"	39
"World of Tanks (2011)"	38
"Bioshock Infinite (2013)"	36
"Terraria (2011)"	34
"Tomb Raider (1996)"	33
"Shadow Warrior (1997)"	31
"Dark Souls (2011)"	30
"Path of Exile (2013)"	29
"Civilization V (2011)"	29
"The Walking Dead ()"	29
"Hearthstone (2014)"	27
"War Thunder (2012)"	26
"Portal 2 (2011)"	26
"Dishonored (2012)"	26
"Guild Wars 2 (2012)"	24
"Assassins Creed 4 (2013)"	23
"Anno 2070 (2012)"	22
"The Elder Scrolls V: Skyrim (2011)"	21
"Just Cause 2 (2010)"	21
"Company of Heroes 2 (2013)"	20
"GTA V (2013)"	19
"Counter Strike: Global Offensive (2012)"	19
"Civilization 5 (2011)"	18
"CS:GO (2012)"	18
"Saints Row 4 (2013)"	17
"Dead Island (2011)"	17
"Garrys Mod (2006)"	17
"Warframe (2013)"	17
"Metro Last Light (2013)"	16
"Mass Effect 3 (2012)"	16
"Counter Strike Source (2004)"	16
"GTA 5 (2013)"	16
"Saints Row IV (2013)"	16
"Kerbal Space Program (2012)"	15
"Arma 3 (2013)"	15
"Rust (2013)"	15
"Max Payne 3 (2012)"	15
"Garry's Mod (2006)"	15
"State of Decay (2013)"	14
"Starcraft 2 (2010)"	14
"Counter-Strike: Global Offensive (2012)"	14
"Risk of Rain (2013)"	14
"Hotline Miami (2013)"	13
"Call of Duty Ghosts (2013)"	13
"Call of Duty (2003)"	13
"Crusader Kings 2 (2012)"	13
"Left 4 Dead (2008)"	13
"Sleeping Dogs (2012)"	13
"Europa Universalis IV (2013)"	13
"Gothic 3 (2006)"	12
"Alan Wake (2012)"	12
"Trine 2 (2011)"	12
"The Witcher 2 (2011)"	12
"FIFA 14 (2013)"	12
"Counter Strike Global Offensive (2012)"	11
"Game Dev Tycoon (2013)"	11
"Nether (2013)"	11
"Planetside 2 (2013)"	11
"Fifa 14 (2013)"	11
"Fallout New Vegas (2010)"	11
"Natural Selection 2 (2012)"	11
"WoW (2005)"	11
"The Stanley Parable (2013)"	11
"Call of Duty Black Ops 2 (2012)"	11
"Europa Universalis 4 (2013)"	11
"Fallout 3 (2008)"	10
"The Binding of Isaac (2011)"	10
"Deus Ex: Human Revolution (2011)"	10
"DayZ Standalone (2013)"	10
"Pokemon Y (2013)"	10
"Neverwinter (2013)"	10
"Rocksmith 2014 (2013)"	10
"The Walking Dead Season 2 ()"	10
"Bioshock (2008)"	10
"Gothic (2001)"	10
"Counter Strike (2003)"	10
"Contagion (2013)"	9
"Magicka (2011)"	9
"Borderlands (2009)"	9
"Star Trek Online (2010)"	9
"FEZ (2014)"	9
"Batman Arkham Asylum (2009)"	9
"Euro Truck Simulator 2 (2012)"	9
"Age of Empires 2 HD (2013)"	9
"Sid Meier's Civilization V (2011)"	9
"Rage (2011)"	9
"Battlefield ()"	9
"Mafia 2 (2010)"	9
"GTA IV (2008)"	8
"Anno 1404 (2009)"	8
"Super Hexagon (2012)"	8
"Gone Home (2014)"	8
"The Secret World (2012)"	8
"Rogue Legacy (2014)"	8
"Age of Empires 2 (1999)"	8
"Endless Space (2012)"	8
"Battlefield Bad Company 2 (2010)"	8
"Saints Row: The Third (2011)"	8
"Don't Starve (2014)"	8
"Gothic 2 (2003)"	8
"Dragon Age Origins (2009)"	8
"Resident Evil 6 (2012)"	8
"Outlast (2014)"	8
"Legend of Grimrock (2012)"	7
"Mass Effect 2 (2010)"	7
"Warthunder (2012)"	7
"Deponia (2012)"	7
"Tropico 4 (2011)"	7
"World of Warplanes (2013)"	7
"Bastion (2011)"	7
"PAYDAY 2 (2013)"	7
"Batman Arkham Origins (2013)"	7
"Total War: Rome 2 (2013)"	7
"DotA 2 (2013)"	7
"Day Z (2009)"	7
"Half Life 2 (2004)"	7
"Hitman Absolution (2012)"	7
"Final Fantasy VII (2013)"	7
"Metro 2033 (2010)"	7
"Deadlight (2012)"	7
"CS GO (2012)"	7
"Fallout: New Vegas (2010)"	7
"Assassins Creed 3 (2012)"	7
"Counter Strike GO (2012)"	7
"Grid 2 (2013)"	7
"Crysis 3 (2013)"	7
"The Walking Dead: Season 2 ()"	7
"Dead Space (2008)"	7
"GTR 2 (2012)"	7
"Company of Heroes (2006)"	7
"Grand Theft Auto V (2013)"	7
"Batman Arkham City (2011)"	7
