In welchem Jahr bist du geboren? / Spielst du eher Single- oder Multiplayer?		Vorrangig Einzelspieler.	Beides gleichermaßen.	Vorrangig Mehrspieler.	Gesamt
1	1	0	0	0	1
19	1	0	0	0	1
20	1	0	0	0	1
48	1	0	0	0	1
79	1	0	0	0	1
97	1	0	0	0	1
98	1	0	0	0	1
1669	1	0	0	0	1
1905	0	0	1	0	1
1918	1	0	0	0	1
1939	0	0	0	1	1
1940	0	1	0	0	1
1944	0	0	1	0	1
1945	0	1	0	0	1
1946	0	1	0	0	1
1954	0	1	0	0	1
1955	0	2	0	1	3
1956	0	1	0	1	2
1957	0	1	0	0	1
1958	0	1	1	0	2
1959	0	2	0	0	2
1961	0	0	1	0	1
1962	0	1	0	2	3
1963	0	4	3	1	8
1964	3	6	3	4	16
1965	0	5	0	2	7
1966	3	4	4	0	11
1967	0	6	4	1	11
1968	2	6	4	3	15
1969	1	9	8	3	21
1970	0	14	7	2	23
1971	3	18	11	0	32
1972	1	14	7	1	23
1973	4	18	12	4	38
1974	3	18	6	3	30
1975	4	22	11	2	39
1976	5	24	11	5	45
1977	11	44	17	2	74
1978	6	33	23	3	65
1979	15	43	25	3	86
1980	12	59	31	6	108
1981	12	70	39	10	131
1982	20	81	39	10	150
1983	18	90	57	12	177
1984	12	88	65	16	181
1985	24	83	68	17	192
1986	31	107	79	26	243
1987	20	109	93	29	251
1988	22	101	107	38	268
1989	33	103	87	29	252
1990	27	97	97	23	245
1991	32	62	79	29	202
1992	20	71	87	22	200
1993	25	53	85	32	197
1994	30	48	87	22	187
1995	21	57	87	24	189
1996	32	56	106	26	220
1997	24	45	69	36	174
1998	29	34	70	29	162
1999	15	24	54	22	115
2000	10	15	20	10	55
2001	1	2	5	3	11
2002	0	0	0	1	1
2003	1	0	0	0	1
2014	1	0	0	0	1
Gesamt	542	1755	1671	516	4487
