"Table: [Spielbezogene Abos (regelmäßige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	420	420
4.0	1	421
4.99	1	422
5.0	1	423
10.0	2	425
12.0	1	426
13.0	2	428
14.0	2	430
15.0	7	437
20.0	7	444
25.0	5	449
26.0	1	450
30.0	12	462
35.0	4	466
36.99	1	467
39.0	1	468
40.0	9	477
45.0	1	478
48.0	2	480
49.99	1	481
50.0	66	547
54.0	1	548
60.0	20	568
65.0	1	569
70.0	3	572
75.0	1	573
80.0	5	578
100.0	10	588
110.0	1	589
120.0	5	594
138.0	1	595
142.0	1	596
150.0	3	599
156.0	1	600
160.0	1	601
200.0	3	604
220.0	1	605
260.0	1	606
300.0	1	607
"."	253	860
