"Table: [Spielbezogene Abos (regelmäßige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	2012	2012
2.0	1	2013
3.0	1	2014
3.5	1	2015
4.0	3	2018
4.99	1	2019
5.0	9	2028
5.99	1	2029
6.0	1	2030
6.99	1	2031
7.0	2	2033
8.0	2	2035
9.0	1	2036
10.0	12	2048
11.99	1	2049
12.0	9	2058
12.95	2	2060
12.99	3	2063
13.0	33	2096
14.0	5	2101
15.0	27	2128
17.0	1	2129
18.0	1	2130
20.0	38	2168
21.0	1	2169
22.99	1	2170
24.0	6	2176
25.0	18	2194
25.98	1	2195
26.0	9	2204
27.0	2	2206
30.0	76	2282
32.0	2	2284
33.0	1	2285
35.0	25	2310
36.0	4	2314
36.99	1	2315
37.0	1	2316
39.0	8	2324
40.0	48	2372
43.0	1	2373
45.0	6	2379
48.0	4	2383
48.96	1	2384
49.0	3	2387
49.99	3	2390
50.0	253	2643
52.0	1	2644
54.0	1	2645
55.0	4	2649
56.0	1	2650
59.0	1	2651
60.0	111	2762
65.0	5	2767
70.0	22	2789
72.0	3	2792
75.0	6	2798
80.0	30	2828
84.0	3	2831
85.0	1	2832
90.0	6	2838
91.0	1	2839
100.0	85	2924
110.0	2	2926
120.0	42	2968
125.0	1	2969
130.0	14	2983
131.88	1	2984
132.0	1	2985
138.0	1	2986
140.0	6	2992
142.0	1	2993
144.0	8	3001
150.0	44	3045
155.0	1	3046
156.0	12	3058
160.0	5	3063
170.0	3	3066
180.0	3	3069
190.0	1	3070
200.0	33	3103
220.0	2	3105
240.0	3	3108
250.0	1	3109
260.0	1	3110
264.0	1	3111
300.0	7	3118
310.0	1	3119
350.0	2	3121
360.0	2	3123
400.0	3	3126
436.0	1	3127
500.0	4	3131
600.0	3	3134
1000.0	2	3136
