"Table: [Spielbezogene Abos (regelmäßige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	2126	2126
2.0	1	2127
3.0	1	2128
3.5	1	2129
4.0	3	2132
4.99	1	2133
5.0	9	2142
5.99	1	2143
6.0	1	2144
6.99	1	2145
7.0	2	2147
8.0	2	2149
9.0	1	2150
10.0	14	2164
11.99	1	2165
12.0	9	2174
12.95	2	2176
12.99	3	2179
13.0	34	2213
14.0	6	2219
14.99	1	2220
15.0	28	2248
17.0	1	2249
18.0	1	2250
20.0	38	2288
21.0	1	2289
22.99	1	2290
24.0	6	2296
25.0	18	2314
25.98	1	2315
26.0	10	2325
27.0	2	2327
30.0	78	2405
32.0	2	2407
33.0	1	2408
35.0	28	2436
36.0	4	2440
36.99	1	2441
37.0	2	2443
39.0	11	2454
40.0	51	2505
43.0	1	2506
45.0	6	2512
48.0	5	2517
48.96	1	2518
49.0	3	2521
49.99	3	2524
50.0	262	2786
52.0	1	2787
54.0	1	2788
55.0	4	2792
56.0	1	2793
59.0	1	2794
60.0	116	2910
65.0	5	2915
70.0	22	2937
72.0	4	2941
75.0	6	2947
80.0	32	2979
84.0	3	2982
85.0	1	2983
90.0	8	2991
91.0	1	2992
94.0	1	2993
100.0	91	3084
110.0	3	3087
120.0	43	3130
125.0	1	3131
130.0	15	3146
131.88	1	3147
132.0	2	3149
138.0	1	3150
140.0	6	3156
142.0	1	3157
144.0	8	3165
150.0	45	3210
153.0	1	3211
155.0	1	3212
156.0	14	3226
160.0	5	3231
170.0	3	3234
180.0	3	3237
190.0	1	3238
200.0	35	3273
220.0	2	3275
240.0	4	3279
250.0	1	3280
260.0	1	3281
264.0	1	3282
300.0	8	3290
310.0	1	3291
350.0	2	3293
360.0	2	3295
400.0	3	3298
436.0	1	3299
468.0	1	3300
500.0	4	3304
600.0	3	3307
1000.0	2	3309
