"Table: [Addons, DLC, Bezahlinhalte] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	150	150
1.0	1	151
3.8	1	152
5.0	7	159
7.0	2	161
7.5	1	162
8.0	1	163
10.0	35	198
12.0	3	201
13.0	1	202
15.0	16	218
20.0	51	269
25.0	8	277
30.0	42	319
35.0	3	322
40.0	15	337
45.0	2	339
50.0	106	445
60.0	19	464
70.0	4	468
75.0	3	471
80.0	8	479
90.0	2	481
100.0	48	529
110.0	1	530
120.0	3	533
125.0	1	534
130.0	1	535
140.0	1	536
150.0	16	552
160.0	1	553
190.0	1	554
200.0	16	570
210.0	1	571
250.0	4	575
300.0	5	580
400.0	2	582
500.0	1	583
515.0	1	584
"."	163	747
