"Wert"	"n"	"sum"
.00	318	318
5.00	1	319
7.00	1	320
10.00	3	323
12.00	1	324
12.95	1	325
12.99	1	326
13.00	8	334
14.99	1	335
15.00	6	341
20.00	6	347
21.00	1	348
25.00	2	350
30.00	12	362
35.00	4	366
36.00	1	367
39.00	1	368
40.00	6	374
43.00	1	375
48.00	1	376
49.00	1	377
50.00	49	426
55.00	3	429
60.00	14	443
70.00	4	447
72.00	1	448
80.00	4	452
84.00	1	453
85.00	1	454
90.00	1	455
100.00	24	479
110.00	1	480
120.00	8	488
130.00	6	494
144.00	2	496
150.00	5	501
156.00	3	504
170.00	2	506
180.00	1	507
200.00	9	516
240.00	2	518
300.00	2	520
350.00	1	521
360.00	1	522
400.00	1	523
436.00	1	524
