"Wert"	"n"	"sum"
.00	822	822
.50	2	824
.85	1	825
.99	1	826
1.00	3	829
1.80	1	830
1.99	1	831
2.00	8	839
3.00	6	845
3.80	1	846
4.00	2	848
5.00	67	915
6.00	2	917
7.00	9	926
7.50	1	927
7.99	1	928
8.00	7	935
9.00	2	937
10.00	210	1147
12.00	13	1160
12.50	1	1161
13.00	2	1163
14.00	1	1164
15.00	113	1277
15.49	1	1278
16.00	1	1279
17.00	3	1282
19.99	1	1283
20.00	341	1624
21.00	1	1625
22.00	1	1626
23.00	1	1627
24.00	1	1628
25.00	68	1696
29.00	2	1698
30.00	238	1936
34.00	2	1938
35.00	20	1958
36.00	2	1960
39.00	1	1961
39.99	1	1962
40.00	114	2076
45.00	14	2090
47.00	1	2091
49.00	1	2092
50.00	532	2624
55.00	2	2626
56.00	1	2627
60.00	93	2720
61.00	1	2721
65.00	2	2723
70.00	43	2766
75.00	14	2780
80.00	45	2825
85.00	1	2826
90.00	7	2833
100.00	302	3135
110.00	1	3136
120.00	25	3161
125.00	2	3163
130.00	5	3168
140.00	3	3171
150.00	80	3251
160.00	1	3252
170.00	1	3253
200.00	88	3341
210.00	1	3342
220.00	1	3343
240.00	1	3344
250.00	22	3366
260.00	1	3367
300.00	31	3398
350.00	1	3399
400.00	5	3404
500.00	10	3414
515.00	1	3415
600.00	5	3420
700.00	2	3422
800.00	1	3423
1000.00	5	3428
1500.00	3	3431
2000.00	1	3432
2500.00	1	3433
3000.00	1	3434
