"Table: [Addons, DLC, Bezahlinhalte] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	870	870
0.5	2	872
0.85	1	873
0.99	1	874
1.0	4	878
1.8	1	879
1.99	1	880
2.0	8	888
3.0	6	894
3.8	1	895
4.0	2	897
5.0	71	968
6.0	2	970
7.0	9	979
7.5	1	980
7.99	1	981
8.0	7	988
9.0	2	990
10.0	220	1210
12.0	13	1223
12.5	1	1224
13.0	2	1226
14.0	1	1227
15.0	116	1343
15.49	1	1344
16.0	1	1345
17.0	3	1348
18.0	1	1349
19.99	1	1350
20.0	366	1716
21.0	1	1717
22.0	1	1718
23.0	1	1719
24.0	1	1720
25.0	72	1792
29.0	2	1794
30.0	254	2048
34.0	2	2050
35.0	21	2071
36.0	2	2073
39.0	2	2075
39.99	1	2076
40.0	119	2195
45.0	17	2212
47.0	1	2213
49.0	1	2214
50.0	555	2769
55.0	3	2772
56.0	1	2773
60.0	95	2868
61.0	1	2869
65.0	2	2871
70.0	47	2918
75.0	15	2933
80.0	48	2981
85.0	1	2982
90.0	8	2990
100.0	315	3305
110.0	1	3306
120.0	27	3333
125.0	2	3335
130.0	5	3340
140.0	4	3344
150.0	83	3427
160.0	1	3428
170.0	1	3429
190.0	1	3430
200.0	92	3522
210.0	1	3523
220.0	1	3524
240.0	1	3525
250.0	23	3548
260.0	1	3549
300.0	32	3581
350.0	1	3582
400.0	5	3587
500.0	10	3597
515.0	1	3598
600.0	5	3603
700.0	2	3605
800.0	1	3606
1000.0	5	3611
1500.0	3	3614
2000.0	1	3615
2500.0	1	3616
3000.0	1	3617
10000.0	1	3618
