"Table: [Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	316	316
5.0	2	318
8.0	1	319
10.0	2	321
12.0	1	322
13.0	1	323
20.0	6	329
25.0	2	331
30.0	14	345
35.0	2	347
40.0	10	357
42.0	1	358
50.0	47	405
60.0	9	414
70.0	2	416
75.0	1	417
80.0	13	430
90.0	2	432
100.0	41	473
120.0	4	477
130.0	1	478
140.0	1	479
150.0	23	502
160.0	2	504
180.0	2	506
199.0	1	507
200.0	42	549
213.0	1	550
219.0	1	551
220.0	2	553
230.0	2	555
240.0	1	556
250.0	13	569
270.0	1	570
279.0	1	571
280.0	1	572
299.0	1	573
300.0	42	615
320.0	3	618
325.0	1	619
329.0	1	620
330.0	3	623
350.0	6	629
360.0	1	630
380.0	3	633
399.0	4	637
400.0	74	711
429.0	1	712
435.0	1	713
444.0	1	714
450.0	15	729
460.0	2	731
480.0	2	733
500.0	61	794
540.0	2	796
550.0	3	799
600.0	20	819
610.0	1	820
650.0	4	824
700.0	12	836
750.0	2	838
800.0	19	857
850.0	2	859
899.0	1	860
900.0	7	867
1000.0	26	893
1018.0	1	894
1050.0	1	895
1080.0	1	896
1100.0	1	897
1200.0	11	908
1300.0	5	913
1350.0	1	914
1400.0	8	922
1500.0	14	936
1600.0	2	938
1700.0	4	942
1800.0	2	944
1900.0	2	946
2000.0	13	959
2300.0	3	962
2500.0	6	968
3000.0	5	973
3200.0	2	975
4350.0	1	976
6000.0	1	977
"."	229	1206
