"Table: [Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	45	45
10.0	1	46
25.0	1	47
40.0	1	48
50.0	9	57
60.0	4	61
80.0	3	64
100.0	3	67
120.0	2	69
150.0	3	72
189.0	1	73
200.0	2	75
220.0	2	77
250.0	1	78
300.0	2	80
350.0	2	82
399.0	1	83
400.0	5	88
450.0	2	90
500.0	11	101
580.0	1	102
600.0	4	106
620.0	1	107
700.0	1	108
720.0	1	109
800.0	2	111
850.0	1	112
900.0	1	113
1000.0	3	116
1050.0	1	117
1200.0	1	118
1250.0	1	119
1300.0	1	120
1400.0	1	121
1600.0	1	122
2000.0	1	123
"."	56	179
