"Wert"	"n"	"sum"
.00	202	202
3.00	1	203
10.00	6	209
20.00	6	215
30.00	5	220
35.00	2	222
38.00	1	223
40.00	8	231
50.00	21	252
60.00	10	262
70.00	4	266
80.00	8	274
99.00	1	275
100.00	18	293
110.00	1	294
120.00	3	297
135.00	1	298
140.00	2	300
150.00	10	310
160.00	3	313
170.00	5	318
180.00	3	321
190.00	1	322
200.00	18	340
210.00	1	341
220.00	1	342
230.00	3	345
250.00	14	359
260.00	1	360
300.00	24	384
312.00	1	385
320.00	3	388
350.00	11	399
360.00	1	400
370.00	1	401
399.00	7	408
400.00	43	451
410.00	1	452
430.00	1	453
450.00	3	456
480.00	1	457
499.00	1	458
500.00	41	499
550.00	5	504
570.00	1	505
600.00	15	520
650.00	2	522
700.00	13	535
750.00	4	539
800.00	17	556
813.99	1	557
850.00	1	558
900.00	7	565
913.00	1	566
950.00	1	567
1000.00	23	590
1050.00	1	591
1100.00	3	594
1150.00	1	595
1200.00	10	605
1250.00	2	607
1300.00	4	611
1400.00	3	614
1495.90	1	615
1500.00	11	626
1600.00	2	628
1700.00	2	630
1800.00	2	632
2000.00	2	634
2200.00	4	638
3000.00	2	640
