"Table: [Eigene Gameserver (bei Clans: dein Anteil)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	2566	2566
1.0	2	2568
1.5	1	2569
2.0	6	2575
2.5	1	2576
3.0	3	2579
3.2	1	2580
4.0	3	2583
5.0	35	2618
6.0	4	2622
7.0	1	2623
8.0	5	2628
9.0	1	2629
10.0	56	2685
11.0	1	2686
12.0	5	2691
14.0	2	2693
15.0	16	2709
18.0	1	2710
20.0	47	2757
23.0	1	2758
24.0	3	2761
25.0	15	2776
26.0	1	2777
27.0	1	2778
29.0	1	2779
30.0	27	2806
32.0	2	2808
34.0	1	2809
35.0	1	2810
36.0	1	2811
40.0	12	2823
42.0	2	2825
44.0	1	2826
45.0	1	2827
46.0	1	2828
48.0	4	2832
50.0	34	2866
54.0	1	2867
56.0	1	2868
60.0	11	2879
70.0	5	2884
75.0	1	2885
80.0	2	2887
96.0	2	2889
100.0	24	2913
120.0	6	2919
130.0	1	2920
150.0	5	2925
160.0	2	2927
180.0	1	2928
200.0	9	2937
240.0	1	2938
250.0	3	2941
348.0	1	2942
360.0	2	2944
480.0	1	2945
600.0	5	2950
800.0	1	2951
1000.0	2	2953
