"Table: [Eigene Gameserver (bei Clans: dein Anteil)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	2714	2714
1.0	2	2716
1.5	1	2717
2.0	6	2723
2.5	1	2724
3.0	4	2728
3.2	1	2729
4.0	3	2732
5.0	35	2767
6.0	4	2771
7.0	1	2772
8.0	5	2777
9.0	1	2778
10.0	56	2834
11.0	1	2835
12.0	6	2841
14.0	2	2843
15.0	18	2861
18.0	1	2862
20.0	48	2910
23.0	1	2911
24.0	3	2914
25.0	15	2929
26.0	1	2930
27.0	1	2931
29.0	1	2932
30.0	29	2961
32.0	2	2963
34.0	1	2964
35.0	1	2965
36.0	1	2966
40.0	12	2978
42.0	2	2980
44.0	1	2981
45.0	1	2982
46.0	1	2983
48.0	4	2987
50.0	36	3023
54.0	1	3024
56.0	1	3025
60.0	12	3037
70.0	5	3042
75.0	1	3043
80.0	2	3045
96.0	2	3047
100.0	24	3071
120.0	6	3077
130.0	1	3078
150.0	5	3083
160.0	2	3085
180.0	1	3086
200.0	9	3095
240.0	1	3096
250.0	3	3099
348.0	1	3100
360.0	2	3102
480.0	1	3103
600.0	5	3108
800.0	1	3109
1000.0	2	3111
