Wert	Frequency	Kommuliert
0	70	70
2	1	71
2.5	1	72
5	3	75
6.99	1	76
7	3	79
9	1	80
10	15	95
13	1	96
14	1	97
15	21	118
16	1	119
20	45	164
25	19	183
30	52	235
34	1	236
35	4	240
39	1	241
40	53	294
42	1	295
45	14	309
49.99	1	310
50	190	500
51	1	501
55	1	502
59	2	504
60	129	633
61	1	634
65	12	646
69.99	2	648
70	76	724
72	1	725
75	11	736
77.98	1	737
80	90	827
90	25	852
91.39	2	854
92	2	856
95	2	858
100	419	1277
110	8	1285
113	1	1286
120	118	1404
125	6	1410
130	28	1438
135	1	1439
136	4	1443
140	19	1462
145.16	1	1463
150	365	1828
160	13	1841
165	1	1842
170	4	1846
175	2	1848
180	38	1886
194	1	1887
200	563	2450
210	6	2456
220	7	2463
225	1	2464
230	4	2468
235	1	2469
240	10	2479
250	237	2716
260	4	2720
270	1	2721
275	2	2723
280	8	2731
285	1	2732
290	2	2734
300	390	3124
310	1	3125
320	6	3131
325	1	3132
330	3	3135
335	1	3136
340	3	3139
350	80	3219
355	1	3220
360	5	3225
375	1	3226
380	3	3229
385	1	3230
400	197	3427
410	2	3429
420	3	3432
425	1	3433
430	1	3434
440	1	3435
450	16	3451
470	1	3452
480	3	3455
500	263	3718
504	1	3719
530	1	3720
550	4	3724
560	3	3727
600	85	3812
650	7	3819
665	3	3822
695	1	3823
700	43	3866
720	3	3869
750	10	3879
780	1	3880
800	52	3932
820	1	3933
850	1	3934
900	4	3938
990	1	3939
1000	57	3996
1100	2	3998
1200	11	4009
1400	3	4012
1500	16	4028
1700	1	4029
1800	2	4031
1950	1	4032
2000	11	4043
2500	2	4045
3000	4	4049
3500	1	4050
4000	3	4053
6000	1	4054
#18180	1	4055
#10000000	1	4056
