"Table: [Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	13	13
2.0	1	14
7.0	1	15
10.0	3	18
15.0	5	23
20.0	5	28
25.0	2	30
30.0	11	41
34.0	1	42
40.0	10	52
42.0	1	53
45.0	3	56
50.0	34	90
51.0	1	91
60.0	26	117
61.0	1	118
65.0	6	124
69.99	1	125
70.0	16	141
75.0	3	144
77.98	1	145
80.0	11	156
90.0	3	159
100.0	68	227
110.0	1	228
120.0	27	255
125.0	2	257
130.0	8	265
135.0	1	266
140.0	4	270
150.0	69	339
160.0	2	341
175.0	2	343
180.0	8	351
194.0	1	352
200.0	104	456
210.0	1	457
220.0	1	458
230.0	1	459
250.0	23	482
260.0	1	483
270.0	1	484
275.0	1	485
280.0	3	488
290.0	1	489
300.0	77	566
320.0	1	567
335.0	1	568
350.0	19	587
380.0	1	588
385.0	1	589
400.0	27	616
410.0	1	617
420.0	2	619
500.0	39	658
550.0	2	660
560.0	1	661
600.0	6	667
650.0	1	668
700.0	9	677
750.0	1	678
800.0	6	684
820.0	1	685
850.0	1	686
900.0	2	688
1000.0	8	696
1500.0	1	697
2000.0	1	698
3000.0	1	699
6000.0	1	700
