"Wert"	"n"	"sum"
.00	182	182
.50	2	184
.85	1	185
1.00	2	187
1.99	1	188
2.00	2	190
3.00	1	191
5.00	19	210
7.00	2	212
8.00	2	214
9.00	1	215
10.00	54	269
12.00	3	272
13.00	1	273
15.00	35	308
20.00	77	385
21.00	1	386
22.00	1	387
23.00	1	388
25.00	13	401
30.00	56	457
35.00	7	464
36.00	2	466
39.99	1	467
40.00	33	500
45.00	3	503
47.00	1	504
49.00	1	505
50.00	117	622
55.00	2	624
60.00	25	649
65.00	1	650
70.00	10	660
75.00	2	662
80.00	12	674
85.00	1	675
90.00	2	677
100.00	59	736
120.00	9	745
125.00	1	746
130.00	1	747
150.00	14	761
170.00	1	762
200.00	19	781
250.00	7	788
300.00	8	796
500.00	3	799
1000.00	2	801
