"Wert"	"n"	"sum"
.00	756	756
1.00	1	757
2.50	1	758
3.00	2	760
3.20	1	761
5.00	6	767
6.00	3	770
8.00	1	771
10.00	8	779
12.00	3	782
14.00	1	783
15.00	5	788
20.00	12	800
24.00	1	801
25.00	2	803
26.00	1	804
30.00	8	812
32.00	1	813
40.00	5	818
46.00	1	819
48.00	1	820
50.00	7	827
54.00	1	828
60.00	4	832
70.00	3	835
75.00	1	836
80.00	1	837
96.00	1	838
100.00	8	846
120.00	2	848
150.00	1	849
160.00	1	850
200.00	1	851
250.00	1	852
348.00	1	853
360.00	1	854
480.00	1	855
600.00	3	858
800.00	1	859
1000.00	1	860
