"Table: [Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	56	56
2.0	1	57
2.5	1	58
5.0	2	60
7.0	1	61
9.0	1	62
10.0	11	73
13.0	1	74
14.0	1	75
15.0	19	94
16.0	1	95
20.0	40	135
25.0	15	150
30.0	47	197
34.0	1	198
35.0	4	202
39.0	1	203
40.0	48	251
42.0	1	252
45.0	14	266
49.99	1	267
50.0	171	438
55.0	1	439
59.0	2	441
60.0	118	559
61.0	1	560
65.0	10	570
69.99	2	572
70.0	66	638
72.0	1	639
75.0	10	649
77.98	1	650
80.0	82	732
90.0	21	753
91.39	1	754
92.0	2	756
95.0	2	758
100.0	388	1146
110.0	7	1153
113.0	1	1154
120.0	109	1263
125.0	3	1266
130.0	24	1290
135.0	1	1291
136.0	2	1293
140.0	18	1311
145.16	1	1312
150.0	326	1638
160.0	12	1650
165.0	1	1651
170.0	4	1655
175.0	2	1657
180.0	34	1691
194.0	1	1692
200.0	515	2207
210.0	6	2213
220.0	7	2220
225.0	1	2221
230.0	4	2225
235.0	1	2226
240.0	10	2236
250.0	228	2464
260.0	3	2467
270.0	1	2468
275.0	1	2469
280.0	8	2477
285.0	1	2478
290.0	1	2479
300.0	356	2835
310.0	1	2836
320.0	6	2842
325.0	1	2843
330.0	3	2846
335.0	1	2847
340.0	2	2849
350.0	71	2920
355.0	1	2921
360.0	5	2926
375.0	1	2927
380.0	3	2930
385.0	1	2931
400.0	185	3116
410.0	2	3118
420.0	3	3121
425.0	1	3122
430.0	1	3123
440.0	1	3124
450.0	16	3140
470.0	1	3141
480.0	2	3143
500.0	248	3391
504.0	1	3392
530.0	1	3393
550.0	4	3397
560.0	3	3400
600.0	81	3481
650.0	6	3487
665.0	3	3490
695.0	1	3491
700.0	41	3532
720.0	3	3535
750.0	7	3542
780.0	1	3543
800.0	47	3590
820.0	1	3591
850.0	1	3592
900.0	4	3596
990.0	1	3597
1000.0	52	3649
1100.0	2	3651
1200.0	11	3662
1400.0	3	3665
1500.0	15	3680
1700.0	1	3681
1800.0	2	3683
1950.0	1	3684
2000.0	11	3695
2500.0	2	3697
3000.0	4	3701
3500.0	1	3702
4000.0	3	3705
6000.0	1	3706
18180.0	1	3707
