"Alter * Freigabe1 [Anzahl]."	""	".    "	"Gesamt"	"USK0 "	"USK12"	"USK16"	"USK18"	"USK6 "
0.0	5	0	5	0	0	0	0	0
100.0	2906	34	3370	24	93	162	129	22
11.0	5	0	5	0	0	0	0	0
12.0	0	1	5	1	0	0	3	0
13.0	18	1	55	3	9	9	12	3
14.0	119	13	275	20	19	54	43	7
15.0	209	25	575	32	57	115	116	21
16.0	296	42	810	29	89	165	169	20
17.0	335	35	870	34	102	172	163	29
18.0	420	50	1100	46	131	220	211	22
19.0	347	54	945	33	130	188	172	21
20.0	327	62	935	36	134	175	174	27
21.0	374	66	980	34	140	177	157	32
22.0	383	56	1000	34	115	203	173	36
23.0	392	57	1010	48	114	204	173	22
24.0	448	74	1225	48	168	271	185	31
25.0	470	81	1260	59	178	234	199	39
26.0	485	94	1340	75	187	259	198	42
27.0	469	82	1255	61	155	247	196	45
28.0	478	72	1215	56	147	232	191	39
29.0	358	58	960	40	132	185	155	32
30.0	346	49	905	30	113	186	147	34
31.0	363	54	885	37	113	146	145	27
32.0	334	42	750	30	77	130	115	22
33.0	252	35	655	24	89	122	116	17
34.0	197	39	540	28	68	90	93	25
35.0	193	15	430	15	40	84	70	13
36.0	142	18	325	13	34	52	50	16
37.0	183	13	370	17	35	60	49	13
38.0	83	14	225	6	39	49	29	5
39.0	91	9	195	10	21	29	30	5
40.0	63	4	150	11	20	35	12	5
41.0	91	7	190	2	16	34	35	5
42.0	45	5	115	4	11	23	19	8
43.0	78	5	160	6	17	30	20	4
44.0	32	10	115	3	17	23	22	8
45.0	45	6	105	8	17	18	9	2
46.0	37	2	75	3	8	16	7	2
47.0	20	5	55	2	5	11	9	3
48.0	25	4	55	2	2	11	7	4
49.0	20	0	35	0	4	7	2	2
50.0	46	1	80	2	13	11	4	3
51.0	8	1	40	1	12	10	6	2
52.0	7	1	15	0	1	2	4	0
53.0	2	0	5	0	3	0	0	0
55.0	5	1	10	0	0	2	2	0
56.0	7	1	10	0	1	0	1	0
57.0	2	0	5	0	0	0	3	0
58.0	3	2	10	0	3	0	1	1
59.0	12	0	15	0	2	0	0	1
60.0	1	0	5	0	0	3	1	0
68.0	0	0	5	0	5	0	0	0
69.0	2	0	5	1	0	1	1	0
70.0	3	1	5	0	0	0	0	1
74.0	5	0	5	0	0	0	0	0
75.0	2	0	5	0	0	0	3	0
96.0	5	0	5	0	0	0	0	0
Gesamt	11594	1301	25755	968	2886	4457	3831	718
