"Table: Wie viele Stunden verbringst du in der Woche mit Videospielen?"	"n"	"sum"
0	2	2
1	7	9
2	36	45
3	40	85
4	68	153
5	119	272
6	99	371
7	67	438
8	159	597
9	16	613
10	412	1025
11	13	1038
12	171	1209
13	17	1226
14	117	1343
15	356	1699
16	65	1764
17	13	1777
18	61	1838
19	7	1845
20	554	2399
21	80	2479
22	27	2506
23	9	2515
24	43	2558
25	233	2791
26	15	2806
27	9	2815
28	36	2851
29	1	2852
30	296	3148
31	4	3152
32	10	3162
33	3	3165
34	3	3168
35	110	3278
36	15	3293
37	3	3296
38	6	3302
39	6	3308
40	177	3485
41	1	3486
42	7	3493
43	2	3495
44	3	3498
45	26	3524
46	2	3526
48	11	3537
49	1	3538
50	85	3623
52	1	3624
54	2	3626
55	5	3631
56	9	3640
60	37	3677
62	1	3678
63	2	3680
65	2	3682
70	18	3700
72	3	3703
74	1	3704
75	3	3707
80	5	3712
82	1	3713
84	2	3715
85	1	3716
90	2	3718
91	1	3719
95	1	3720
98	1	3721
100	12	3733
110	1	3734
120	2	3736
126	1	3737
409	1	3738
"."	674	4412
