"Table: Wie viele Stunden verbringst du in der Woche mit Videospielen?"	"n"	"sum"
0	2	2
1	9	11
2	37	48
3	42	90
4	77	167
5	128	295
6	106	401
7	70	471
8	167	638
9	20	658
10	437	1095
11	14	1109
12	182	1291
13	19	1310
14	119	1429
15	375	1804
16	66	1870
17	15	1885
18	63	1948
19	7	1955
20	577	2532
21	83	2615
22	28	2643
23	9	2652
24	44	2696
25	244	2940
26	15	2955
27	10	2965
28	41	3006
29	1	3007
30	312	3319
31	5	3324
32	10	3334
33	3	3337
34	3	3340
35	118	3458
36	15	3473
37	3	3476
38	6	3482
39	6	3488
40	184	3672
41	1	3673
42	7	3680
43	2	3682
44	3	3685
45	28	3713
46	2	3715
48	12	3727
49	2	3729
50	90	3819
52	1	3820
54	2	3822
55	5	3827
56	10	3837
60	41	3878
62	1	3879
63	2	3881
65	2	3883
70	19	3902
72	3	3905
74	1	3906
75	3	3909
80	6	3915
82	1	3916
84	2	3918
85	1	3919
90	2	3921
91	1	3922
95	1	3923
98	1	3924
100	12	3936
110	1	3937
120	2	3939
126	1	3940
409	1	3941
500	1	3942
100000000000000000	1	3943
