"Wert"	"n"	"sum"
"Counter-Strike: Global Offensive"	149	962
"Assassin's Creed: Unity"	107	356
"Battlefield 4"	106	534
"League of Legends"	97	2033
"Grand Theft Auto V"	93	1773
"The Elder Scrolls V: Skyrim"	81	2880
"Far Cry 4"	79	1570
"FIFA 15"	67	1418
"Minecraft"	63	2178
"Dragon Age: Inquisition"	55	1231
"Call of Duty: Advanced Warfare"	48	694
"PayDay 2"	45	2329
"Battlefield 3"	45	428
"World of Warcraft"	43	3202
"The Binding of Isaac: Rebirth"	41	2755
"Far Cry 3"	37	1490
"The Crew"	35	2792
"Dota 2"	35	1173
"ArmA 2"	30	160
"Destiny"	29	1077
"Borderlands 2"	28	612
"Assassin's Creed IV: Black Flag"	28	236
"ArmA 3"	27	187
"Sid Meier's Civilization V"	26	2521
"Pok??mon: Alpha Saphir"	26	2395
"Garry's Mod"	26	1650
"Total War: Rome II"	23	3031
"The Binding of Isaac"	23	2714
"Team Fortress 2"	23	2673
"Dragon Age: Origins"	19	1250
"Call of Duty: Black Ops II"	19	716
"Europa Universalis IV"	18	1330
"The Witcher 2: Assassins of Kings"	16	2948
"Hearthstone: Heroes of Warcraft"	16	1854
"Diablo III"	16	1099
"Counter-Strike"	16	813
"Company of Heroes 2"	16	796
"The Walking Dead"	15	2927
"Super Smash Bros 4"	15	2638
"(???) Assassin's Creed"	15	17
"Watch_Dogs"	14	3135
"StarCraft II: Wings of Liberty"	14	2598
"Mittelerde: Mordors Schatten"	14	2204
"Tomb Raider"	13	3002
"The Wolf Among Us"	13	2962
"Fallout: New Vegas"	13	1446
"Titanfall"	12	2981
"Guild Wars 2"	12	1795
"Dark Souls"	12	1004
"Counter-Strike: Source"	12	974
"Clash of Clans"	12	769
"Call of Duty"	12	642
"Pflanzen gegen Zombies: Garden Warfare"	11	2347
"Mount&Blade: Warband"	11	2220
"Mirror's Edge"	11	2190
"Half-Life 2"	11	1814
"Forza Horizon 2"	11	1598
"Call of Duty: Modern Warfare 2"	11	738
"Call of Duty: Ghosts"	11	727
"Battlefield: Bad Company 2"	11	547
"Wolfenstein: The New Order"	10	3148
"The Last of Us"	10	2901
"Saints Row IV"	10	2481
"Killing Floor"	10	1917
"Halo - The Master Chief Collection"	10	1825
"Euro Truck Simulator 2"	10	1310
"Dishonored: Die Maske des Zorns"	10	1127
"Assassin's Creed III"	10	208
"Alien: Isolation"	10	105
"World of Tanks"	9	3159
"War Thunder"	9	3099
"Left 4 Dead 2"	9	2044
"BioShock Infinite"	9	564
"Warframe"	8	3112
"The Evil Within"	8	2888
"Space Engieeners"	8	2552
"Planetside 2"	8	2363
"Grand Theft Auto IV"	8	1680
