"Wert"	"n"	"sum"
"(???) -	2	2
"(???) Alien	1	3
"(???) Alien vs. Predator	1	4
"(???) Anno	3	7
"(???) Assassin's Creed	45	52
"(???) Assassin's Creed 4: Unity	1	53
"(???) Avatar	1	54
"(???) BF23	1	55
"(???) Baldur's Gate 1+2	1	56
"(???) Bat man	1	57
"(???) Batman	5	62
"(???) Battlefield	14	76
"(???) Battlefield 3/4	2	78
"(???) Battlefield: Modern Warfacre	1	79
"(???) Bayonetta 1+2	2	81
"(???) Bioshock 1&2	1	82
"(???) BlazBlue (alle Spielereihe)	1	83
"(???) C&C alle Teile	1	84
"(???) Call of Duty Advanced Warfigher	1	85
"(???) Call of Duty diverse	1	86
"(???) Civilization	5	91
"(???) Colin Mcrae rally	1	92
"(???) Dark Souls 1+2	1	93
"(???) Deponia (Teil 2 & 3 )	1	94
"(???) Deponia 1-3	1	95
"(???) Deponia-Serie	1	96
"(???) Die Sims 2 / 3	1	97
"(???) Dirt Sc	1	98
"(???) Divinity	4	102
"(???) Doto.2	1	103
"(???) Downhill Racing	1	104
"(???) Dragon Age 1 - 3	1	105
"(???) Dragon Age 1+3	1	106
"(???) Dragon Age Series	1	107
"(???) Dragon Age alle Teile	1	108
"(???) Dragon AgeO	1	109
"(???) Dragon Agentur 3	1	110
"(???) Duolingo	1	111
"(???) EA UFC Undisputed	1	112
"(???) Evoker	1	113
"(???) F.E.A.R. 1, 2 & 3	1	114
"(???) Family Guy	1	115
"(???) Family Guy (Android)	1	116
"(???) Far Cry 3/4	1	117
"(???) Far Cry Reihe	1	118
"(???) Farcry alle Teile	1	119
"(???) Farming Simulator	1	120
"(???) Fifa	18	138
"(???) Flash spiele auf kongregate.com und armo	1	139
"(???) Football Manager	1	140
"(???) Forza	3	143
"(???) Forza Motorsport	1	144
"(???) Fußball Manager	1	145
"(???) Genius Unternehmen Physik	1	146
"(???) Genre: RTS	1	147
"(???) Genre: Shmups	1	148
"(???) God Of War 1+3	1	149
"(???) Gran Turismo	2	151
"(???) Halo 1-4	2	153
"(???) Hugo	1	154
"(???) Ich hasse Frauen	1	155
"(???) Jurassic Park	1	156
"(???) Just Dance	1	157
"(???) Knights of the old Republic 1+2	1	158
"(???) Kotor 1 & 2	1	159
"(???) LS Simulator 2013	1	160
"(???) Landwirtschaft Simulator	1	161
"(???) Landwirtschafts -Simulator	1	162
"(???) Landwirtschaftssimulator	1	163
"(???) Lanwirtschaftssimulator	1	164
"(???) Lasers	1	165
"(???) Lego Harry Potter 5-7	1	166
"(???) M.A.X.	1	167
"(???) Madden	1	168
"(???) Magna Carta	1	169
"(???) Mario	1	170
"(???) Mario Kart	8	178
"(???) Mario Party	3	181
"(???) Marvell Heroes	1	182
"(???) Mass Effect 2+3	1	183
"(???) Mass Effect Reihe	1	184
"(???) Mass Effect Trilogy	7	191
"(???) Mass effect 1,2,3	1	192
"(???) Massefect 1+2	1	193
"(???) Max	1	194
"(???) Metal Gear Solid HD Collection	1	195
"(???) Metro	2	197
"(???) Metroid Prime	1	198
"(???) Middle-earth	1	199
"(???) Nhl	1	200
"(???) Omnibus 2	1	201
"(???) PacMan	1	202
"(???) PanzerGeneral	1	203
"(???) Picross	1	204
"(???) Pirates	1	205
"(???) Pokémon	16	221
"(???) Portal 1/2	1	222
"(???) Postal	1	223
"(???) Pro Evolution Soccer	1	224
"(???) Pro Evolution Soccer 200x	1	225
"(???) Prof layton	1	226
"(???) Professor Layton	3	229
"(???) Professor Layton Reihe	1	230
"(???) Professor Layton und die Maske des Sch	1	231
"(???) Ratchet & Clank	1	232
"(???) Rayman	3	235
"(???) Runaway 1-3	1	236
"(???) SC:BL	1	237
"(???) SPIDERMAN	1	238
"(???) SSB	1	239
"(???) SW: KoToR 1 /2	1	240
"(???) Schach	2	242
"(???) Scooby Doo	1	243
"(???) Siedler	1	244
"(???) Silent Hill	1	245
"(???) SimCity	9	254
"(???) Simpsons	1	255
"(???) Simsons	1	256
"(???) Skylanders	1	257
"(???) Smash Bros. Brawl for Wii U	1	258
"(???) Sniper Elite 3 + die 2 Zombie-Army Teile	1	259
"(???) South Park	4	263
"(???) Southpark	1	264
"(???) Star Wars	1	265
"(???) StarCraft II inkl. BroodWar	1	266
"(???) StarCraft III	1	267
"(???) Sudoku	1	268
"(???) Super Mario Bros.	1	269
"(???) Super Smash Bros.	29	298
"(???) Tentacle Girl	1	299
"(???) Tentacle Wars	1	300
"(???) The Chronicles of Riddick	1	301
"(???) The Elder Scrolls: Oblivion/Skyrim	1	302
"(???) The Endless	1	303
"(???) The GReat Giana Sisters Twisted Dreams	1	304
"(???) The Legend of Zelda	6	310
"(???) The tribes & castles	1	311
"(???) Thief 1-3	1	312
"(???) Titan	1	313
"(???) Tomb Raider - Alle Teile	1	314
"(???) Tomb Raider 1 + 2	1	315
"(???) Tome	2	317
"(???) Total War	1	318
"(???) Total War (Spielereihe)	1	319
"(???) Trials	1	320
"(???) Trine 1+2	1	321
"(???) Uncharted	3	324
"(???) Unchartet 1-3	1	325
"(???) Wice star	1	326
"(???) Wing Commander	1	327
"(???) Wipe Out	1	328
"(???) Worms 3	2	330
"(???) X-Com	11	341
"(???) X-Plane	1	342
"(???) X:COM	1	343
"(???) andrere	1	344
"(???) civ 6	1	345
"(???) diverse iPhone	1	346
"(???) empire	1	347
"(???) etliche Smartphone-Spiele	1	348
"(???) fifa 14/15	1	349
"(???) naruto shippuden ultimate ninja storm	1	350
"(???) naruto ultimate ninja storm	1	351
"(???) oculus rift demos	1	352
"(???) phoenix Wright Reihe	1	353
"(???) price grab	1	354
"(???) simpsons spiel fuer android	1	355
"(???) ufc	3	358
"(???) viele Indie-Puzzle/Adventure-Spiele	1	359
"0 A.D.	1	360
"0h h1	1	361
"100% Orange Juice	2	363
10000000	1	364
2048	13	377
"3 Gewinnt (Big Fish)	1	378
"4 Bilder ein Wort	1	379
"7 Days to Die	23	402
"8 Ball Pool Billard	1	403
"80 days	1	404
"A Bird Story	11	415
"A Game of Dwarves	2	417
"A New Beginning	2	419
"APB: Reloaded	2	421
"AVA - Alliance of Valiant Arms	1	422
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome	1	423
"Aarklash: Legacy	1	424
"Academagia: The Making of Mages	1	425
"Ace Combat 6: Fires of Liberation	1	426
"Ace Combat: Infinity	1	427
"Ace of Spades	2	429
"Act of War: Direct Action	1	430
"Action Henk	1	431
"Advance Wars: Dual Strike	1	432
"Adventure Town	1	433
"Age Of Wonders	1	434
"Age of Chivalry	1	435
"Age of Conan	1	436
"Age of Empires	5	441
"Age of Empires II HD	15	456
"Age of Empires II: The Age of Kings	28	484
"Age of Empires III	5	489
"Age of Empires: Castle Siege	2	491
"Age of Mythology	3	494
"Age of Mythology (Extended Edition)	4	498
