"Titel"	"Anzahl"
"Counter-Strike: Global Offensive"	99
"The Elder Scrolls V: Skyrim"	78
"PayDay 2"	58
"World of Warcraft"	56
"Dragon Age: Inquisition"	52
"League of Legends"	51
"Battlefield 4"	49
"Far Cry 4"	43
"Team Fortress 2"	41
"Borderlands 2"	37
"Assassin's Creed: Unity"	36
"Diablo III"	36
"Far Cry 3"	36
"Minecraft"	36
"Left 4 Dead 2"	33
"The Binding of Isaac: Rebirth"	33
"Dota 2"	30
"Grand Theft Auto V"	30
"ArmA 3"	29
"Borderlands: The Pre-Sequel"	29
"Sid Meier's Civilization V"	28
"Super Smash Bros 4"	27
"The Walking Dead"	27
"ArmA 2"	25
"Alien: Isolation"	23
"Dragon Age: Origins"	23
"Euro Truck Simulator 2"	23
"Battlefield 3"	22
"Hearthstone: Heroes of Warcraft"	22
"Killing Floor"	22
"The Evil Within"	21
"Europa Universalis IV"	19
"FIFA 15"	19
"Insurgency: Modern Infantry Combat"	19
"Mittelerde: Mordors Schatten"	19
"Risen 3: Titan Lords"	19
"The Crew"	19
"Garry's Mod"	18
"The Binding of Isaac"	18
"Warframe"	18
"Call of Duty: Advanced Warfare"	17
"Total War: Rome II"	17
"World of Tanks"	17
"Fallout: New Vegas"	16
"Guild Wars 2"	16
"Sid Meier's Civilization: Beyond Earth"	16
"Counter-Strike"	15
"Crusader Kings II"	15
"Pokémon Omega Rubin/Alpha Saphir"	15
"This War of Mine"	15
"War Thunder"	15
"BioShock Infinite"	14
"Company of Heroes 2"	14
"Dark Souls II"	14
"Saints Row IV"	14
"Age of Empires II: The Age of Kings"	13
"Assassin's Creed IV: Black Flag"	13
"Dark Souls"	13
"Gothic II"	13
"Assassin's Creed III"	12
"Dead Island"	12
"Dishonored: Die Maske des Zorns"	12
"Half-Life 2"	12
"Planetside 2"	12
"7 Days to Die"	11
"Counter-Strike: Source"	11
"Shadow Warrior"	11
"Wolfenstein: The New Order"	11
"Banished"	10
"Dead Rising 3"	10
"Goat Simulator"	10
"Gothic 3"	10
"Mass Effect"	10
"South Park: Der Stab der Wahrheit"	10
"StarCraft II: Wings of Liberty"	10
"Tomb Raider"	10
"Borderlands"	9
