"Wert"	"n"	"sum"
"Sid Meier's Civilization V"	3	26
"Minecraft"	2	20
"Worms"	1	39
"Wasteland 2"	1	38
"Warhammer 40,000: Dawn of War II"	1	37
"Warcraft III: Reign of Chaos"	1	36
"Torchlight II"	1	35
"This War of Mine"	1	34
"The Last of Us"	1	33
"Terraria"	1	32
"Super Street Fighter IV"	1	31
"Super Smash Bros 4"	1	30
"Super Mario Bros. 2"	1	29
"South Park: Der Stab der Wahrheit"	1	28
"Sid Meier's Civilization: Beyond Earth"	1	27
"Sid Meier's Civilization II"	1	23
"Sid Meier's Alpha Centauri"	1	22
"Robocraft"	1	21
"Haxball"	1	18
"Halo: Combat Evolved"	1	17
"Forza Motorsport 5"	1	16
"Final Fantasy XIII"	1	15
"Final Fantasy VII"	1	14
"Fallout 3"	1	13
"Dragon Age: Inquisition"	1	12
"Dota 2"	1	11
"Divinity: Original Sin"	1	10
"Counter-Strike: Global Offensive"	1	9
"Counter-Strike"	1	8
"Call of Duty: Advanced Warfare"	1	7
"Call of Duty 3"	1	6
"Animal Crossing: New Leaf"	1	5
"Age of Wonders III"	1	4
"Age of Empires"	1	3
"(???) Pok??mon"	1	2
"(???) BF23"	1	1
