"Wert"	"n"	"sum"
"(???) -	1	1
"(???) Anno	1	2
"(???) Assassin's Creed	1	3
"(???) Battlefield	1	4
"(???) Dragon Age 1+3	1	5
"(???) Duolingo	1	6
"(???) God Of War 1+3	1	7
"(???) Hugo	1	8
"(???) Just Dance	1	9
"(???) Lanwirtschaftssimulator	1	10
"(???) Mario Kart	3	13
"(???) Mario Party	2	15
"(???) Mass Effect Trilogy	1	16
"(???) Massefect 1+2	1	17
"(???) Pokémon	2	19
"(???) Rayman	1	20
"(???) SimCity	1	21
"(???) Super Smash Bros.	1	22
"(???) The Legend of Zelda	1	23
"(???) The tribes & castles	1	24
"(???) Thief 1-3	1	25
"(???) Tomb Raider - Alle Teile	1	26
"(???) Wipe Out	1	27
"(???) andrere	1	28
"(???) naruto shippuden ultimate ninja storm	1	29
"3 Gewinnt (Big Fish)	1	30
"4 Bilder ein Wort	1	31
"7 Days to Die	1	32
"A Bird Story	1	33
"Age of Empires II: The Age of Kings	1	34
"Alan Wake	2	36
"Alien: Isolation	6	42
"Aliens: Colonial Marines	1	43
"Always Sometimes Monsters	1	44
"Anarchy Online	1	45
"Angry Birds	1	46
"Animal Crossing: New Leaf	3	49
"Anno 1404	2	51
"ArcheAge	4	55
"ArmA 2	2	57
"ArmA 3	1	58
"Asphalt 8: Airborne	1	59
"Assassin's Creed II	3	62
"Assassin's Creed III	4	66
"Assassin's Creed IV: Black Flag	5	71
"Assassin's Creed Rogue	3	74
"Assassin's Creed: Brotherhood	1	75
"Assassin's Creed: Revelations	2	77
"Assassin's Creed: Unity	18	95
"Audiosurf: Ride Your Music	1	96
"BIT.TRIP RUNNER	1	97
"Baldur's Gate: Enhanced Edition	1	98
"Banished	4	102
"Batman: Arkham Asylum	1	103
"Batman: Arkham Knight	1	104
"Batman: Arkham Origins	1	105
"Battlefield 3	1	106
"Battlefield 4	10	116
"Bejeweled	1	117
"BioShock Infinite	1	118
"Bioshock	2	120
"Borderlands	1	121
"Borderlands 2	6	127
"Borderlands The Pre- Sequel	1	128
"Borderlands: The Pre-Sequel	6	134
"Braid	1	135
"Bulletstorm	1	136
"Call of Duty	2	138
"Call of Duty: Advanced Warfare	4	142
"Call of Duty: Black Ops II	1	143
"Call of Duty: Ghosts	2	145
"Candy Crush	1	146
"Candy Crush Saga	2	148
"Candy Crush Soda Saga	1	149
"Caste Ville	1	150
"Castlevania: Lords of Shadow 2	1	151
"Child of Light	3	154
"Chivalry: Medieval Warfare	2	156
"Chrono Trigger	1	157
"Clash of Clans	1	158
"Command & Conquer	1	159
"Counter-Strike	1	160
"Counter-Strike: Global Offensive	3	163
"Criminal Case	1	164
"Dark Age of Camelot	1	165
"Darksiders 2	2	167
"Dead Island	1	168
"Dead Island: Epidemic	1	169
"Dead Space	1	170
"Defiance	1	171
"Demon's Souls	1	172
"Deponia	1	173
"Destiny	6	179
"Deus Ex	1	180
"Devil May Cry	1	181
"Diablo	1	182
"Diablo II	1	183
"Diablo III	11	194
"Die Siedler 7	1	195
"Die Siedler Online	1	196
"Die Sims 3	5	201
"Die Sims 4	7	208
"Dishonored: Die Maske des Zorns	9	217
"Divinity 2: Ego Draconis	1	218
"Divinity: Original Sin	1	219
"Don't Starve	3	222
"Donkey Kong Country Returns	1	223
"Donkey Kong Country: Tropical Freeze	1	224
"Dota 2	2	226
"Dragon Age II	3	229
"Dragon Age: Inquisition	21	250
"Dragon Age: Origins	14	264
"Dungeon Hunter 4	1	265
"EVE Online	1	266
"Endless Legend	1	267
"Escape Plan	1	268
"Euro Truck Simulator 2	1	269
"Europa Universalis IV	1	270
"FIFA 13	2	272
"FIFA 15	3	275
"Factorio	1	276
"Fallout 3	1	277
"Fallout: New Vegas	6	283
"Fantasy Life	2	285
"Far Cry 3	3	288
"Far Cry 3: Blood Dragon	1	289
