"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Counter-Strike: Global Offensive"	6	6
"World of Warcraft"	6	12
"The Elder Scrolls V: Skyrim"	6	18
"Dragon Age: Inquisition"	5	23
"FIFA 15"	5	28
"Battlefield 4"	4	32
"Grand Theft Auto V"	4	36
"Mittelerde: Mordors Schatten"	4	40
"Assassin's Creed: Unity"	4	44
"Borderlands 2"	3	47
"Company of Heroes 2"	3	50
"Diablo III"	3	53
"Far Cry 3"	3	56
"Far Cry 4"	3	59
"Hearthstone: Heroes of Warcraft"	3	62
"The Walking Dead"	3	65
"Company of Heroes"	2	67
"Dark Souls II"	2	69
"Heroes of the Storm"	2	71
"Kerbal Space Program"	2	73
"League of Legends"	2	75
"Titanfall"	2	77
"Call of Duty: Black Ops II"	2	79
"Deponia"	2	81
"Halo - The Master Chief Collection"	2	83
"Star Wars: The Old Republic"	2	85
"The Binding of Isaac"	2	87
"The Crew"	2	89
"Sid Meier's Civilization: Beyond Earth"	2	91
"Assassin's Creed IV: Black Flag"	1	92
"Batman: Arkham Origins"	1	93
"Counter-Strike"	1	94
"Crimsonland"	1	95
"Die Sims 3"	1	96
"Duke Nukem Forever"	1	97
"Enslaved: Odyssey to the West"	1	98
"Fallout: New Vegas"	1	99
"Garry's Mod"	1	100
"Grid Autosport"	1	101
"Horizon 2"	1	102
"Killing Floor"	1	103
"Legend of Grimrock 2"	1	104
"Mass Effect 3"	1	105
"Medieval: Total War"	1	106
"MotoGP 14"	1	107
"NBA 2K12"	1	108
"Plague Inc."	1	109
"Pro Evolution Soccer 2015"	1	110
"Rome: Total War"	1	111
"Singularity"	1	112
"Team Fortress 2"	1	113
"The Evil Within"	1	114
"The Witcher 2: Assassins of Kings"	1	115
"Wasteland 2"	1	116
"World of Tanks"	1	117
"(???) Alien vs. Predator"	1	118
"(???) SW: KoToR 1 /2"	1	119
"Battlefield 3"	1	120
"Call of Duty: Advanced Warfare"	1	121
"Dota 2"	1	122
"Dreamfall Chapters: The Longest Journey"	1	123
"Driveclub"	1	124
"Duke Nukem 3D"	1	125
"Empire Earth"	1	126
"FIFA 14"	1	127
"PayDay"	1	128
"PayDay 2"	1	129
"Planetside 2"	1	130
"Pokémon: Platinum Version"	1	131
"Portal 2"	1	132
"Red Dead Redemption"	1	133
"Spore"	1	134
"The Elder Scrolls Online"	1	135
"This War of Mine"	1	136
"Torchlight"	1	137
"Warcraft III: Reign of Chaos"	1	138
"Watch_Dogs"	1	139
"Always Sometimes Monsters"	1	140
"Borderlands: The Pre-Sequel"	1	141
"Destiny"	1	142
"Dirt 3"	1	143
"Duke Nukem: Time to Kill"	1	144
"Grand Theft Auto IV"	1	145
"Lords of the Fallen"	1	146
"Madden NFL 25"	1	147
"Metro: Last Light"	1	148
"Osu!"	1	149
"Path of Exile"	1	150
"Resident Evil 6"	1	151
"Risen 3: Titan Lords"	1	152
"Ryse: Son of Rome"	1	153
"The Legend of Zelda: The Wind Waker"	1	154
"The Masterplan"	1	155
"Warmachine: Tactics"	1	156
"Assassin's Creed III"	1	157
"BattleBlock Theater"	1	158
"Dragon Age: Origins"	1	159
"Duke Nukem: Land of the Babes"	1	160
"Evochron Mercenary"	1	161
"Game of Thrones"	1	162
"Guild Wars 2"	1	163
"How to Survive"	1	164
"Monaco: What's Yours is Mine"	1	165
"Naruto Shippuuden: Narutimate Storm Rev"	1	166
"Overruled!"	1	167
"Pflanzen gegen Zombies: Garden Warfare"	1	168
"Powerstar Golf"	1	169
"Project CARS"	1	170
"Sunset Overdrive"	1	171
"The Last of Us: Remastered"	1	172
"Thief"	1	173
"War Thunder"	1	174
"Alien: Isolation"	1	175
"ArmA 2"	1	176
"ArmA 3"	1	177
"Call of Duty"	1	178
"Die Sims 4"	1	179
"Duke Nukem: Manhattan Project"	1	180
"Euro Truck Simulator 2"	1	181
"Forza Horizon 2"	1	182
"Gothic II"	1	183
"Left 4 Dead"	1	184
"Mass Effect"	1	185
"Payday: The Heist"	1	186
"Star Citizen"	1	187
"Tales from the Borderlands"	1	188
"Tekken Tag Tournament 2"	1	189
"The Binding of Isaac: Rebirth"	1	190
"Total War: Shogun 2"	1	191
