"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Dragon Age: Inquisition"	494	494
"Assassin's Creed: Unity"	452	946
"Far Cry 4"	442	1388
"Battlefield 4"	425	1813
"Grand Theft Auto V"	401	2214
"Counter-Strike: Global Offensive"	334	2548
"The Elder Scrolls V: Skyrim"	296	2844
"World of Warcraft"	293	3137
"Diablo III"	259	3396
"League of Legends"	255	3651
"FIFA 15"	250	3901
"Minecraft"	210	4111
"Call of Duty: Advanced Warfare"	186	4297
"Destiny"	169	4466
"The Crew"	156	4622
"Mittelerde: Mordors Schatten"	155	4777
"PayDay 2"	152	4929
"Sid Meier's Civilization V"	145	5074
"Far Cry 3"	130	5204
"Dragon Age: Origins"	128	5332
"Dota 2"	127	5459
"Borderlands 2"	121	5580
"Hearthstone: Heroes of Warcraft"	121	5701
"The Evil Within"	119	5820
"Battlefield 3"	116	5936
"Assassin's Creed IV: Black Flag"	114	6050
"ArmA 2"	113	6163
"Alien: Isolation"	110	6273
"Total War: Rome II"	108	6381
"Super Smash Bros 4"	106	6487
"The Binding of Isaac: Rebirth"	105	6592
"ArmA 3"	104	6696
"The Walking Dead"	93	6789
"Borderlands: The Pre-Sequel"	90	6879
"Guild Wars 2"	88	6967
"Mario Kart 8"	88	7055
"World of Tanks"	84	7139
"Pokémon: Alpha Saphir"	83	7222
"Sid Meier's Civilization: Beyond Earth"	80	7302
"StarCraft II: Wings of Liberty"	79	7381
"Europa Universalis IV"	78	7459
"Halo - The Master Chief Collection"	78	7537
"Watch_Dogs"	78	7615
"The Last of Us"	69	7684
"War Thunder"	69	7753
"Dark Souls II"	65	7818
"Star Wars: The Old Republic"	65	7883
"Team Fortress 2"	65	7948
"Company of Heroes 2"	63	8011
"Counter-Strike"	61	8072
"Forza Horizon 2"	61	8133
"The Witcher 2: Assassins of Kings"	61	8194
"Tomb Raider"	59	8253
"This War of Mine"	58	8311
"The Binding of Isaac"	56	8367
"Wolfenstein: The New Order"	56	8423
"Titanfall"	55	8478
"Lords of the Fallen"	54	8532
"Game of Thrones"	53	8585
"Left 4 Dead 2"	53	8638
"Wasteland 2"	53	8691
"The Wolf Among Us"	51	8742
"Dark Souls"	49	8791
"Warframe"	49	8840
"Clash of Clans"	46	8886
"Garry's Mod"	46	8932
"BioShock Infinite"	45	8977
"Saints Row IV"	45	9022
"Star Citizen"	45	9067
"(???) Assassin's Creed"	44	9111
"Call of Duty"	44	9155
"Kerbal Space Program"	44	9199
"Risen 3: Titan Lords"	44	9243
"Divinity: Original Sin"	43	9286
"FTL: Faster Than Light"	41	9327
"Mount&Blade: Warband"	41	9368
"NBA 2k15"	41	9409
"Planetside 2"	41	9450
"Crusader Kings II"	40	9490
"Euro Truck Simulator 2"	40	9530
"Assassin's Creed III"	39	9569
"South Park: Der Stab der Wahrheit"	39	9608
"FIFA 14"	38	9646
"Insurgency: Modern Infantry Combat"	38	9684
"Mass Effect 3"	38	9722
"Fallout: New Vegas"	37	9759
"Half-Life 2"	37	9796
"Banished"	36	9832
"Call of Duty: Black Ops II"	36	9868
"Elite: Dangerous"	36	9904
"Valkyria Chronicles"	35	9939
"Mass Effect"	34	9973
"Counter-Strike: Source"	32	10005
"Driveclub"	32	10037
"Killing Floor"	32	10069
"Anno 2070"	31	10100
"Borderlands"	31	10131
"Grand Theft Auto IV"	31	10162
"Halo: Combat Evolved"	31	10193
"Portal 2"	31	10224
"Dishonored: Die Maske des Zorns"	30	10254
"Path of Exile"	30	10284
"Pflanzen gegen Zombies: Garden Warfare"	30	10314
"Fallout 3"	29	10343
"Pro Evolution Soccer 2015"	29	10372
"The Elder Scrolls Online"	29	10401
"Warcraft III: Reign of Chaos"	29	10430
"(???) Super Smash Bros."	28	10458
"Call of Duty: Ghosts"	28	10486
"DayZ Standalone"	28	10514
"Sunset Overdrive"	28	10542
"Age of Empires II: The Age of Kings"	27	10569
"Bayonetta 2"	27	10596
"Space Engieeners"	27	10623
"The Witcher"	27	10650
"Don't Starve"	26	10676
"Terraria"	26	10702
"Train Fever"	26	10728
"Dragon Age II"	25	10753
"EVE Online"	25	10778
"Gothic II"	25	10803
"Heroes of the Storm"	25	10828
"Hyrule Warriors"	25	10853
"Landwirtschafts-Simulator 2015"	25	10878
"Star Trek Online"	25	10903
"Anno 1404"	24	10927
"Final Fantasy XIII"	24	10951
"XCOM: Enemy Unknown"	24	10975
"Assassin's Creed Rogue"	23	10998
"Injustice: Gods Among Us"	23	11021
"Shadow Warrior"	23	11044
"The Last of Us: Remastered"	23	11067
"Total War: Shogun 2"	23	11090
"7 Days to Die"	22	11112
"Assassin's Creed II"	22	11134
"Tales from the Borderlands"	22	11156
"Company of Heroes"	21	11177
"Dead Rising 3"	21	11198
"Die Sims 4"	21	11219
"Hitman: Absolution"	21	11240
"inFAMOUS Second Son"	21	11261
"Dead Island"	20	11281
"Deus Ex: Human Revolution"	20	11301
"Prison Architect"	20	11321
"Ryse: Son of Rome"	20	11341
"Batman: Arkham Origins"	19	11360
"Call of Duty: Modern Warfare 2"	19	11379
"Final Fantasy XIV: A Realm Reborn"	19	11398
"Mass Effect 2"	19	11417
"Metro 2033 Redux"	19	11436
"Papers, Please"	19	11455
"Pokémon X"	19	11474
"(???) Fifa"	18	11492
"ArcheAge"	18	11510
"GRID 2"	18	11528
"Rising Storm"	18	11546
"The Forest"	18	11564
"The Vanishing of Ethan Carter"	18	11582
"Valiant Hearts: The Great War"	18	11600
"Gothic 3"	17	11617
"MechWarrior Online"	17	11634
"Mirror's Edge"	17	11651
"State of Decay"	17	11668
"Thief"	17	11685
"Goat Simulator"	17	11702
"Batman: Arkham City"	16	11718
"Battlefield: Bad Company 2"	16	11734
"Endless Legend"	16	11750
"Enslaved: Odyssey to the West"	16	11766
"Forza Motorsport 5"	16	11782
"Just Cause 2"	16	11798
"Neverwinter Nights 2"	16	11814
"Red Dead Redemption"	16	11830
"The Banner Saga"	16	11846
"Age of Empires II HD"	15	11861
"Chivalry: Medieval Warfare"	15	11876
"Darksiders 2"	15	11891
"Far Cry"	15	11906
"Metro: Last Light"	15	11921
"Portal"	15	11936
"Assetto Corsa"	14	11950
"Bioshock"	14	11964
"Quizduell"	14	11978
"Rocksmith 2014"	14	11992
"Sleeping Dogs"	14	12006
"The Long Dark"	14	12020
"WWE 2k15"	14	12034
"Wolfenstein"	14	12048
