"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"()"	8788	8788
"Dragon Age: Inquisition (2014)"	521	9309
"Assassin's Creed: Unity (2014)"	474	9783
"Far Cry 4 (2014)"	451	10234
"Battlefield 4 (2013)"	439	10673
"Grand Theft Auto V (2013)"	413	11086
"Counter-Strike: Global Offensive (2012)"	344	11430
"The Elder Scrolls V: Skyrim (2011)"	324	11754
"World of Warcraft (2005)"	317	12071
"Diablo III (2012)"	273	12344
"League of Legends (2009)"	262	12606
"FIFA 15 (2014)"	258	12864
"Minecraft (2010)"	220	13084
"Call of Duty: Advanced Warfare (2014)"	192	13276
"Destiny (2014)"	176	13452
"Mittelerde: Mordors Schatten (2014)"	166	13618
"The Crew (2014)"	160	13778
"PayDay 2 (2013)"	154	13932
"Sid Meier's Civilization V (2011)"	151	14083
"Dragon Age: Origins (2009)"	143	14226
"Far Cry 3 (2012)"	136	14362
"Dota 2 (.)"	131	14493
"Borderlands 2 (2012)"	130	14623
"Hearthstone: Heroes of Warcraft (.)"	126	14749
"The Evil Within (2014)"	125	14874
"Assassin's Creed IV: Black Flag (2013)"	120	14994
"Battlefield 3 (2011)"	118	15112
"Alien: Isolation (2014)"	117	15229
"ArmA 2 (2009)"	116	15345
"Super Smash Bros 4 (2014)"	114	15459
"The Binding of Isaac: Rebirth (2014)"	110	15569
"Total War: Rome II (2013)"	108	15677
"ArmA 3 (2013)"	106	15783
"The Walking Dead ()"	102	15885
"Borderlands: The Pre-Sequel (2014)"	97	15982
"Guild Wars 2 (2012)"	97	16079
"Mario Kart 8 (2014)"	92	16171
"Pokémon: Alpha Saphir (.)"	89	16260
"Sid Meier's Civilization: Beyond Earth (2014)"	85	16345
"World of Tanks (2011)"	85	16430
"Watch_Dogs (2014)"	82	16512
"Halo - The Master Chief Collection (.)"	81	16593
"StarCraft II: Wings of Liberty (2010)"	80	16673
"Europa Universalis IV (2013)"	79	16752
"The Last of Us (2013)"	74	16826
"War Thunder (2012)"	70	16896
"Team Fortress 2 (2007)"	69	16965
"Dark Souls II (2014)"	67	17032
"Star Wars: The Old Republic (2011)"	67	17099
"Company of Heroes 2 (2013)"	66	17165
"The Witcher 2: Assassins of Kings (2011)"	66	17231
"Tomb Raider (1996)"	65	17296
"Counter-Strike (2003)"	64	17360
"Forza Horizon 2 (2014)"	62	17422
"The Binding of Isaac (2011)"	62	17484
"This War of Mine (2014)"	61	17545
"Wolfenstein: The New Order (2014)"	59	17604
"Titanfall (2014)"	58	17662
"Lords of the Fallen (2014)"	56	17718
"Wasteland 2 (2014)"	56	17774
"Game of Thrones (2012)"	55	17829
"Left 4 Dead 2 (2009)"	54	17883
"The Wolf Among Us (2014)"	53	17936
"Warframe (2013)"	50	17986
"Dark Souls (2011)"	49	18035
"Saints Row IV (2013)"	49	18084
"Call of Duty (2003)"	47	18131
"Clash of Clans (2012)"	47	18178
"Garry's Mod (2006)"	47	18225
"Risen 3: Titan Lords (2014)"	47	18272
"BioShock Infinite (2013)"	46	18318
"Kerbal Space Program (2012)"	46	18364
"Star Citizen (2016)"	46	18410
"(???) Assassin's Creed ()"	45	18455
"Divinity: Original Sin (2014)"	45	18500
"Assassin's Creed III (2012)"	44	18544
"Fallout: New Vegas (2010)"	44	18588
"Euro Truck Simulator 2 (2012)"	42	18630
"NBA 2k15 (.)"	42	18672
"Planetside 2 (2013)"	42	18714
"FTL: Faster Than Light (2012)"	41	18755
"Mass Effect 3 (2012)"	41	18796
"Mount&Blade: Warband (2010)"	41	18837
"South Park: Der Stab der Wahrheit (2014)"	41	18878
"Banished (2014)"	40	18918
"Crusader Kings II (2012)"	40	18958
"Call of Duty: Black Ops II (2012)"	39	18997
"Dishonored: Die Maske des Zorns (2012)"	39	19036
"FIFA 14 (2013)"	39	19075
"Insurgency: Modern Infantry Combat (2007)"	39	19114
"Half-Life 2 (2004)"	37	19151
"Killing Floor (2009)"	37	19188
"Elite: Dangerous (2014)"	36	19224
"Valkyria Chronicles (2008)"	36	19260
"Mass Effect (2007)"	35	19295
"Driveclub (2014)"	33	19328
"Borderlands (2009)"	32	19360
"Counter-Strike: Source (2004)"	32	19392
"Grand Theft Auto IV (2008)"	32	19424
"Halo: Combat Evolved (2001)"	32	19456
"Path of Exile (2013)"	32	19488
"Portal 2 (2011)"	32	19520
"Anno 2070 (2012)"	31	19551
"Fallout 3 (2008)"	31	19582
"The Elder Scrolls Online (2014)"	31	19613
"Warcraft III: Reign of Chaos (2002)"	31	19644
"Pflanzen gegen Zombies: Garden Warfare (2014)"	31	19675
"Call of Duty: Ghosts (2013)"	30	19705
"Pro Evolution Soccer 2015 (2014)"	30	19735
"Sunset Overdrive (.)"	30	19765
"(???) Super Smash Bros. ()"	29	19794
"Die Sims 4 (2014)"	29	19823
"Don't Starve (2014)"	29	19852
"The Witcher (2007)"	29	19881
"Age of Empires II: The Age of Kings (1999)"	28	19909
"DayZ Standalone (2013)"	28	19937
"Dragon Age II (2011)"	28	19965
"Space Engieeners (2013)"	28	19993
"Bayonetta 2 (2014)"	27	20020
"Heroes of the Storm (2015)"	27	20047
"Terraria (2013)"	27	20074
"Anno 1404 (2009)"	26	20100
"Assassin's Creed Rogue (2014)"	26	20126
"EVE Online (2006)"	26	20152
"Final Fantasy XIII (2010)"	26	20178
"Gothic II (2003)"	26	20204
"Hyrule Warriors (2014)"	26	20230
"Star Trek Online (2010)"	26	20256
"Train Fever (2014)"	26	20282
"Assassin's Creed II (2009)"	25	20307
"Landwirtschafts-Simulator 2015 (2014)"	25	20332
"Tales from the Borderlands (2014)"	24	20356
"The Last of Us: Remastered (2014)"	24	20380
"Total War: Shogun 2 (2011)"	24	20404
"XCOM: Enemy Unknown (2012)"	24	20428
"7 Days to Die (2013)"	23	20451
"Company of Heroes (2006)"	23	20474
"Injustice: Gods Among Us (2013)"	23	20497
"Shadow Warrior (1997)"	23	20520
"inFAMOUS Second Son (2014)"	23	20543
"ArcheAge (2013)"	22	20565
"Final Fantasy XIV: A Realm Reborn (2013)"	22	20587
"Prison Architect (2013)"	22	20609
"Batman: Arkham Origins (2013)"	21	20630
"Dead Island (2011)"	21	20651
"Dead Rising 3 (2013)"	21	20672
"Hitman: Absolution (2012)"	21	20693
"Ryse: Son of Rome (2013)"	21	20714
"Deus Ex: Human Revolution (2011)"	20	20734
"Pokémon X (2013)"	20	20754
"The Vanishing of Ethan Carter (2014)"	20	20774
"Call of Duty: Modern Warfare 2 (2009)"	19	20793
"Gothic 3 (2006)"	19	20812
"Mass Effect 2 (2010)"	19	20831
"Metro 2033 Redux (2014)"	19	20850
"Papers, Please (2013)"	19	20869
"Red Dead Redemption (2010)"	19	20888
"The Forest (2014)"	19	20907
"Thief (1998)"	19	20926
"Valiant Hearts: The Great War (2014)"	19	20945
"Goat Simulator (2014)"	19	20964
"(???) Fifa ()"	18	20982
"GRID 2 (2013)"	18	21000
"MechWarrior Online (2013)"	18	21018
"Mirror's Edge (2008)"	18	21036
"Rising Storm (2013)"	18	21054
"State of Decay (2013)"	18	21072
"Chivalry: Medieval Warfare (2012)"	17	21089
"Darksiders 2 (2012)"	17	21106
"Endless Legend (2014)"	17	21123
"Enslaved: Odyssey to the West (2011)"	17	21140
"Forza Motorsport 5 (2013)"	17	21157
"(???) Pokémon ()"	16	21173
"Batman: Arkham City (2011)"	16	21189
"Battlefield: Bad Company 2 (2010)"	16	21205
"Bioshock (2008)"	16	21221
"Just Cause 2 (2010)"	16	21237
"Metro: Last Light (2013)"	16	21253
"Neverwinter Nights 2 (2006)"	16	21269
"Portal (2007)"	16	21285
"The Banner Saga (2014)"	16	21301
"The Simpsons: Springfield (.)"	16	21317
"Age of Empires II HD (2013)"	15	21332
"Alan Wake (2012)"	15	21347
"Assassin's Creed: Revelations (2011)"	15	21362
"Deponia (2012)"	15	21377
"Far Cry (2004)"	15	21392
"Legend of Grimrock 2 (2014)"	15	21407
"Quizduell (2012)"	15	21422
"Rocksmith 2014 (2013)"	15	21437
"(???) Battlefield ()"	14	21451
"Assetto Corsa (2014)"	14	21465
"BattleBlock Theater (2013)"	14	21479
"Child of Light (2014)"	14	21493
"Grid Autosport (2014)"	14	21507
"LEGO Batman 3: Beyond Gotham (2014)"	14	21521
"Pflanzen gegen Zombies (2009)"	14	21535
"Rayman Legends (2013)"	14	21549
"Saints Row: The Third (2011)"	14	21563
"Sleeping Dogs (2012)"	14	21577
"The Long Dark (2014)"	14	21591
"WWE 2k15 (2014)"	14	21605
"Wolfenstein (2009)"	14	21619
"Grand Theft Auto: San Andreas (2007)"	14	21633
"Planetary Annihilation (2014)"	14	21647
"Spec Ops: The Line (2012)"	14	21661
"2048 (.)"	13	21674
"Crysis 3 (2013)"	13	21687
"Dungeon of the Endless (2014)"	13	21700
"Empire: Total War (2009)"	13	21713
"Fantasy Life (2014)"	13	21726
"Far Cry 3: Blood Dragon (2013)"	13	21739
"Grand Theft Auto (1998)"	13	21752
"Half-Life (1998)"	13	21765
"Metal Gear Rising: Revengeance (2013)"	13	21778
"Plague Inc. (2012)"	13	21791
"Risk of Rain (2013)"	13	21804
"The Elder Scrolls IV: Oblivion (2006)"	13	21817
"Max Payne 3 (2012)"	13	21830
"Bayonetta (2010)"	12	21842
"Der Herr der Ringe Online (2007)"	12	21854
"Gothic (2001)"	12	21866
"Gran Turismo 6 (2013)"	12	21878
"Hearts of Iron III (2009)"	12	21890
"Kingdom hearts 2.5 HD Remix (.)"	12	21902
"LEGO Marvel Super Heroes (2013)"	12	21914
"Madden NFL 15 (2014)"	12	21926
"Mafia II (2010)"	12	21938
"Sid Meier's Civilization IV (2005)"	12	21950
"Sins of a Solar Empire (2008)"	12	21962
"Smite (.)"	12	21974
"Solitär (2008)"	12	21986
"Starbound (2013)"	12	21998
"Tropico 4 (2011)"	12	22010
"Far Cry 2 (2008)"	12	22022
"Never Alone (.)"	12	22034
"Tropico 5 (2014)"	12	22046
"(???) X-Com ()"	11	22057
"A Bird Story (2014)"	11	22068
"Assassin's Creed: Brotherhood (2010)"	11	22079
"Baldur's Gate (1998)"	11	22090
"Call of Duty 4: Modern Warfare (2007)"	11	22101
"Command and Conquer 3: Tiberium Wars (2006)"	11	22112
"Die Sims 3 (2009)"	11	22123
"Dungeons & Dragons: Neverwinter (2013)"	11	22134
"Endless Space (2012)"	11	22145
"FIFA 13 (2012)"	11	22156
"LittleBigPlanet 3 (2014)"	11	22167
"Metro 2033 (2010)"	11	22178
"Monument Valley (2014)"	11	22189
"Outlast (GOG) (2014)"	11	22200
"Spintires (2014)"	11	22211
"Star Wars: Knights of the Old Republic (2003)"	11	22222
"Tom Clancy's Splinter Cell: Blacklist (2013)"	11	22233
"XCOM: Enemy Within (2013)"	11	22244
"Baldur's Gate 2: Schatten von Amn (2006)"	10	22254
"Brothers: A Tale of Two Sons (2013)"	10	22264
