"Titel"	"Kommentar"
"0h h1"	"s.Rey"
"4 Bilder ein Wort"	"s.Rey"
"8 Ball Pool Billard"	"s.Rey"
"A1"	"?"
"Academagia: The Making of Mages"	"s. Rey"
"Ace of Spades"	"s. Rey"
"Action Henk"	"?"
"Adventure Town"	"?"
"Age of Chivalry"	"OGDB: Half-Life 2"
"Age of Conan"	"(???) Age of Conan"
"Age of Empires: Castle Siege"	"Age of Empires: Castle Siege"
"Age of Mythology (Extended Edition)"	"OGDB: Age of Mythology: Extended Edition"
"Alien Hive"	"OGDB: Alien Hive"
"Alien Isolation"	"OGDB: Alien: Isolation"
"Aliens vs Predators (2010)"	"OGDB: Aliens vs Predator (2010)"
"Amazing Alex"	"OGDB: Amazing Alex"
"Amazing Ninja"	"Amazing Ninja"
"Angry Birds Transformers"	"OGDB: Angry Birds Transformers "
"Anno Online"	"OGDB: Anno Online"
"Arcana Heart 3: LOVE MAX!!!!!"	"OGDB: Arcana Heart 3: LOVE MAX!!!!!"
"ArcheAge"	"ArcheAge"
"ArcheBlade"	"ArcheBlade"
"Arena : Cyber Evolution"	"Arena: Cyber Evolution"
"ArmA 2"	"OGDB: ArmA II"
"ArmA 3"	"OGDB: ArmA III"
"Armed Assault 3‎"	"OGDB: ArmA III"
"Army of Darkness: Defense"	"OGDB:  Army of Darkness: Defense"
"Asphalt 8: Airborne"	"Asphalt 8: Airborne"
"Assassin's Creed Rogue"	"OGDB: Assassin's Creed: Rogue"
"Assassin's Creed Unity"	"OGDB: Assassin's Creed: Unity"
"Assassins Creed Black Flag"	"OGDB: Assassin's Creed: Black Flag"
"Aura Kingdom"	"Aura Kingdom"
"AVA - Alliance of Valiant Arms"	"A.V.A - Alliance of Valiant Arms"
"Azkend"	"Azkend"
"Back to the Future: The Game"	"OGDB: Back to the Future: The Game"
"Bad Piggies"	""
"Badland (2013)"	""
"Baldur's Gate 2: Schatten von Amn"	""
"Baldur's Gate: Enhanced Edition"	""
"Banner Saga"	""
"Baphomets Fluch (1996)"	""
"Baphomets Fluch: Der Sündenfall"	""
"Batman: Arkham Knight"	""
"Battle Island"	""
"Battlefield 4/Final Stand"	""
"Battlefield Heroes"	""
"Battlefield Play4Free"	""
"Beasts of Prey"	""
"Bike Rivals"	""
"Biohazard rebirth"	""
"Bit.Trip.Runner"	""
"Bit.Trip.Runner 2"	""
"Blacklight Retribution"	""
"Blackshot"	""
"Bleach - Soul Resurreccion"	""
"Blendoku"	""
"Blitz Brigade"	""
"Blobby Volley"	""
"Blobby Volley 2"	""
"Blockstorm"	""
"Blood 2"	""
"Bloons Tower Defense 5"	""
"Book of unwritten Tales"	""
"Boom Beach"	""
"Borderlands The Pre- Sequel"	""
"Borderlands: The Pre-Sequel"	""
"Brave and Default"	""
"Bubble Witch 2 Saga"	""
"Burnout Paradise"	""
"Candy Crush"	""
"Candy Crush Saga"	""
"Candy Crush Soda Saga"	""
"Caste Ville"	""
"Castle Clash"	""
"Castle Crush"	""
"Castle story"	""
"Castlevania: Lords of Shadow – Mirror of Fate"	""
"Ceasar IV"	""
"Chariot"	""
"Chess (Jeroen Carolus)"	""
"Chess 2 - The Sequel"	""
"Civ. Beyond Earth"	""
"Civilization Beyond Earth"	""
"Civilization Revolution"	""
"Clash of Clans"	""
"Clicker heroes"	""
"Clonk Rage"	""
"Cognition: An Erica Reed Thriller"	""
"Command & Conquer: Tiberium Alliances"	""
"Command and Conquer 3: Tiberium Wars"	""
"Construction Simulator 2015"	""
"Cookie Clicker"	""
"CosmicBreak"	""
"Cosmonautica"	""
"Craft The World"	""
"Crash Bandicoot 2"	""
"Crawl"	""
"Creeper World 3 - Knuckle Cracker"	""
"Criminal Case"	""
"Croqinole"	""
"Crypt of the NecroDancer"	""
"CSI: Hidden Crimes"	""
"Curve Fever"	""
"Cut The Rope 2"	""
"Cytus"	""
"Daedelus"	""
"Danganronpa"	""
"Dark Messiah of Might and Magic"	""
"Dark Project 2: The Metal Age"	""
"Dark Souls - Prepare to Die Edition"	""
"Darkfall Online"	""
"Darkness Reborn"	""
"Darksiders 2"	""
"Das Schwarze Auge: Blackguards"	""
"Dawn of War"	""
"Dawn of War II"	""
"DayZ Standalone"	""
"DCS: A-10C Warthog - Digital Combat Simulator"	""
"Defy Gravity"	""
"Deliverance-Kingdome Comes Tech Alpha"	""
"Deponia - the Complete Journey"	""
"Deponia: The Complete Journey"	""
"Der Herr der Ringe Online"	""
"der herr der ringe schlacht um mittelerde"	""
"Der Herr der Ringe: Die Schlacht um Mittelerde 2"	""
"Despicable Me: Minion Rush"	""
"Devil's Attorney"	""
"diablo 3"	""
"Die Siedler – Aufstieg eines Königreichs"	""
"Die Siedler II – Die nächste Generation"	""
"Die Siedler Online"	""
"Die Sielder - Das Erbe der Könige"	""
"Die Stämme"	""
"Dirks kostenloser Fussballmanager"	""
"Dirt: Showdown"	""
"Dirty Bomb"	""
"Disney Infinity"	""
"Disney Infinity: 2.0 Edition"	""
"Divinity 2: Ego Draconis"	""
"Dofus"	""
"Doodle God"	""
"Doom 2"	""
"Door Kickers"	""
"Doppelkopf"	""
"DotA 1"	""
"Dota 2"	""
"Dragon Age. Inquisition"	""
"Dragon Quest IX"	""
"Drakensang Online"	""
"Dreamfall Chapters: The Longest Journey"	""
"DTM Experience 2014"	""
"Dungeon Defenders II"	""
"Dungeon Hunter 3"	""
"Dungeon Hunter 4"	""
"Dungeon of Slyn"	""
"Dungeon of the Endless"	""
"Dungeon Raid"	""
