"Titel"	"Anzahl"
" "	"1"
" Halo - The Master Chief Collection "	"1"
" Injustice "	"1"
" Middleearth shadow of mordor "	"1"
"Baldures Gate 2 "	"1"
"Battelfield "	"1"
"Battlefield 4, alle AddOns "	"1"
"batttlefield 3"	"1"
"BlazBlue (alle Spielereihe)"	"1"
"Butokai Tenkaichi 2"	"1"
"C;LoS 2"	"1"
"Call of Duty Advanced Warfigher"	"1"
"call of duty modern warfer 2 "	"1"
"Call of Juarez 1"	"1"
"Castlevania - Lords of Shadows 2"	"1"
"Castlevania Lords of Shadow 2"	"1"
"Castlevania mirrow of fate"	"1"
"Cod - Ghost "	"1"
"COD Awf "	"1"
"Command and Conquer 3 Tiberium Wars"	"1"
"Counter-Strikem: GO "	"1"
"DA; Inquisition "	"1"
"Dark Souls; Prepare to Die Edition"	"1"
"Defender´s Quest"	"1"
"Diablo 3 inkl. Addon"	"1"
"divinity orginal sin "	"1"
"Dragon Age Inwuisition "	"1"
"Dragon Age; Inquisition"	"1"
"Dreamfall - The Longest Journey"	"1"
"Duke Nukem - Time to Kill"	"1"
"EA UFC Undisputed "	"1"
"East India Company Gold"	"1"
"EDF 2025"	"1"
"Elder scrolls 5 : Skyrim "	"1"
"ENSLAVED Odyssey to the West "	"1"
"Escape Plan"	"1"
"Farc Cry 4 (PC)"	"1"
"Farm ville "	"1"
"Firza Horizon 2 "	"1"
"Fußball Manager "	"1"
"Gabriel knight 20th anniversary "	"1"
"Gabriel Knight Sins of the Fathers"	"1"
"Game of Thrones - A Telltale Series "	"1"
"Grand turismo 6 "	"1"
"Halo Masterchief Edition "	"1"
"Halo The Master Chief "	"1"
"HdR; Schlacht um Mittelerde 2"	"1"
"Heroes Might and Magic 6 "	"1"
"Heroes of Might & Magic 6"	"1"
"Ich hasse Frauen "	"1"
"In famous Secound son "	"1"
"Infamous First Light"	"1"
"Injustice Ultimate Edition "	"1"
"just caus 2 "	"1"
"Landwirtschaftssimulator "	"1"
"Lars croft and the Guardian of light "	"1"
"Lauge of the legends "	"1"
"League of Legende "	"1"
"Lego Batman 3; Beyond Gotham"	"1"
"M.A.X. "	"1"
"Mass Effekt "	"1"
"mech warior online"	"1"
"Mittelerde : Mordors Schatten"	"1"
"Monument Vellay "	"1"
"Nhl "	"1"
"Pflanzen vs Zombies "	"1"
"Pokémon Gold "	"1"
"Pokémon Rubin "	"1"
"Pokémon: Weisse Edition "	"1"
"Primal Carnage"	"1"
"Primal Carnage: Extinction"	"1"
"Professor Layton und die Maske des Schicksals "	"1"
"Quake III and Team Arena - CTF "	"1"
"Rambo The Video Game"	"1"
"Red Dead Redamption "	"1"
"Risen 1 "	"1"
"Rising Storm / Red Orchestra II "	"1"
"salt "	"1"
"shake and fidget "	"1"
"Simpson Springfield "	"1"
"Singstar "	"1"
"South park-starb der Wahrheit "	"1"
"Splinter Cell: Blacklist: "	"1"
"Star Wars KotOR"	"1"
"Steins;Gate"	"1"
"Street Pass "	"1"
"Tactical Ops"	"1"
"Take On Helicopters"	"1"
"Tales from the Borderlands Ep 1"	"1"
"Tales frome the Borderlands"	"1"
"Tales Of Hearts"	"1"
"Tales of hearts r "	"1"
"Tales of Innocence R"	"1"
"Tales of Phantasia "	"1"
"Tales Of Symphonia: Dotnw"	"1"
"Tangled Android"	"1"
"TBOI: Rebirth"	"1"
"TE: Syrim"	"1"
"Team Fortess 2"	"1"
"Team Fortress 2 - Men vs. Machine"	"1"
"Team-Fortress 2"	"1"
"Tekken Tag Tournament"	"1"
"Teleglitch: Die more Edition"	"1"
"Telltale Game of Thones"	"1"
"Telltale: Game of Thrones"	"1"
"Telltale's Game of Thrones"	"1"
"Telltales Game of Thrones"	"1"
"Temple of Osiris"	"1"
"Temple Run"	"1"
"Temple Run 2"	"1"
"Tentacle Girl"	"1"
"Tentacle Wars"	"1"
"TES IV Skyrim"	"1"
"TES Skyim"	"1"
"TES-V Skyrim"	"1"
"TES: Morrowind"	"1"
"TES: Oblivion"	"1"
"TES:Skyrim"	"1"
"TEST V Skyrim"	"1"
"Tetris Ultimate"	"1"
"Texas Hold'em King 2"	"1"
"TF:2"	"1"
"The 39 Steps"	"1"
"The Age of Decadence"	"1"
"The amazing Spider-man 2"	"1"
"The Bard's Tale"	"1"
"The Binding of Isaac Rebirth ( PS Vita)"	"1"
"The Binding of Isacc Rebirth"	"1"
"The binding of issac"	"1"
"The Binding oft Isaac Rebirth"	"1"
"The Bindings of Isaac: Rebirth"	"1"
"The Blackwell Epiphany"	"1"
"the book of unwriten tales 2"	"1"
"The Book of Unwritten Tales 1"	"1"
"The Chronicles of Riddick"	"1"
"The Crew (360)"	"1"
"the crewthe cre"	"1"
"The Elder Scroll: Skyrim"	"1"
"The Elder Scrolls III: Morrowind - Game of the Year Edition (Xbox)"	"1"
"The Elder Scrolls Oblivion"	"1"
"The Elder Scrolls V: Skyrim (PS3/PC)"	"1"
"The Elder Scrolls: Oblivion/Skyrim"	"1"
"The Elder Scrools 5:Skyrim"	"1"
