"Alter"	"kA"	"m"	"f"	"anders"
-1	169	89	4	0
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	3	0	0
14	0	4	0	0
15	0	16	1	0
16	0	37	1	0
17	1	45	3	0
18	1	66	1	0
19	0	55	3	0
20	0	69	2	0
21	2	62	11	0
22	1	53	4	0
23	1	74	3	1
24	1	68	3	1
25	1	90	8	0
26	1	65	10	0
27	3	69	4	1
28	1	51	3	1
29	2	67	9	0
30	0	48	5	0
31	3	41	5	3
32	4	55	1	0
33	0	53	4	0
34	1	52	5	0
35	0	42	1	0
36	0	21	0	0
37	1	33	2	0
38	0	25	0	0
39	0	16	2	0
40	1	14	0	0
41	0	16	2	0
42	0	12	1	0
43	0	14	1	0
44	0	14	2	0
45	0	4	1	0
46	1	11	0	2
47	1	4	0	0
48	0	5	1	0
49	0	6	3	0
50	0	10	1	0
51	0	1	1	0
52	1	3	0	0
53	0	2	1	0
54	0	3	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	1	0	0
59	0	2	0	0
60	0	0	0	0
61	0	0	0	0
62	0	2	1	0
63	0	1	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	1
76	0	1	0	1
