"In welchem Jahr bist du geboren?"	"Häufigkeit"
.	260
95.0	1
1900.0	1
1939.0	2
1940.0	1
1952.0	1
1953.0	3
1956.0	2
1957.0	1
1961.0	3
1962.0	3
1963.0	4
1964.0	2
1965.0	11
1966.0	9
1967.0	6
1968.0	5
1969.0	14
1970.0	5
1971.0	16
1972.0	15
1973.0	13
1974.0	18
1975.0	15
1976.0	18
1977.0	25
1978.0	36
1979.0	21
1980.0	43
1981.0	58
1982.0	57
1983.0	60
1984.0	52
1985.0	53
1986.0	78
1987.0	56
1988.0	77
1989.0	76
1990.0	99
1991.0	73
1992.0	79
1993.0	58
1994.0	75
1995.0	71
1996.0	58
1997.0	68
1998.0	49
1999.0	38
2000.0	17
2001.0	4
2002.0	3
