"[Spielbezogene Abos (regelmäßige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"kA"	"m"	"f"	"anders"
0	18	888	68	5
2	0	1	0	0
7	0	1	0	0
8	0	1	0	0
9	0	0	1	0
9	0	1	0	0
10	0	4	1	0
12	0	4	0	0
12	0	1	0	0
13	0	4	0	0
15	0	4	0	0
16	0	1	0	0
20	1	7	1	0
21	0	0	1	0
22	0	1	0	0
24	0	1	0	0
25	0	7	0	0
26	0	2	0	0
30	1	11	3	0
32	0	2	0	0
35	0	2	0	0
36	0	2	0	0
39	0	1	0	0
40	0	12	2	0
42	0	1	0	0
45	0	4	1	0
49	0	1	0	0
50	0	49	5	0
52	0	1	0	0
54	0	1	0	0
59	0	1	0	0
60	1	19	1	0
65	0	4	0	0
70	0	6	1	0
72	0	1	0	0
75	0	3	0	0
80	0	7	0	0
84	0	1	0	0
90	0	1	0	0
91	0	1	0	0
100	1	23	2	1
110	0	1	0	0
120	0	8	2	0
125	0	1	0	0
129	0	1	0	0
130	1	3	0	0
138	0	1	0	0
144	0	1	0	0
150	0	5	1	0
155	0	1	0	0
156	0	5	1	0
160	0	1	0	0
170	0	1	0	0
180	0	3	1	0
200	0	7	0	0
220	0	1	0	0
240	0	1	0	0
250	0	4	0	0
272	0	1	0	0
300	0	1	0	0
360	0	0	1	0
400	0	2	0	0
500	0	1	0	0
.	174	363	17	5
