"[Addons, DLC, Bezahlinhalte] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"nA"	"<60"	"<55"	"<50"	"<45"	"<40"	"<35"	"<30"	"<25"	"<20"	"<15"
0	10	2	2	7	9	18	41	56	35	21	2
1	0	0	0	0	0	0	1	0	0	0	0
2	0	0	0	0	0	0	0	2	1	0	0
3	0	0	0	0	0	0	0	2	0	0	0
4	0	0	0	0	0	0	0	0	0	2	0
5	5	0	0	1	0	3	6	5	15	6	0
6	0	0	0	0	0	0	0	0	0	1	0
8	0	0	0	0	0	1	0	0	0	0	0
9	0	0	0	0	0	0	1	0	0	0	0
9	1	0	0	0	0	0	0	0	0	0	0
10	4	0	2	3	5	11	15	17	22	14	0
10	0	0	0	0	0	0	0	0	1	0	0
12	0	0	0	0	0	1	1	1	1	1	0
12	0	0	0	0	0	0	0	0	0	1	0
12	0	0	0	0	0	0	0	0	1	0	0
13	0	0	0	0	0	0	0	0	0	1	0
14	0	0	0	0	0	0	0	0	0	1	0
15	3	0	0	0	1	4	4	8	6	6	0
17	0	0	0	0	0	0	1	0	0	0	0
18	0	0	0	0	0	0	1	1	0	0	0
20	7	0	2	1	4	9	27	33	27	21	0
23	0	0	0	0	0	0	0	1	0	0	0
24	0	0	1	0	0	0	0	0	0	0	0
25	1	0	1	0	4	3	4	11	8	3	0
26	0	0	0	0	0	1	0	1	0	0	0
26	0	0	0	0	0	0	0	1	0	0	0
28	0	0	0	0	0	0	0	1	0	0	0
29	0	0	0	0	0	0	0	0	0	1	0
30	5	0	1	1	9	9	16	15	19	17	0
34	0	0	0	0	0	0	0	0	0	1	0
35	0	0	0	0	1	1	1	1	3	3	0
40	3	0	0	1	0	2	5	13	8	4	2
44	0	0	0	0	0	1	0	0	0	0	0
45	0	0	0	0	0	0	0	0	1	1	0
50	14	1	2	4	12	17	42	44	48	32	0
51	0	0	0	0	0	0	1	0	0	0	0
57	0	0	0	0	0	0	0	1	0	0	0
60	1	0	0	0	1	2	6	15	6	6	0
62	0	0	0	0	0	0	0	1	0	0	0
63	0	0	0	0	0	0	0	0	0	1	0
65	1	0	0	0	0	0	0	0	1	0	0
67	0	0	0	0	0	0	0	0	0	1	0
70	0	0	0	0	0	2	2	3	5	1	0
75	0	0	0	0	2	1	1	2	0	2	0
80	1	0	1	0	2	3	2	1	4	1	0
90	1	0	0	0	0	0	1	1	0	1	0
95	0	0	0	0	0	0	0	1	0	0	0
100	6	0	1	3	4	12	27	39	27	7	0
110	0	0	0	0	0	0	0	0	0	1	0
120	1	0	0	0	0	1	1	2	1	4	0
130	0	0	0	0	0	0	0	1	1	0	0
139	0	0	0	0	0	0	0	1	0	0	0
140	0	0	0	0	0	0	1	0	1	0	0
150	1	0	1	3	1	3	8	12	10	3	0
180	0	0	0	0	0	0	1	0	1	0	0
200	3	0	0	1	7	5	9	18	12	5	0
210	0	0	0	1	0	0	0	0	0	1	0
220	0	0	0	0	0	0	0	0	1	0	0
223	0	0	0	0	0	0	0	1	0	0	0
250	0	0	0	1	2	2	0	0	4	2	0
300	2	0	1	1	0	0	6	5	3	5	0
320	0	0	0	0	0	0	0	0	1	0	0
350	0	0	0	0	0	1	1	0	0	1	0
355	0	0	0	0	0	0	0	0	1	0	0
390	0	0	0	0	0	0	0	0	1	0	0
400	1	0	0	0	0	1	1	6	3	1	0
455	0	0	0	0	0	0	0	0	0	1	0
500	0	0	0	0	3	2	3	4	2	0	1
600	0	0	0	0	0	0	1	1	1	1	0
700	0	0	0	1	0	0	0	1	0	0	0
1000	1	0	0	0	1	1	0	0	2	0	0
1500	0	0	0	0	1	0	0	0	0	0	0
1700	0	0	0	0	0	0	0	0	0	1	0
2000	1	0	0	0	0	0	0	0	1	0	0
.	196	0	8	10	8	26	42	57	71	47	2
