"[Addons, DLC, Bezahlinhalte] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"kA"	"m"	"f"	"anders"
0	7	177	18	1
1	0	1	0	0
2	0	3	0	0
3	0	1	1	0
4	0	2	0	0
5	1	36	3	1
6	0	1	0	0
8	0	1	0	0
9	0	1	0	0
9	0	1	0	0
10	1	84	8	0
10	0	1	0	0
12	0	5	0	0
12	0	1	0	0
12	0	1	0	0
13	0	1	0	0
14	0	1	0	0
15	2	28	2	0
17	0	1	0	0
18	0	2	0	0
20	1	117	12	1
23	0	1	0	0
24	0	0	1	0
25	0	33	2	0
26	0	2	0	0
26	0	1	0	0
28	0	1	0	0
29	0	1	0	0
30	1	84	7	0
34	0	1	0	0
35	0	9	1	0
40	1	35	2	0
44	0	1	0	0
45	0	2	0	0
50	4	192	19	1
51	0	1	0	0
57	0	1	0	0
60	0	33	4	0
62	0	1	0	0
63	0	1	0	0
65	1	1	0	0
67	0	1	0	0
70	0	13	0	0
75	0	8	0	0
80	1	14	0	0
90	0	4	0	0
95	0	1	0	0
100	3	111	9	3
110	0	1	0	0
120	0	10	0	0
130	0	2	0	0
139	0	0	1	0
140	0	2	0	0
150	1	38	2	1
180	0	2	0	0
200	1	55	4	0
210	0	2	0	0
220	0	1	0	0
223	0	1	0	0
250	0	11	0	0
300	0	23	0	0
320	0	1	0	0
350	0	3	0	0
355	0	1	0	0
390	0	1	0	0
400	0	13	0	0
455	0	1	0	0
500	0	14	1	0
600	0	4	0	0
700	0	2	0	0
1000	0	5	0	0
1500	0	1	0	0
1700	0	1	0	0
2000	0	2	0	0
.	172	279	13	3
