"[Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"kA"	"m"	"f"	"anders"
0	6	405	39	2
5	0	1	0	0
8	0	1	0	0
10	1	2	0	0
11	0	1	0	0
12	0	1	0	0
14	0	1	0	0
15	0	2	0	0
20	0	13	2	0
25	0	3	0	0
30	0	14	1	0
34	0	1	0	0
35	0	1	1	0
40	2	6	2	0
45	0	1	0	0
46	0	1	0	0
49	0	1	0	0
50	0	41	2	1
60	0	14	1	0
65	0	2	0	0
70	0	10	0	0
80	1	8	2	0
85	0	1	0	0
90	0	1	0	0
100	2	57	3	0
110	0	3	0	0
120	0	8	1	0
125	0	2	0	0
130	0	4	0	0
133	0	1	0	0
140	0	2	1	0
150	0	27	1	0
160	0	2	0	0
180	1	4	0	0
200	1	41	6	0
210	0	1	0	0
220	0	4	0	0
225	0	2	0	0
233	0	1	0	0
240	0	2	0	0
250	0	24	0	0
260	0	1	0	0
270	0	2	0	0
280	0	4	0	0
290	0	1	0	0
300	0	48	5	1
320	0	5	0	0
330	0	2	0	0
340	0	3	0	0
350	1	23	1	0
360	0	1	0	0
370	0	0	1	0
375	0	1	0	0
380	0	1	0	0
390	0	1	0	0
399	0	3	0	0
400	2	44	4	0
430	0	1	0	0
440	0	0	1	0
450	0	9	1	0
484	0	1	0	0
499	0	1	0	0
500	1	71	5	1
511	0	1	0	0
550	0	2	0	0
579	0	1	0	0
600	1	27	0	0
630	0	1	0	0
635	1	0	0	0
650	0	3	0	0
660	0	1	0	0
700	1	13	1	0
720	0	1	0	0
750	0	3	0	1
799	0	1	0	0
800	0	24	1	0
820	0	0	1	0
850	0	1	0	0
870	0	1	0	0
900	0	5	1	0
920	0	1	0	0
950	0	2	0	0
1000	0	49	1	0
1050	0	1	0	0
1100	1	4	0	0
1200	0	15	0	0
1250	0	1	0	0
1290	0	1	0	0
1300	0	10	0	0
1340	0	1	0	0
1349	0	1	0	0
1400	1	3	1	0
1500	1	21	1	1
1593	0	1	0	0
1600	0	4	0	0
1650	0	1	0	0
1700	0	4	1	0
1800	0	5	1	0
2000	0	22	1	0
2100	0	1	0	0
2200	0	1	1	0
2500	0	5	0	0
3000	0	8	1	0
3600	0	1	0	0
3800	0	1	0	0
4000	0	3	0	0
4500	0	1	0	0
4900	0	1	0	0
5000	0	1	0	0
.	173	300	18	4
