"[Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"nA"	"<60"	"<55"	"<50"	"<45"	"<40"	"<35"	"<30"	"<25"	"<20"	"<15"
0	3	0	1	2	1	0	3	5	4	4	0
3	1	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	1	0	0	0
5	0	0	0	0	0	0	1	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	1
10	0	0	0	0	1	0	3	4	0	1	0
15	0	0	0	0	0	0	1	1	1	1	0
18	0	0	0	0	0	0	0	0	0	1	0
20	1	0	0	0	0	2	3	3	5	6	0
24	1	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	4	1	0	0
30	4	0	0	1	1	5	2	7	4	2	0
31	0	0	0	0	0	0	0	0	1	0	0
35	0	0	0	0	0	0	1	1	1	0	0
40	1	0	0	2	1	3	3	2	3	1	0
42	0	0	0	0	0	0	0	1	0	0	0
45	0	0	0	0	0	0	0	1	1	0	0
50	4	0	2	3	8	4	11	20	11	15	0
55	0	0	0	0	0	2	0	0	0	1	0
56	0	0	0	0	0	0	0	0	0	1	0
60	4	0	1	1	1	4	5	5	4	9	1
70	0	0	0	0	0	2	3	6	3	5	0
75	0	0	0	0	0	2	1	4	1	0	0
79	0	1	0	0	0	0	0	0	0	1	0
80	0	0	0	0	3	4	6	6	6	6	0
85	0	0	0	1	0	0	0	0	1	0	0
90	1	0	0	0	0	1	1	2	2	0	0
100	8	1	3	1	8	8	35	31	26	25	0
110	0	0	0	0	0	1	0	1	2	0	0
112	0	0	0	0	0	0	0	0	1	0	0
113	0	0	0	0	0	0	0	0	1	0	0
115	0	0	0	0	0	0	1	0	0	0	0
120	1	0	1	0	1	1	2	9	7	5	0
130	0	0	0	0	0	0	2	0	2	0	0
134	0	0	0	0	0	0	0	0	0	1	0
140	0	0	0	0	0	1	0	3	2	3	0
145	0	0	0	0	0	0	0	0	1	0	0
150	9	1	0	2	10	9	23	30	18	18	0
160	0	0	0	0	0	1	1	1	1	0	0
165	0	0	0	0	0	0	0	1	0	0	0
170	0	0	0	0	0	1	0	0	2	2	0
172	0	0	0	0	0	0	0	1	0	0	0
175	0	0	0	0	0	0	0	0	1	1	0
180	0	0	0	0	1	1	0	0	2	2	0
192	0	0	0	0	0	0	0	0	0	1	0
200	5	0	2	4	7	16	31	37	55	19	1
210	0	0	0	0	1	0	0	0	0	0	0
215	0	0	0	0	0	0	0	0	1	0	0
220	0	0	0	0	0	1	1	0	1	0	0
230	0	0	0	0	0	0	1	0	0	0	0
240	0	0	1	0	0	0	0	0	3	0	0
249	0	0	0	0	0	0	1	0	0	0	0
250	4	0	1	1	1	3	12	20	17	5	1
260	0	0	0	0	0	0	0	1	0	1	0
270	0	0	0	0	0	0	0	0	1	0	0
275	0	0	0	0	0	0	0	1	0	0	0
280	0	0	0	0	0	0	0	2	0	0	0
287	0	0	0	0	0	1	0	0	0	0	0
295	0	0	0	0	0	0	1	0	0	0	0
299	0	0	0	0	0	0	0	0	1	0	0
300	8	0	1	1	7	13	21	28	28	13	0
320	1	0	0	0	0	0	0	0	0	0	0
325	0	0	0	0	0	0	1	0	0	0	0
330	0	0	0	0	0	0	0	0	1	0	0
340	0	0	0	0	0	0	0	1	0	0	0
350	0	0	0	1	0	3	6	9	1	3	0
360	2	0	0	0	0	0	0	0	1	0	0
370	0	0	0	0	0	1	0	0	0	0	0
371	0	0	0	0	0	0	0	1	0	0	0
400	2	0	3	5	2	6	5	18	16	7	0
420	1	0	0	0	0	0	0	1	1	0	0
428	0	0	0	0	0	0	0	1	0	0	0
440	0	0	0	0	0	0	0	0	1	0	0
450	0	0	0	1	0	0	3	2	3	1	0
460	0	0	0	0	0	0	0	0	1	0	0
485	0	0	0	0	0	0	1	0	0	0	0
500	5	0	0	1	6	9	22	30	18	13	0
533	0	0	0	0	0	0	0	1	0	0	0
550	0	0	0	0	1	1	0	0	1	0	0
575	0	0	0	0	0	0	0	0	0	1	0
600	3	0	0	1	3	6	6	5	7	2	0
650	0	0	0	0	0	0	0	0	0	1	0
700	1	0	0	1	0	0	4	1	4	2	0
750	0	0	0	0	0	0	1	2	2	0	0
780	0	0	0	0	0	0	0	0	1	0	0
800	1	0	1	0	0	0	3	6	1	2	0
845	0	0	0	0	0	0	0	2	0	0	0
900	0	0	0	0	0	3	0	1	3	0	0
1000	4	0	1	1	4	0	6	10	4	1	1
1070	1	0	0	0	0	0	0	0	0	0	0
1200	0	0	0	0	0	0	1	0	1	1	0
1300	0	0	0	0	0	0	1	0	0	0	0
1350	0	0	0	0	0	0	1	0	0	0	0
1500	0	0	0	0	0	1	2	1	2	3	0
1600	0	0	0	0	0	0	0	1	0	0	0
1800	0	0	0	0	1	0	1	0	0	0	0
1900	0	0	0	0	0	1	0	0	0	0	0
2000	0	0	0	0	1	0	0	2	2	0	0
2300	0	0	0	0	0	1	0	0	0	0	0
2400	0	0	0	0	0	0	0	0	1	0	0
2500	0	0	0	0	0	1	1	0	0	0	0
3200	0	0	0	0	0	0	0	0	0	1	0
4000	0	0	0	0	1	0	0	0	0	0	0
5000	0	0	0	0	0	0	0	1	0	0	0
.	192	0	5	9	6	24	39	51	62	42	2
