"[Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"kA"	"m"	"f"	"anders"
0	1	20	1	1
3	0	1	0	0
4	0	1	0	0
5	0	0	1	0
8	0	1	0	0
9	0	1	0	0
10	0	6	3	0
15	0	4	0	0
18	0	1	0	0
20	0	17	3	0
24	0	1	0	0
25	0	5	0	0
30	0	26	0	0
31	0	1	0	0
35	0	2	1	0
40	0	16	0	0
42	0	1	0	0
45	0	1	1	0
50	1	72	4	1
55	0	3	0	0
56	0	1	0	0
60	0	33	2	0
70	0	16	3	0
75	1	7	0	0
79	0	2	0	0
80	0	28	3	0
85	0	2	0	0
90	0	7	0	0
100	6	124	16	0
110	0	4	0	0
112	0	1	0	0
113	0	1	0	0
115	0	1	0	0
120	1	24	2	0
130	0	3	1	0
134	0	1	0	0
140	0	8	1	0
145	0	1	0	0
150	1	114	5	0
160	0	3	1	0
165	0	1	0	0
170	0	5	0	0
172	0	1	0	0
175	0	2	0	0
180	0	5	1	0
192	0	1	0	0
200	3	156	16	2
210	0	1	0	0
215	0	1	0	0
220	0	3	0	0
230	0	1	0	0
240	0	3	1	0
249	0	1	0	0
250	1	56	7	1
260	0	2	0	0
270	0	1	0	0
275	0	1	0	0
280	0	2	0	0
287	0	1	0	0
295	0	1	0	0
299	0	1	0	0
300	3	108	7	2
320	0	1	0	0
325	0	1	0	0
330	0	1	0	0
340	0	1	0	0
350	0	21	1	1
360	0	2	1	0
370	0	1	0	0
371	0	1	0	0
400	2	60	2	0
420	0	3	0	0
428	0	1	0	0
440	0	1	0	0
450	1	9	0	0
460	0	1	0	0
485	0	1	0	0
500	1	96	7	0
533	0	1	0	0
550	0	3	0	0
575	0	1	0	0
600	0	30	3	0
650	0	1	0	0
700	0	12	1	0
750	0	5	0	0
780	0	1	0	0
800	0	13	1	0
845	0	0	2	0
900	0	7	0	0
1000	2	29	1	0
1070	0	1	0	0
1200	0	3	0	0
1300	1	0	0	0
1350	0	1	0	0
1500	0	8	1	0
1600	0	1	0	0
1800	0	2	0	0
1900	0	1	0	0
2000	0	5	0	0
2300	0	1	0	0
2400	0	0	1	0
2500	0	2	0	0
3200	0	1	0	0
4000	0	1	0	0
5000	0	1	0	0
.	172	248	9	3
