"Einstiegsalter"	"kA"	"m"	"f"	"anders"
-1	178	250	8	2
0	0	2	1	0
1	0	4	1	0
2	0	10	0	0
3	1	22	2	0
4	1	56	3	1
5	2	114	9	0
6	1	191	22	1
7	1	126	10	1
8	2	142	9	2
9	1	98	5	2
10	3	113	8	0
11	3	73	5	0
12	1	75	2	1
13	1	53	3	0
14	1	35	1	0
15	0	35	2	0
16	0	22	1	1
17	1	11	2	0
18	0	8	1	0
19	0	7	1	0
20	0	5	2	0
21	0	0	0	0
22	0	5	1	0
23	0	5	1	0
24	0	3	1	0
25	0	2	1	0
26	0	3	0	0
27	0	2	3	0
28	0	2	1	0
29	0	1	0	0
30	0	1	1	0
31	0	2	0	0
32	0	1	0	0
33	0	0	0	0
34	0	5	1	0
35	0	1	0	0
36	0	3	0	0
37	0	1	0	0
38	0	0	0	0
39	0	1	1	0
40	0	0	1	0
41	0	0	0	0
42	0	2	0	0
43	0	1	0	0
44	0	1	0	0
45	0	1	0	0
