"Wie viele Stunden verbringst du in der Woche mit Videospielen?"	"nA"	"<60"	"<55"	"<50"	"<45"	"<40"	"<35"	"<30"	"<25"	"<20"	"<15"
1	0	0	0	0	0	0	1	2	1	0	0
2	0	0	1	0	0	0	4	3	3	1	0
3	0	0	0	1	3	1	1	2	6	0	1
4	1	0	0	0	2	2	5	4	3	2	0
5	2	0	1	1	4	1	9	8	11	2	0
6	1	0	0	0	1	2	5	4	6	1	0
7	0	0	1	1	0	2	2	4	5	3	1
8	2	0	0	1	4	4	11	15	5	4	0
9	0	0	0	0	1	1	1	0	0	0	0
10	7	0	1	4	11	20	32	31	20	11	1
11	3	0	0	0	0	0	0	0	0	0	0
12	1	0	0	1	1	4	4	10	3	11	0
13	2	0	0	0	0	1	0	0	2	1	0
14	0	1	0	0	0	4	11	16	5	5	0
15	5	1	4	5	7	12	23	26	24	16	0
16	2	0	0	2	1	3	3	7	2	2	0
17	1	0	0	0	0	0	0	0	1	0	0
18	1	0	1	0	1	0	2	4	3	2	0
19	0	0	0	0	0	0	0	0	0	1	0
20	16	0	3	7	15	21	48	63	54	27	0
21	0	0	0	0	1	2	3	6	0	4	0
22	0	0	0	0	1	1	1	2	2	3	0
23	0	0	0	0	0	0	0	1	0	1	0
24	2	0	0	1	1	2	1	2	5	4	0
25	5	0	3	4	2	10	9	27	14	16	0
26	0	0	0	0	0	2	1	0	1	3	0
28	3	0	0	1	1	2	3	3	4	2	0
30	7	1	3	2	8	13	30	34	24	19	0
32	0	0	0	0	0	0	1	2	2	3	0
33	0	0	0	0	0	0	0	0	0	1	0
34	1	0	0	0	1	0	0	0	0	1	0
35	1	0	0	1	1	3	5	14	22	8	0
36	0	0	0	0	0	0	1	0	2	0	1
38	0	0	0	0	0	0	0	1	1	0	0
39	0	0	0	0	0	0	0	0	1	0	0
40	2	0	1	1	1	2	10	23	28	13	0
42	0	0	0	0	0	2	0	1	0	2	0
43	0	0	0	0	0	0	0	0	1	1	0
44	0	0	0	0	0	0	1	1	0	0	0
45	3	0	0	1	1	0	4	4	5	3	0
48	0	0	0	0	0	0	0	0	2	0	1
49	0	0	0	0	0	0	1	1	1	0	0
50	7	0	1	0	0	3	6	12	18	10	1
55	1	0	0	0	0	0	1	0	1	1	0
56	1	0	0	0	0	0	0	2	2	1	0
59	0	0	0	0	0	0	0	1	0	0	0
60	1	0	0	1	3	1	1	3	9	5	0
63	1	0	0	0	0	0	0	1	0	0	0
64	0	0	0	0	0	1	0	0	0	0	0
65	1	0	0	0	0	0	0	3	1	0	0
70	1	0	0	0	0	0	3	4	6	1	1
73	0	0	0	0	0	0	0	0	1	0	0
75	0	0	0	1	0	0	0	0	0	0	0
80	1	0	0	0	0	0	2	3	1	6	0
84	1	0	0	0	0	0	0	0	1	0	0
85	0	0	0	0	0	0	0	1	0	1	0
86	0	0	0	0	0	0	0	0	0	1	0
90	0	0	0	0	0	0	0	0	0	2	0
100	0	0	0	0	2	0	2	1	2	0	0
110	0	0	0	0	0	0	0	1	0	0	0
120	0	0	0	0	0	0	0	1	0	0	0
140	0	0	0	0	0	0	0	0	0	1	0
.	186	0	3	3	3	19	32	32	44	28	0
