"Titel"	"Nennungen"
"()"	75
"Fallout 4 (2015)"	23
"The Witcher III: Wild Hunt (2015)"	20
"The Elder Scrolls V: Skyrim (2011)"	17
"Dragon Age: Inquisition (2014)"	10
"The Binding of Isaac: Rebirth (2014)"	7
"Fallout: New Vegas (2010)"	7
"Life is Strange (2015)"	6
"Counter-Strike: Global Offensive (2012)"	6
"Borderlands 2 (2012)"	6
"Mass Effect 3 (2012)"	5
"Grand Theft Auto V (2013)"	5
"Assassin's Creed: Syndicate (2015)"	5
"Ark: Survival Evolved (2015)"	5
"Team Fortress 2 (2007)"	4
"PayDay 2 (2013)"	4
"Mass Effect (2007)"	4
"League of Legends (2009)"	4
"Hearthstone: Heroes of Warcraft (2014)"	4
"GRAV: Action Survival (2015)"	4
"Battlefield 4 (2013)"	4
"The Wolf Among Us (2014)"	3
"The Elder Scrolls Online: Tamriel Unlimited (2015)"	3
"Reign of Kings (2015)"	3
"Postal 2 (2007)"	3
"Pokémon X (2013)"	3
"Minecraft (2010)"	3
"Killing Floor 2 (2015)"	3
"Just Cause 3 (2015)"	3
"Guild Wars 2 (2012)"	3
"Goat Simulator (2015)"	3
"Dragon Age II (2011)"	3
"Dota 2 (2013)"	3
"Don't Starve (2014)"	3
"Die Sims 4 (2014)"	3
"Die Sims 3 (2010)"	3
"Die Sims 2 (2004)"	3
"Clicker Heroes (2015)"	3
"Adventure Capitalist (2015)"	3
"Xenoblade Chronicles X (2015)"	2
"Watch_Dogs (2014)"	2
"Undertale (2015)"	2
"Transistor (2014)"	2
"Tomb Raider (2013)"	2
"The Witcher (2007)"	2
"(???) The Walking Dead ()"	2
"The Last of Us (2013)"	2
"The Evil Within (2014)"	2
"The Binding of Isaac: Afterbirth (2015)"	2
"Star Wars: Knights of the Old Republic (2003)"	2
"Smite (2014)"	2
"Sid Meier's Civilization V (2011)"	2
"Saints Row IV (2013)"	2
"Quizduell (2012)"	2
"Primal Carnage: Extinction (2015)"	2
"Life Is Strange (2015)"	2
"Game of Thrones (2012)"	2
"Far Cry 4 (2014)"	2
"Dreamfall Chapters: Book One - Reborn (2014)"	2
"Divinity: Original Sin (2014)"	2
"Diablo III (2012)"	2
"Company of Heroes 2 (2013)"	2
"Cities: Skylines (2015)"	2
"Call of Duty: Black Ops III (2015)"	2
"Batman: Arkham Origins (2013)"	2
"A.V.A - Alliance of Valiant Arms (2011)"	2
"Assassin's Creed IV: Black Flag (2013)"	2
"ArmA III (2013)"	2
"7 Days to Die (2013)"	2
"(???) X-Com ()"	1
"Wurm Unlimited ()"	1
"Worms (1995)"	1
"World of Warcraft (2005)"	1
"Wordament (2012)"	1
"Wasteland 2 (2014)"	1
"Warhammer: End Times - Vermintide (2015)"	1
"Warframe (2013)"	1
"Venetica (2011)"	1
"Until Dawn (2015)"	1
"Tyrant Unleashed ()"	1
"TwoDots ()"	1
"Transformice ()"	1
"Tom Clancy's Splinter Cell: Blacklist (2013)"	1
"Tom Clancy's Rainbow Six Siege (2015)"	1
"Tomb Raider featuring Lara Croft (1996)"	1
"Titanfall (2014)"	1
"Threes! (2014)"	1
"The World Ends with You (2008)"	1
"The Witcher Battle Arena ()"	1
"The Witcher Adventure Game (2014)"	1
"The Witcher 2: Assassins of Kings (2011)"	1
"The Silent Age ()"	1
"The Secret World (2012)"	1
"The Secret of Monkey Island: Special Edition (2010)"	1
"The Room (2012)"	1
"THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION ()"	1
"The Haunted: Hells Reach (2011)"	1
"The Forest (2014)"	1
"The Elder Scrolls Online (2014)"	1
"The Elder Scrolls IV: Oblivion (2006)"	1
"The Elder Scrolls III: Morrowind (2002)"	1
"The Darkness II (2012)"	1
"The Black Watchmen ()"	1
"The Binding of Isaac (2011)"	1
"Terraria (2011)"	1
"Tap Titans ()"	1
"Talisman Digital Edition (2014)"	1
"Tales of Zesteria (2015)"	1
"Tales of Symphonia (2003)"	1
"Tales from the Borderlands (2014)"	1
"Tabletop Simulator (2015)"	1
"Sword Coast Legends (2015)"	1
"Supreme Commander: Forged Alliance (2011)"	1
"Super Smash Bros 4 (2014)"	1
"Suikoden II (1998)"	1
"Stronghold: Crusader (2002)"	1
"stranded deep (2015)"	1
"State of Decay (2013)"	1
"Stasis (2015)"	1
"Star Wars: Battlefront (2004)"	1
"Star Trek Online (2010)"	1
"StarCraft II: Wings of Liberty (2010)"	1
"(???) Spider Solitaire ()"	1
"Sphero BB-8 app ()"	1
"Space Engineers (2013)"	1
"Space Engieeners (2013)"	1
"Space Channel 5 (1999)"	1
"SOMA (2015)"	1
"SNOW (2014)"	1
"Sleeping Dogs (2012)"	1
"SimplePlanes ()"	1
"Shin Megami Tensei: Devil Survivor 2 - Record Breaker (2015)"	1
"Shakes & Fidget – The Game (2009)"	1
"Secret Files: Sam Peters (2013)"	1
"Sacred 2: Fallen Angel (2009)"	1
"Sacred (2004)"	1
"Roommates (2014)"	1
"Rocket League (2015)"	1
"Risen (2012)"	1
"Recettear: An Item Shop's Tale (2010)"	1
"Rayman Legends (0)"	1
"Race The Sun (2014)"	1
"Quake (1996)"	1
"Prominence (2015)"	1
"Pre-Civilization Marble Age ()"	1
"Portal 2 (2011)"	1
"Pokémon Shuffle ()"	1
"Planet Explorers ()"	1
"Phantasy Star Online (2000)"	1
"Path of Exile (2013)"	1
"overwatch (2016)"	1
"Ori and The Blind Forest (2015)"	1
"One Piece: Pirate Warriors 3 (2015)"	1
"Nuclear Throne (2013)"	1
"No More Room In Hell (2013)"	1
"Nobunaga's Ambition: Sphere of Influence (2015)"	1
"Ni no Kuni: Der Fluch der weißen Königin (2013)"	1
