"Titel"	"Nennungen"
"()"	2460
"Fallout 4 (2015)"	330
"Counter-Strike: Global Offensive (2012)"	228
"The Witcher III: Wild Hunt (2015)"	176
"Grand Theft Auto V (2013)"	156
"The Elder Scrolls V: Skyrim (2011)"	94
"Killing Floor 2 (2015)"	94
"Rocket League (2015)"	85
"PayDay 2 (2013)"	83
"League of Legends (2009)"	65
"Call of Duty: Black Ops III (2015)"	64
"Battlefield 4 (2013)"	64
"DotA 2 (2013)"	61
"Just Cause 3 (2015)"	59
"Dying Light (2015)"	52
"Borderlands 2 (2012)"	52
"Minecraft (2010)"	51
"StarCraft II: Wings of Liberty (2010)"	50
"Assassin's Creed: Syndicate (2015)"	48
"Star Wars: Battlefront (2004)"	46
"Diablo III (2012)"	44
"Team Fortress 2 (2007)"	43
"World of Warcraft (2005)"	42
"Hearthstone: Heroes of Warcraft (2014)"	41
"The Binding of Isaac: Rebirth (2014)"	40
"Sid Meier's Civilization V (2011)"	38
"Fallout: New Vegas (2010)"	38
"Half-Life 2 (2004)"	37
"Heroes of the Storm (2015)"	36
"Cities: Skylines (2015)"	36
"ArmA III (2013)"	36
"Far Cry 4 (2014)"	35
"Left 4 Dead 2 (2009)"	34
"Warhammer: End Times - Vermintide (2015)"	32
"Mad Max (2015)"	32
"Ark: Survival Evolved (2015)"	32
"Europa Universalis IV (2014)"	31
"Tom Clancy's Rainbow Six Siege (2015)"	30
"Life is Strange (2015)"	30
"Dragon Age: Inquisition (2014)"	30
"Euro Truck Simulator 2 (2012)"	27
"Warframe (2013)"	26
"Terraria (2013)"	26
"FIFA 16 (2015)"	25
"Batman: Arkham Knight (2015)"	25
"Garry's Mod (2006)"	24
"Metal Gear Solid V: The Phantom Pain (2015)"	22
"Kerbal Space Program (2012)"	22
"Clicker Heroes (2015)"	22
"World of Warships (2015)"	21
"War Thunder (2012)"	21
"Star Wars: The Old Republic (2011)"	21
"Elite: Dangerous (2014)"	21
"Age of Empires II HD (2013)"	21
"XCOM: Enemy Unknown (2012)"	19
"Mass Effect 3 (2012)"	19
"Fallout 3 (2008)"	19
"Counter-Strike (2003)"	19
"(???) Metal Gear Solid V ()"	19
"World of Tanks (2011)"	18
"Counter-Strike: Source (2004)"	18
"Anno 2205 (2015)"	18
"UNDERTALE (2015)"	17
"Tomb Raider featuring Lara Croft (1996)"	17
"The Binding of Isaac (2011)"	17
"Prison Architect (2013)"	17
"Dark Souls II (2014)"	17
"Company of Heroes 2 (2013)"	17
"Bloodborne (2015)"	17
"7 Days to Die (2013)"	17
"Guild Wars 2 (2012)"	16
"Gothic II (2003)"	16
"Battlefield 3 (2011)"	16
"Wolfenstein: The New Order (2014)"	15
"Total War: Attila (2015)"	15
"The Evil Within (2014)"	15
"The Elder Scrolls Online (2014)"	15
"The Crew (2014)"	15
"Star Citizen (2013)"	15
"Space Engieeners (2013)"	15
"Mass Effect (2007)"	15
"Xenoblade Chronicles X (2015)"	14
"Project CARS (2015)"	14
"Dead Island (2011)"	14
"DayZ (2013)"	14
"Call of Duty: Black Ops II (2012)"	14
"Borderlands (2009)"	14
"Assassin's Creed IV: Black Flag (2013)"	14
"pillars of eternity (2016)"	13
"Grim Dawn (2016)"	13
"Dishonored: Die Maske des Zorns (2012)"	13
"Deus Ex: Human Revolution (2011)"	13
"Dark Souls (2011)"	13
"Crusader Kings II (2012)"	13
"Clash of Clans (2012)"	13
"The Witcher 2: Assassins of Kings (2011)"	12
"Saints Row IV (2013)"	12
"Path of Exile (2013)"	12
"Mount & Blade: Warband (2010)"	12
"Don't Starve (2014)"	12
"Borderlands: The Pre-Sequel! (2015)"	12
"The Witcher (2007)"	11
"Portal 2 (2011)"	11
"Mortal Kombat X (2015)"	11
"DiRT Rally (2015)"	11
"Bioshock (2008)"	11
"ARK: Survival Evolved (2015)"	11
"Wolfenstein: The Old Blood (2015)"	10
"Total War: Rome II (2013)"	10
"Smite (2014)"	10
"Ryse: Son of Rome (2013)"	10
"Postal 2 (2007)"	10
"Life Is Strange (2015)"	10
"Gothic 3 (2006)"	10
"Gettysburg: Armored Warfare (2012)"	10
"Die Sims 4 (2014)"	10
"Broforce (2016)"	10
"Battlefield: Hardline (2015)"	10
"Age of Empires II: The Age of Kings (1999)"	10
"Super Smash Bros 4 (2014)"	9
"Mittelerde: Mordors Schatten (2014)"	9
"Killing Floor (2009)"	9
"Just Cause 2 (2010)"	9
"Gothic (2001)"	9
"Game of Thrones (2012)"	9
"Final Fantasy XIV Online: A Realm Reborn (2013)"	9
"Dirty Bomb (2015)"	9
"ArmA II (2009)"	9
"AdVenture Capitalist (2015)"	9
"The Wolf Among Us (2014)"	8
"The Binding of Isaac: Afterbirth (2015)"	8
"Tales from the Borderlands (2014)"	8
"Sniper Elite III (2014)"	8
"Shadow Warrior (1997)"	8
"Risen (2012)"	8
"Resident Evil 5 (2009)"	8
"Ori and The Blind Forest (2015)"	8
"Hatred (0)"	8
"Far Cry 3 (2012)"	8
"Endless Legend (2014)"	8
"Dead Island: Riptide (2013)"	8
"Call of Duty: Modern Warfare 3 (2011)"	8
"Call of Duty: Modern Warfare 2 (2009)"	8
"Banished (2014)"	8
"Assassin's Creed: Unity (2014)"	8
"Anno 2070 (2012)"	8
"(???) Assassin's Creed ()"	8
"Watch_Dogs (2014)"	7
"Wasteland 2 (2014)"	7
"Verdun (2015)"	7
"This War of Mine (2015)"	7
"Tales of Zestiria (2015)"	7
"Supreme Commander: Forged Alliance (2007)"	7
"Super Mario Maker (2015)"	7
"Spintires: Offroad Truck-Simulator (2014)"	7
"Rust (2013)"	7
"Rising Storm (2013)"	7
"Portal (2007)"	7
"Pokémon X (2013)"	7
"Planetside 2 (2013)"	7
"MechWarrior Online (2013)"	7
"Landwirtschafts-Simulator 2015 (2015)"	7
"LYNE (2014)"	7
"Hyperdimension Neptunia Re;Birth1 (2014)"	7
"Grand Theft Auto: San Andreas (2007)"	7
"Grand Theft Auto IV (2008)"	7
"GRID: Autosport (2014)"	7
"GRAV: Action Survival (2015)"	7
"Fallout (1997)"	7
"FIFA 15 (2014)"	7
"Evolve (2015)"	7
"Divinity: Original Sin (2014)"	7
"Assassin's Creed III (2012)"	7
"Adventure Capitalist (2015)"	7
"(???) The Walking Dead ()"	7
"(???) Battlefield ()"	7
"don't starve together (2014)"	6
"darkest dungeon (2015)"	6
"XCOM: Enemy Within (2013)"	6
"Victor Vran (2015)"	6
"Tropico 5 (2015)"	6
"Trine 2 (2012)"	6
"Total War: Shogun 2 (2011)"	6
"The Talos Principle (2015)"	6
"The Forest (2014)"	6
"The Elder Scrolls III: Morrowind (2002)"	6
"Starcraft (1998)"	6
"Star Trek Online (2010)"	6
"Sleeping Dogs (2012)"	6
"SOMA (2015)"	6
"Rise of the Tomb Raider (2016)"	6
"Quake III Arena (1999)"	6
"Left 4 Dead (2008)"	6
"Heroes & Generals (2014)"	6
"Helldivers (2015)"	6
"Hand of Fate (2015)"	6
"Goat Simulator (2015)"	6
"Final Fantasy XIII (2010)"	6
"FTL: Faster Than Light (2012)"	6
"EVE Online (2006)"	6
"Dragon Age: Origins (2009)"	6
"Chivalry: Medieval Warfare (2014)"	6
"Call of Duty: Black Ops (2010)"	6
"Call of Duty: Advanced Warfare (2014)"	6
"Call of Duty (2003)"	6
"BioShock Infinite (2013)"	6
"Assetto Corsa (2014)"	6
"Anno 1404 (2009)"	6
"Age of Empires III (2005)"	6
"hard west (2015)"	5
"dragon quest heroes (2015)"	5
"Zombie Army Trilogy (2015)"	5
"Wolfenstein (2009)"	5
"Warcraft III: Reign of Chaos (2002)"	5
"Tropico 4 (2011)"	5
"TrackMania 2 (2011)"	5
"Tom Clancy's Splinter Cell: Blacklist (2013)"	5
"Tabletop Simulator (2015)"	5
"Supreme Commander 2 (2010)"	5
"Starbound (2013)"	5
"Star Wars: Knights of the Old Republic (2003)"	5
"Splatoon (2015)"	5
"South Park: Der Stab der Wahrheit (2014)"	5
"Sid Meier's Civilization: Beyond Earth (2014)"	5
"Sid Meier's Civilization IV (2005)"	5
"Saints Row: The Third (2011)"	5
"S.T.A.L.K.E.R.: Shadow of Chernobyl (2007)"	5
"Risen 3: Titan Lords (2014)"	5
"Risen 2: Dark Waters (2012)"	5
"Quizduell (2012)"	5
"Osu! (2007)"	5
"One Finger Death Punch (2013)"	5
"Neverwinter Nights 2 (2006)"	5
"Metro: Last Light (2013)"	5
"Max Payne 3 (2012)"	5
"Mass Effect 2 (2010)"	5
"Mario Kart 8 (2014)"	5
"Mafia II (2010)"	5
"METAL GEAR SOLID V: THE PHANTOM PAIN (2015)"	5
"Life is Feudal: Your Own (2014)"	5
"Hitman: Absolution (2012)"	5
"Halo 5: Guardians (2015)"	5
"Half-Life (1998)"	5
"GRID 2 (2013)"	5
"F.E.A.R.: First Encounter Assault Recon (2005)"	5
"Empire: Total War (2009)"	5
"Dreamfall Chapters: Book One - Reborn (2014)"	5
"Digital Combat Simulator: A-10C Warthog (2011)"	5
"Devil May Cry (2001)"	5
"Deponia (2012)"	5
"Deadpool (2013)"	5
"Crysis 3 (2013)"	5
"Company of Heroes (2006)"	5
"Brawlhalla (2015)"	5
"Biohazard: The Darkside Chronicles (2010)"	5
"Battlefield 2 (2005)"	5
"Batman: Arkham Origins (2013)"	5
"Batman: Arkham Asylum (2009)"	5
"Assassin's Creed II (2009)"	5
"Animal Crossing: New Leaf (2013)"	5
"planetbase (2015)"	4
"h1z1 (2015)"	4
"fallout 4 (2015)"	4
"distance (2014)"	4
"Worms (1995)"	4
"Warhammer 40,000: Dawn of War II (2010)"	4
"WWE 2K16 (2015)"	4
"Until Dawn (2015)"	4
"Uncharted: The Nathan Drake Collection (2015)"	4
"Transistor (2014)"	4
"Torchlight II (2012)"	4
"Titanfall (2014)"	4
"Time Clickers (2015)"	4
"The Simpsons: Springfield (0)"	4
"The Secret World (2012)"	4
"The Long Dark (2014)"	4
"The Legend of Zelda: Majora's Mask (2000)"	4
"The Last of Us (2013)"	4
"The Elder Scrolls Online: Tamriel Unlimited (2015)"	4
"The Elder Scrolls IV: Oblivion (2006)"	4
"The Battle for Wesnoth (2005)"	4
"Subnautica (2014)"	4
"Stasis (2015)"	4
"Star Wars: Battlefront II (2005)"	4
"Sniper Elite V2 (2013)"	4
"Shadowrun Hong Kong (2015)"	4
"Rocksmith 2014 (2013)"	4
"Resident Evil: Revelations 2 (2015)"	4
"Rage (2011)"	4
"Quake Live (2009)"	4
"Plague Inc.: Evolved (2012)"	4
"Nation Red (2009)"	4
"Mark of the Ninja (2012)"	4
"Lords of the Fallen (2014)"	4
"Life is strange (2015)"	4
"Hyperdimension Neptunia Re;Birth3: V Generation (2015)"	4
"Grand Theft Auto (1998)"	4
"Fallout: Shelter (2015)"	4
"Dungeon Defenders II (2014)"	4
"Dragon Age II (2011)"	4
"Dirt 3 (2011)"	4
"Die Sims 3 (2010)"	4
"Diablo II (2000)"	4
"Destiny (2014)"	4
"Der Herr der Ringe Online: Schatten von Angmar (2007)"	4
"Depth (2014)"	4
"Dead Rising 3 (2013)"	4
"Day of Defeat: Source (2005)"	4
"Crysis (2007)"	4
"Crypt of the NecroDancer (2015)"	4
"Contagion (2013)"	4
"Child of Light (2014)"	4
"Call of Duty: Ghosts (2013)"	4
"Bulletstorm (2011)"	4
"Brothers: A Tale of Two Sons (2013)"	4
"Boom Beach (2014)"	4
"Assassin's Creed: Rogue (2014)"	4
"Assassin's Creed: Brotherhood (2010)"	4
"Alien: Isolation (2014)"	4
"(???) Zombie Army Trilogy ()"	4
"(???) X-Com ()"	4
"stranded deep (2015)"	3
"reign of kings (2015)"	3
"iRacing.com (2015)"	3
"Way of the Samurai 4 (2012)"	3
"Warhammer 40,000: Dawn of War (2004)"	3
"Wargame: Red Dragon (2014)"	3
"Uncharted 3: Drake's Deception (2011)"	3
"Ultra Street Fighter IV (2014)"	3
"Total War: ATTILA (2015)"	3
"Tomb Raider (2013)"	3
"The Order: 1886 (2015)"	3
"The Banner Saga (2014)"	3
"Stronghold: Crusader II (2014)"	3
"State of Decay (2013)"	3
"Star Wars: Republic Commando (2005)"	3
"Speedrunners (2013)"	3
"Solitär (2008)"	3
"Sniper: Ghost Warrior 2 (2013)"	3
"Skullgirls (2012)"	3
"Sins of a Solar Empire (2008)"	3
"Serious Sam 3: BFE (2014)"	3
"Satellite Reign (2014)"	3
"SQUAD (2015)"	3
"Risk of Rain (2013)"	3
"Remember Me (2013)"	3
"Reflex (2013)"	3
"Rebel Galaxy (2016)"	3
"Quake (1996)"	3
"Primal Carnage: Extinction (2015)"	3
"Pokémon: Alpha Saphir (2014)"	3
"Pinball FX2 (2010)"	3
"Pflanzen gegen Zombies 2 (0)"	3
"Party Hard (2016)"	3
"One Piece: Pirate Warriors 3 (2015)"	3
"OMSI 2 (2013)"	3
"Nuclear Throne (2013)"	3
"No More Room In Hell (2013)"	3
"Neverwinter Nights (2006)"	3
"Never Alone (Kisima Ingitchuna) (2014)"	3
"Need for Speed: Undercover (2008)"	3
"Need for Speed: No Limits (2015)"	3
"Need for Speed (2015)"	3
"Natural Selection 2 (2012)"	3
"NBA 2K16 (2015)"	3
"Monster Hunter 4 Ultimate (2015)"	3
"Metro 2033 (2010)"	3
"Metal Gear Rising: Revengeance (2013)"	3
"Men of War: Assault Squad 2 (2014)"	3
"Magicka (2011)"	3
"LEGO Jurassic World (2015)"	3
"Hyrule Warriors (2014)"	3
"HuniePop (2015)"	3
"Hero Siege (2014)"	3
"Hacknet (2015)"	3
"FORCED (2013)"	3
"FIFA 14 (2013)"	3
"Euro Truck Simulator (2008)"	3
"Dungeon of the Endless (2014)"	3
"Duke Nukem 3D (2013)"	3
"Driveclub (2014)"	3
"Doorkickers (2014)"	3
"Doom (2016)"	3
"Dark Project: Der Meisterdieb (1998)"	3
"Crysis 2 (2011)"	3
"Chroma Squad (2015)"	3
"Call of Duty: World at War (2008)"	3
"Brütal Legend (2009)"	3
"Bloodborne: The Old Hunters (2015)"	3
"BioShock 2 (2010)"	3
"Beyond: Two Souls (2015)"	3
"Battlefield: Bad Company 2 (2010)"	3
"Axiom Verge (2015)"	3
"Awesomenauts (2012)"	3
"Assassin's Creed: Revelations (2011)"	3
"Age of Wonders III (2014)"	3
"Act of Aggression (2015)"	3
"(???) The Legend of Zelda ()"	3
"(???) Pokémon ()"	3
"(???) Magic: The Gathering ()"	3
"(???) Fifa ()"	3
"theHunter: Primal (2015)"	2
"sword coast legends (2015)"	2
"rocket league (2015)"	2
"road redemption (2014)"	2
"plants vs. zombies (2009)"	2
"overwatch (2016)"	2
"her story (2015)"	2
"helldivers (2015)"	2
"gratuitous space battles 2 (2015)"	2
