"ESportRealistisch"	"Anzahl"	"Summe"
2017.0	48	48
2018.0	50	98
2019.0	28	126
2020.0	208	334
2021.0	20	354
2022.0	30	384
2023.0	6	390
2024.0	7	397
2025.0	117	514
2026.0	5	519
2027.0	3	522
2028.0	4	526
2030.0	80	606
2032.0	2	608
2035.0	7	615
2036.0	1	616
2037.0	1	617
2040.0	20	637
2045.0	1	638
2050.0	27	665
2051.0	1	666
2053.0	1	667
2055.0	1	668
2060.0	5	673
2070.0	3	676
2099.0	4	680
2100.0	50	730
2101.0	38	768
2102.0	1	769
2107.0	1	770
2111.0	4	774
2112.0	1	775
2115.0	1	776
2119.0	1	777
2150.0	2	779
2200.0	5	784
2211.0	1	785
2222.0	4	789
2500.0	1	790
2666.0	2	792
2698.0	1	793
2800.0	1	794
2900.0	1	795
2999.0	2	797
3000.0	6	803
3333.0	1	804
4000.0	1	805
4780.0	1	806
5000.0	2	808
9001.0	1	809
9998.0	1	810
9999.0	7	817
