"KunstRealistisch"	"Anzahl"	"Summe"
203.0	1	1
1111.0	1	2
1120.0	1	3
1980.0	2	5
1998.0	1	6
2000.0	1	7
2005.0	1	8
2008.0	1	9
2010.0	4	13
2011.0	1	14
2014.0	1	15
2016.0	3	18
2017.0	43	61
2018.0	58	119
2019.0	25	144
2020.0	227	371
2021.0	12	383
2022.0	23	406
2023.0	11	417
2024.0	4	421
2025.0	170	591
2026.0	3	594
2027.0	2	596
2028.0	3	599
2030.0	92	691
2031.0	1	692
2033.0	1	693
2035.0	10	703
2036.0	1	704
2037.0	1	705
2040.0	20	725
2042.0	1	726
2050.0	33	759
2055.0	1	760
2060.0	2	762
2070.0	3	765
2081.0	1	766
2090.0	1	767
2099.0	8	775
2100.0	25	800
2101.0	29	829
2102.0	1	830
2107.0	1	831
2110.0	1	832
2111.0	2	834
2125.0	1	835
2200.0	4	839
2222.0	1	840
2225.0	1	841
2300.0	1	842
2525.0	1	843
2666.0	2	845
2798.0	1	846
2900.0	1	847
2999.0	1	848
3000.0	2	850
3145.0	1	851
5000.0	3	854
9999.0	3	857
