"Betrag"	"HW(alle)"	"HW(m)"	"HW(f)"	"Kauf(alle)"	"Kauf(m)"	"Kauf(f)"	"Abo(alle)"	"Abo(m)"	"Abo(f)"	"DLC(alle)"	"DLC(m)"	"DLC(f)"	"Cont(alle)"	"Cont(m)"	"Cont(f)"	"Server(alle)"	"Server(m)"	"Server(f)"
0.0	378	337	31	36	33	0	675	611	48	233	206	21	515	461	39	751	681	54
15.0	382	341	31	38	35	0	677	613	48	256	226	24	525	471	39	759	689	54
20.0	388	347	31	58	54	1	684	620	48	342	302	32	586	529	42	771	701	54
25.0	393	351	32	63	58	2	685	621	48	363	322	32	601	542	43	773	703	54
30.0	403	360	32	79	72	4	700	634	50	430	386	35	633	573	44	784	714	54
35.0	405	361	33	82	75	4	701	635	50	437	392	36	633	573	44	786	716	54
40.0	410	365	34	95	85	7	712	643	53	470	422	39	642	582	44	790	720	54
45.0	411	366	34	96	86	7	713	644	53	472	424	39	643	583	44	791	721	54
47.0	412	367	34	96	86	7	713	644	53	472	424	39	643	583	44	791	721	54
50.0	442	395	35	164	144	16	752	681	54	610	552	45	699	635	48	798	728	54
52.0	443	396	35	164	144	16	752	681	54	610	552	45	699	635	48	798	728	54
60.0	454	407	35	196	172	19	763	692	54	643	584	45	707	642	49	804	733	54
70.0	458	411	35	205	180	20	766	694	55	650	590	45	710	645	49	807	735	55
75.0	460	412	35	208	183	20	768	696	55	656	596	45	710	645	49	807	735	55
79.0	462	414	35	208	183	20	768	696	55	656	596	45	710	645	49	807	735	55
80.0	471	422	35	227	198	24	770	697	56	665	605	45	712	647	49	808	735	55
100.0	511	458	38	344	304	32	782	709	56	739	672	50	757	691	50	813	739	55
110.0	513	460	38	346	306	32	783	710	56	739	672	50	757	691	50	813	739	55
118.0	514	461	38	346	306	32	783	710	56	739	672	50	757	691	50	813	739	55
120.0	525	472	38	374	332	33	797	724	56	745	678	50	758	692	50	815	741	55
123.0	526	473	38	374	332	33	797	724	56	745	678	50	758	692	50	815	741	55
140.0	527	474	38	375	333	33	800	727	56	745	678	50	758	692	50	816	742	55
150.0	546	487	44	461	411	38	811	738	56	760	690	53	764	697	51	819	745	55
160.0	547	488	44	465	415	38	811	738	56	760	690	53	764	697	51	819	745	55
180.0	554	494	45	471	420	39	812	738	57	761	691	53	765	698	51	819	745	55
190.0	555	495	45	471	420	39	812	738	57	762	692	53	765	698	51	819	745	55
200.0	584	523	46	586	527	46	816	742	57	785	713	54	779	709	52	821	746	56
230.0	585	524	46	587	528	46	816	742	57	785	713	54	780	710	52	821	746	56
240.0	586	525	46	589	530	46	817	743	57	785	713	54	780	710	52	822	747	56
250.0	608	547	46	631	568	49	821	746	58	793	721	54	784	713	53	822	747	56
256.0	609	548	46	631	568	49	821	746	58	793	721	54	784	713	53	822	747	56
260.0	611	550	46	632	569	49	821	746	58	793	721	54	784	713	53	823	748	56
280.0	613	552	46	633	570	49	821	746	58	793	721	54	784	713	53	823	748	56
287.0	614	553	46	633	570	49	821	746	58	793	721	54	784	713	53	823	748	56
290.0	615	554	46	633	570	49	821	746	58	793	721	54	784	713	53	823	748	56
300.0	650	588	47	703	635	53	821	746	58	802	730	54	789	718	53	824	749	56
318.0	651	589	47	703	635	53	821	746	58	802	730	54	790	719	53	824	749	56
320.0	652	590	47	703	635	53	821	746	58	802	730	54	790	719	53	824	749	56
330.0	654	592	47	704	636	53	821	746	58	802	730	54	790	719	53	824	749	56
333.0	655	593	47	704	636	53	821	746	58	802	730	54	790	719	53	824	749	56
349.0	656	594	47	704	636	53	821	746	58	802	730	54	790	719	53	824	749	56
350.0	665	602	47	715	645	54	821	746	58	803	731	54	794	722	54	824	749	56
400.0	691	627	48	748	676	55	822	747	58	806	734	54	797	725	54	824	749	56
430.0	692	628	48	748	676	55	822	747	58	806	734	54	797	725	54	824	749	56
450.0	701	637	48	753	681	55	822	747	58	806	734	54	798	726	54	824	749	56
460.0	702	638	48	754	682	55	822	747	58	806	734	54	798	726	54	824	749	56
499.0	703	639	48	754	682	55	822	747	58	806	734	54	798	726	54	824	749	56
500.0	732	665	49	811	736	56	822	747	58	813	741	54	803	731	54	827	752	56
517.0	733	666	49	811	736	56	822	747	58	813	741	54	803	731	54	827	752	56
550.0	734	667	49	812	737	56	822	747	58	813	741	54	803	731	54	827	752	56
569.0	735	668	49	812	737	56	822	747	58	813	741	54	803	731	54	827	752	56
600.0	752	683	51	832	755	57	822	747	58	814	742	54	805	733	54	828	753	56
650.0	754	685	51	833	756	57	822	747	58	814	742	54	805	733	54	828	753	56
683.56	755	686	51	833	756	57	822	747	58	814	742	54	805	733	54	828	753	56
700.0	764	693	52	836	759	57	822	747	58	815	743	54	805	733	54	828	753	56
750.0	767	696	52	840	763	57	822	747	58	815	743	54	805	733	54	828	753	56
777.0	768	697	52	840	763	57	822	747	58	815	743	54	805	733	54	828	753	56
800.0	782	711	52	845	768	57	822	747	58	816	744	54	805	733	54	828	753	56
900.0	790	718	53	845	768	57	822	747	58	816	744	54	805	733	54	828	753	56
960.0	791	719	53	845	768	57	822	747	58	816	744	54	805	733	54	828	753	56
1000.0	822	748	55	865	788	57	822	747	58	817	745	54	806	734	54	828	753	56
1100.0	828	753	56	866	788	58	822	747	58	817	745	54	806	734	54	828	753	56
1179.0	829	754	56	866	788	58	822	747	58	817	745	54	806	734	54	828	753	56
