Internetgeschwindigkeit	Anzahl	Summe
0.0	1	1
1.0	29	30
2.0	40	70
3.0	21	91
4.0	9	100
5.0	30	130
6.0	37	167
7.0	2	169
8.0	16	185
9.0	3	188
10.0	24	212
11.0	4	216
12.0	14	230
13.0	3	233
14.0	6	239
15.0	7	246
16.0	124	370
18.0	4	374
20.0	11	385
22.0	2	387
23.0	2	389
24.0	2	391
25.0	43	434
27.0	1	435
28.0	1	436
29.0	1	437
30.0	17	454
32.0	26	480
34.0	1	481
35.0	3	484
40.0	6	490
46.0	1	491
48.0	1	492
50.0	230	722
51.0	1	723
52.0	2	725
53.0	1	726
54.0	1	727
55.0	1	728
60.0	10	738
63.0	1	739
64.0	6	745
70.0	2	747
72.0	1	748
75.0	3	751
80.0	1	752
85.0	1	753
90.0	1	754
94.0	1	755
100.0	148	903
103.0	1	904
120.0	36	940
122.0	1	941
128.0	2	943
130.0	2	945
150.0	13	958
156.0	1	959
200.0	19	978
250.0	1	979
256.0	1	980
365.0	1	981
400.0	10	991
450.0	1	992
500.0	2	994
600.0	1	995
768.0	1	996
800.0	1	997
1000.0	8	1005
1200.0	1	1006
1300.0	1	1007
1500.0	2	1009
1600.0	2	1011
1895.0	1	1012
2000.0	6	1018
2500.0	1	1019
2800.0	1	1020
3000.0	4	1024
3600.0	1	1025
4000.0	1	1026
5000.0	10	1036
6000.0	12	1048
8000.0	1	1049
9999.0	1	1050
