"Alter"	"Anzahl"	"Summe"	"m"	"Sum_m"	"f"	"Sum_f"
"0.0"	2	2	2.0	2.0	""	""
"0.2"	1	3	""	""	""	""
"1.0"	10	13	9.0	11.0	1.0	1.0
"2.0"	15	28	11.0	22.0	4.0	5.0
"3.0"	11	39	11.0	33.0	""	""
"4.0"	18	57	16.0	49.0	2.0	7.0
"5.0"	36	93	31.0	80.0	5.0	12.0
"6.0"	27	120	26.0	106.0	1.0	13.0
"7.0"	10	130	10.0	116.0	""	""
"8.0"	30	160	28.0	144.0	2.0	15.0
"9.0"	8	168	7.0	151.0	1.0	16.0
"10.0"	98	266	85.0	236.0	7.0	23.0
"11.0"	3	269	3.0	239.0	""	""
"12.0"	38	307	34.0	273.0	3.0	26.0
"13.0"	2	309	2.0	275.0	""	""
"14.0"	20	329	17.0	292.0	2.0	28.0
"15.0"	94	423	86.0	378.0	6.0	34.0
"16.0"	15	438	14.0	392.0	""	""
"17.0"	2	440	2.0	394.0	""	""
"18.0"	13	453	13.0	407.0	""	""
"19.0"	1	454	1.0	408.0	""	""
"20.0"	159	613	151.0	559.0	5.0	39.0
"21.0"	8	621	8.0	567.0	""	""
"22.0"	7	628	7.0	574.0	""	""
"23.0"	2	630	1.0	575.0	1.0	40.0
"24.0"	9	639	8.0	583.0	1.0	41.0
"25.0"	51	690	46.0	629.0	5.0	46.0
"26.0"	3	693	2.0	631.0	1.0	47.0
"27.0"	1	694	""	""	1.0	48.0
"28.0"	13	707	11.0	642.0	2.0	50.0
"30.0"	94	801	85.0	727.0	6.0	56.0
"32.0"	2	803	2.0	729.0	""	""
"35.0"	36	839	35.0	764.0	1.0	57.0
"36.0"	1	840	1.0	765.0	""	""
"38.0"	1	841	1.0	766.0	""	""
"39.0"	1	842	1.0	767.0	""	""
"40.0"	53	895	48.0	815.0	2.0	59.0
"42.0"	6	901	6.0	821.0	""	""
"43.0"	1	902	1.0	822.0	""	""
"44.0"	1	903	1.0	823.0	""	""
"45.0"	11	914	8.0	831.0	2.0	61.0
"48.0"	3	917	3.0	834.0	""	""
"50.0"	31	948	28.0	862.0	2.0	63.0
"52.0"	1	949	1.0	863.0	""	""
"54.0"	2	951	2.0	865.0	""	""
"55.0"	2	953	2.0	867.0	""	""
"56.0"	2	955	2.0	869.0	""	""
"60.0"	8	963	7.0	876.0	1.0	64.0
"61.0"	1	964	1.0	877.0	""	""
"70.0"	10	974	9.0	886.0	1.0	65.0
"72.0"	1	975	""	""	""	""
"80.0"	10	985	9.0	895.0	1.0	66.0
"90.0"	1	986	1.0	896.0	""	""
"100.0"	2	988	1.0	897.0	1.0	67.0
"112.0"	1	989	1.0	898.0	""	""
