"Titel"	"Release"	"Nennungen"
"Pokémon Sonne"	"2016"	"10"
"Overwatch"	"2016"	"6"
"The Elder Scrolls V: Skyrim"	"2011"	"6"
"Stardew Valley"	"2016"	"5"
"The Witcher III: Wild Hunt"	"2015"	"5"
"World of Warcraft"	"2005"	"5"
"Dishonored 2"	"2016"	"4"
"Fallout 4"	"2015"	"4"
"Grand Theft Auto V"	"2013"	"4"
"League of Legends"	"2009"	"4"
"Ori and The Blind Forest"	"2015"	"4"
"The Witcher"	"2007"	"4"
"Anno 1404"	"2009"	"3"
"Banished"	"2014"	"3"
"Deus Ex: Mankind Divided"	"2016"	"3"
"Divinity: Original Sin"	"2014"	"3"
"Fallout: Shelter"	"2015"	"3"
"Gothic II"	"2003"	"3"
"Life is Strange"	"2015"	"3"
"Mass Effect 3"	"2012"	"3"
"Team Fortress 2"	"2007"	"3"
"The Elder Scrolls IV: Oblivion"	"2006"	"3"
"(???) Hitman"	""	"2"
"Animal Crossing: New Leaf"	"2013"	"2"
"Bejeweled 3"	"2011"	"2"
"Borderlands"	"2009"	"2"
"Borderlands 2"	"2012"	"2"
"Counter-Strike: Global Offensive"	"2012"	"2"
"Dark Souls"	"2011"	"2"
"Dark Souls III"	"2016"	"2"
"DayZ"	"2013"	"2"
"Dragon Age: Inquisition"	"2014"	"2"
"Factorio"	""	"2"
"Far Cry 4"	"2014"	"2"
"Final Fantasy XV"	"2016"	"2"
"Forge of Empires"	""	"2"
"Grim Dawn"	""	"2"
"Hay Day"	""	"2"
"Kerbal Space Program"	"2012"	"2"
"Landwirtschafts-Simulator 17"	"2016"	"2"
"Left 4 Dead 2"	"2009"	"2"
"Mafia III"	"2016"	"2"
"Mario Kart 8"	"2014"	"2"
"Mass Effect"	"2007"	"2"
"Party Hard"	"2016"	"2"
"Pokémon GO"	"2016"	"2"
"Quizduell"	""	"2"
"Remember Me"	"2013"	"2"
"Rise of the Tomb Raider"	"2016"	"2"
"Rocket League"	"2015"	"2"
"Sid Meier's Civilization V"	"2011"	"2"
"Terraria"	"2011"	"2"
"The Walking Dead: A New Frontier"	"2016"	"2"
"Tom Clancy's The Division"	"2016"	"2"
"Town of Salem"	"2014"	"2"
"Warhammer: End Times - Vermintide"	"2015"	"2"
"Watch Dogs 2"	"2016"	"2"
"(???) Assassin's Creed"	""	"1"
"(???) Diverse Solitär-Spiele"	""	"1"
"(???) Fire Emblem Fates"	""	"1"
"(???) Guitar Hero"	""	"1"
"(???) King's Quest"	""	"1"
"(???) Machines vs Androids"	""	"1"
"(???) Mah jongg"	""	"1"
"(???) Mario Kart"	""	"1"
"(???) Mass Effect Trilogy"	""	"1"
"(???) The Witness"	""	"1"
"7 Days to Die"	"2016"	"1"
"Age of Empires II: The Age of Kings"	"1999"	"1"
"Age of Mythology (Extended Edition)"	""	"1"
"American Truck Simulator"	"2016"	"1"
"ArmA III"	"2013"	"1"
"Arx Fatalis"	"2002"	"1"
"Assassin's Creed (2007)"	""	"1"
"Assassin's Creed II"	"2009"	"1"
"Assassin's Creed IV: Black Flag"	"2013"	"1"
"Assassin's Creed: Syndicate"	"2015"	"1"
"Assassin's Creed: Unity"	"2014"	"1"
"Baldur's Gate"	"2000"	"1"
"Bastard Bonds"	"2016"	"1"
"Battle Brothers"	"2017"	"1"
"BattleBlock Theater"	"2013"	"1"
"Battlefield 1"	"2016"	"1"
"Battlefield 2"	"2005"	"1"
"Battlefield 4"	"2013"	"1"
"Battlerite"	"2016"	"1"
"Beholder"	"2016"	"1"
"Beyond: Two Souls"	"2015"	"1"
"Birth of the Empires"	""	"1"
"Bloodborne"	"2015"	"1"
"Botanicula"	"2012"	"1"
"Broforce"	"2016"	"1"
"Cities: Skylines"	"2015"	"1"
"Costume Quest"	"2010"	"1"
"Costume Quest 2"	"2014"	"1"
"Dark Age of Camelot"	"2002"	"1"
"Dead by Daylight"	"2016"	"1"
"Deus Ex"	"2000"	"1"
"Deus Ex: Human Revolution"	"2011"	"1"
"Die Sims 2"	"2004"	"1"
"Die Sims 3"	"2010"	"1"
"Die Sims 4"	"2014"	"1"
"Die Stämme"	""	"1"
"Dishonored: Die Maske des Zorns"	"2012"	"1"
"Don't Starve Together"	"2014"	"1"
"Doom"	"2016"	"1"
"Doom (2016)"	"2016"	"1"
"Dota 2"	"2013"	"1"
"Dragon Age: Origins"	"2009"	"1"
"Dragon's Dogma: Dark Arisen"	"2013"	"1"
"DragonSoul"	"2015"	"1"
"Dragosien - Land der Drachen"	""	"1"
"Dreamfall Chapters: Book One - Reborn"	"2014"	"1"
"Dungeons & Dragons: Baldur's Gate - Enhanced Edition"	"2013"	"1"
"Dungeons & Dragons: Neverwinter"	"2013"	"1"
"Endless Legend"	"2014"	"1"
