"Unbekannter Titel"	"Nennungen"
"Dominion Online"	1
"COD Modern Warfare 2 PC Rocket V2"	1
"Case Clicker"	1
"250+ Solitär"	1
"Chess.com"	1
"Darksiders Warmastered"	1
"Paragon (Epic Games)"	1
"Lovers in a dangerous Spacetime"	1
"Fidel - Dungeon Rescue"	1
"Dragonball Online"	1
"Klondike"	1
"Boxes Love Boxing Gloves"	1
"ZombIdle"	1
"Freecell:)"	1
"The Legend of Zela - Link's Awakening DX (3DS Virtual Console)"	1
"Hacknet"	1
"Creativerse"	1
"Divinity Original Sin2"	1
"Landwirtschafts Simulator 17"	1
