“Alter”	“<20a”	“<25a”	“<30a”	“<40a”	“>40a”
0	1	0	1	0	0
1	0	0	1	0	0
2	2	0	1	1	0
3	7	7	6	1	0
4	19	23	15	2	0
5	22	47	25	0	1
6	40	83	38	6	0
7	24	52	34	8	0
8	21	57	42	7	0
9	19	24	22	12	0
10	17	29	35	14	0
11	13	27	23	14	2
12	17	16	24	11	2
13	15	12	10	13	1
14	7	14	17	14	2
15	4	6	7	9	4
16	0	5	3	10	4
17	0	2	6	3	1
18	0	2	3	6	2
19	0	1	1	1	1
20	0	1	3	2	3
21	0	0	1	3	2
22	0	0	2	3	2
23	0	0	0	0	0
24	0	0	0	3	3
25	0	0	0	2	3
26	0	0	0	1	3
27	0	0	0	0	4
28	0	0	0	0	2
29	0	0	0	0	6
30	0	0	0	0	2
31	0	0	0	1	2
32	0	0	0	1	2
33	0	0	0	0	3
34	0	0	0	1	1
35	0	0	0	0	2
36	0	0	0	0	1
37	0	0	0	0	0
38	0	0	0	1	0
39	0	0	0	0	0
40	0	0	0	0	0
41	0	0	0	0	1
42	0	0	0	0	1
43	0	0	0	0	0
44	0	0	0	0	0
45	0	0	0	0	1
46	0	0	0	0	0
47	0	0	0	0	0
48	0	0	0	0	0
49	0	0	0	0	0
50	0	0	0	0	0
51	0	0	0	0	1
