“Alter”	“<20a”	“<25a”	“<30a”	“<40a”	“>40a”
0	0.44	0.00	0.31	0.00	0.00
1	0.00	0.00	0.31	0.00	0.00
2	0.88	0.00	0.31	0.67	0.00
3	3.07	1.72	1.88	0.67	0.00
4	8.33	5.64	4.69	1.33	0.00
5	9.65	11.52	7.81	0.00	1.54
6	17.54	20.34	11.88	4.00	0.00
7	10.53	12.75	10.63	5.33	0.00
8	9.21	13.97	13.13	4.67	0.00
9	8.33	5.88	6.88	8.00	0.00
10	7.46	7.11	10.94	9.33	0.00
11	5.70	6.62	7.19	9.33	3.08
12	7.46	3.92	7.50	7.33	3.08
13	6.58	2.94	3.13	8.67	1.54
14	3.07	3.43	5.31	9.33	3.08
15	1.75	1.47	2.19	6.00	6.15
16	0.00	1.23	0.94	6.67	6.15
17	0.00	0.49	1.88	2.00	1.54
18	0.00	0.49	0.94	4.00	3.08
19	0.00	0.25	0.31	0.67	1.54
20	0.00	0.25	0.94	1.33	4.62
21	0.00	0.00	0.31	2.00	3.08
22	0.00	0.00	0.63	2.00	3.08
23	0.00	0.00	0.00	0.00	0.00
24	0.00	0.00	0.00	2.00	4.62
25	0.00	0.00	0.00	1.33	4.62
26	0.00	0.00	0.00	0.67	4.62
27	0.00	0.00	0.00	0.00	6.15
28	0.00	0.00	0.00	0.00	3.08
29	0.00	0.00	0.00	0.00	9.23
30	0.00	0.00	0.00	0.00	3.08
31	0.00	0.00	0.00	0.67	3.08
32	0.00	0.00	0.00	0.67	3.08
33	0.00	0.00	0.00	0.00	4.62
34	0.00	0.00	0.00	0.67	1.54
35	0.00	0.00	0.00	0.00	3.08
36	0.00	0.00	0.00	0.00	1.54
37	0.00	0.00	0.00	0.00	0.00
38	0.00	0.00	0.00	0.67	0.00
39	0.00	0.00	0.00	0.00	0.00
40	0.00	0.00	0.00	0.00	0.00
41	0.00	0.00	0.00	0.00	1.54
42	0.00	0.00	0.00	0.00	1.54
43	0.00	0.00	0.00	0.00	0.00
44	0.00	0.00	0.00	0.00	0.00
45	0.00	0.00	0.00	0.00	1.54
46	0.00	0.00	0.00	0.00	0.00
47	0.00	0.00	0.00	0.00	0.00
48	0.00	0.00	0.00	0.00	0.00
49	0.00	0.00	0.00	0.00	0.00
50	0.00	0.00	0.00	0.00	0.00
51	0.00	0.00	0.00	0.00	1.54
