Wert	Frequency	Kommuliert
0	399	399
5	1	400
9	1	401
10	4	405
11	1	406
12	2	408
15	4	412
20	16	428
25	3	431
30	13	444
35	1	445
40	17	462
45	1	463
50	28	491
60	9	500
70	5	505
74	1	506
75	1	507
80	8	515
90	6	521
95	1	522
100	26	548
120	7	555
130	2	557
140	3	560
150	30	590
160	3	593
170	3	596
180	3	599
190	1	600
200	65	665
219	1	666
220	2	668
225	1	669
230	1	670
240	1	671
250	23	694
256	1	695
260	2	697
270	2	699
280	2	701
290	1	702
300	49	751
320	1	752
330	2	754
340	1	755
350	5	760
357	1	761
360	1	762
362	1	763
375	1	764
380	2	766
399	1	767
400	36	803
450	8	811
460	1	812
499	1	813
500	37	850
520	1	851
550	1	852
560	1	853
590	1	854
600	24	878
650	3	881
675	1	882
700	11	893
750	4	897
780	1	898
790	1	899
799	1	900
800	17	917
850	3	920
900	7	927
930	1	928
970	1	929
1000	29	958
1100	3	961
1150	1	962
1200	10	972
1300	3	975
1399	1	976
1400	2	978
1500	15	993
1600	2	995
1700	3	998
1800	1	999
1900	1	1000
2000	9	1009
2200	1	1010
2350	1	1011
2500	3	1014
2600	1	1015
2690	1	1016
3000	2	1018
3500	1	1019
5000	1	1020
13000	1	1021
20000	1	1022
.	1393	2415
