Wert	Frequency	Kommuliert
0	36	36
2	1	37
3	1	38
5	2	40
7	2	42
10	12	54
12	1	55
15	12	67
16	1	68
17	1	69
20	21	90
24	1	91
25	9	100
30	31	131
34	1	132
35	2	134
40	16	150
45	5	155
50	65	220
55	1	221
60	32	253
65	2	255
70	23	278
75	8	286
80	34	320
82	1	321
85	1	322
90	8	330
94	1	331
95	1	332
100	129	461
105	1	462
110	2	464
120	35	499
125	2	501
130	4	505
136	1	506
140	7	513
150	89	602
160	3	605
168	1	606
170	4	610
180	12	622
200	153	775
215	1	776
230	1	777
240	1	778
250	49	827
260	3	830
270	1	831
300	98	929
330	1	930
350	14	944
360	1	945
395	1	946
400	49	995
450	5	1000
500	58	1058
550	1	1059
586	1	1060
600	18	1078
650	2	1080
700	11	1091
750	1	1092
800	7	1099
840	1	1100
850	1	1101
1000	20	1121
1060	1	1122
1200	4	1126
1252	1	1127
1300	2	1129
1800	1	1130
2300	1	1131
2600	1	1132
3500	1	1133
5000	1	1134
.	1281	2415
