"";"1985";"1";"A1";"DSL";"";"6";"";"1";"";"";"51";"9";"A3";"1994";"";"A5";"A1";"A3";"A1";"A3";"A1";"A1";"A1";"A1";"5";"2";"Half-Life (1998)";"1998";"USK16";"Star Wars: The Old Republic (2011)";"2011";"USK12";"Quake III Arena (1999)";"1999";"USK18";"Star Wars - Battlefront ()";"";"";"Starcraft (1998)";"1998";"USK12";"5J";"J";"5J";"W";"5J";"1";"1";"1";"1";"1";"";"";"";"";"";"3W";"M";"M";"W";"M";"1500";"150";"0";"10";"0";"A3";"A4";"A4";"A3";"A3";"A3";"A5";"A3";"A3";"";"";"";"";"";"";"";"2";"2";"2";"2";"4";"A1";"1";"A1";"1";"A0";"0";"A1";"1";"A1";"1";"A0";"0";"A0";"0";"A1";"1";"A1";"0";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"1";"4";"1";"0";"1";"0";"1";"0";"0";"4";"A2";"";"";"";"";"";"";"";"";"";"";"N";"A3";"J";"A2";"J";"A3";"J";"A3";"N";"A1";"J";"A1";"N";"A1";"N";"A2";"N";"A2";"J";"A1";"N";"A1";"J";"J";"J";"J";"J";"J";"J";"J";"J";"J";"3";"3";"3";"3";"5";"3";"3";"4";"0";"2";"A2";"1";"A1";"1";"A1";"1";"A2";"1";"A2"
"";"";"";"";"";"";"";"";"";"";"";"27";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";" ()";"";"";" ()";"";"";" ()";"";"";" ()";"";"";" ()";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";""
"?";"1982";"2";"A1";"DSL";"";"16";"";"1";"";"";"97";"10";"A1";"1993";"A1";"A5";"A1";"A5";"A1";"A1";"A1";"A2";"A2";"A2";"45";"2";"Witcher 3 ()";"";"";"Assasins Creed Sindycate ()";"";"";"Life is Strange ()";"";"";"Dragon Age: Inquisition (2014)";"2014";"USK16";"Dreamfall Chapters: Book One - Reborn (2014)";"2014";"USK12";"J";"T";"J";"J";"J";"1";"1";"2";"1";"1";"";"";"";"";"";"1T";"W";"W";"";"3T";"700";"500";"0";"50";"0";"A1";"A1";"A1";"A1";"A1";"A5";"A5";"A1";"A1";"";"";"";"";"";"";"";"1";"1";"1";"1";"5";"A3";"";"";"2";"";"1";"A2";"2";"";"0";"A2";"1";"";"0";"";"";"A3";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"2";"4";"1";"1";"0";"1";"1";"1";"0";"4";"A1";"";"";"";"";"";"";"";"";"";"";"N";"";"N";"";"J";"";"J";"";"J";"";"J";"";"J";"";"N";"";"N";"";"N";"";"J";"";"N";"N";"J";"J";"N";"N";"N";"N";"J";"J";"4";"2";"5";"5";"5";"2";"4";"5";"0";"2";"";"3";"";"1";"";"3";"";"3";""
"";"1989";"1";"A1";"DSL";"";"16";"";"1";"";"";"84";"7";"A3";"1994";"A1";"A5";"A1";"A1";"A1";"A1";"A1";"A5";"A1";"A1";"5";"2";"Assassin's Creed - Syndicate ()";"";"";"Landwirtschafts-Simulator 2015 (2015)";"2015";"USK0";"Sniper Elite III (2014)";"2014";"USK18";"Fallout 4 (2015)";"2015";"USK18";"The Elder Scrolls V: Skyrim (2011)";"2011";"USK16";"W";"M";"M";"M";"Q";"1";"1";"1";"1";"1";"";"";"";"";"";"1T";"3T";"3T";"3T";"W";"600";"800";"0";"200";"0";"A2";"A3";"A3";"A1";"A2";"A1";"A4";"A3";"A3";"";"";"";"";"";"";"";"1";"2";"3";"4";"4";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"";"";"";"";"";"";"";"";"";"1";"1";"3";"2";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"";"";"A5";"A5";"A5";"A1";"A5";"A1";"A4";"A5";"A5";"A5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"J";"N";"J";"G";"J";"G";"N";"G";"J";"N";"3";"4";"3";"5";"3";"1";"3";"3";"0";"4";"";"3";"A1";"2";"A2";"5";"";"1";"A2"
"";"1996";"1";"A1";"DSL";"";"50";"";"1";"";"";"99";"8";"A3";"2010";"A1";"A4";"A1";"A1";"A1";"A1";"A1";"A2";"A1";"A1";"40";"2";"Minecraft (2010)";"2010";"";"Assassin's Creed: Unity (2014)";"2014";"USK16";"Grand Theft Auto 5 (PC) ()";"";"";"Fallout 4 (2015)";"2015";"USK18";"Rainbow Six Siege ()";"";"";"J";"Q";"M";"M";"M";"1";"1";"1";"1";"1";"";"";"";"";"";"3T";"W";"1T";"3W";"W";"375";"1500";"0";"150";"15";"A5";"A5";"A5";"A1";"A3";"A3";"A4";"A2";"A3";"";"";"";"";"";"";"";"1";"2";"2";"3";"3";"A2";"1";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"1";"1";"0";"0";"";"A5";"A3";"A3";"A2";"A1";"A1";"A4";"A2";"A4";"A5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"J";"J";"J";"G";"G";"G";"J";"J";"J";"3";"2";"3";"3";"2";"2";"2";"3";"0";"1";"A2";"1";"A2";"1";"A2";"3";"A2";"1";"A2"
"EA";"1965";"2";"A1";"DSL";"";"6";"";"1";"";"";"13";"1";"A1";"1983";"A1";"A5";"A1";"A1";"A1";"A1";"A1";"A1";"A4";"A1";"15";"1";"Dishonored: Die Maske des Zorns (2012)";"2012";"USK18";"AC Syndicate ()";"";"";"Call of Duty: Black Ops 3 ()";"";"";" ()";"";"";" ()";"";"";"J";"T";"M";"";"";"1";"2";"1";"";"";"Win";"Win";"Win";"";"";"";"";"";"";"";"370";"200";"0";"0";"0";"A2";"A4";"A4";"A1";"A2";"A2";"A5";"A1";"A3";"";"";"";"";"";"";"";"2";"1";"1";"4";"5";"A1";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"";"";"";"";"";"";"";"";"";"1";"1";"1";"3";"2";"2";"1";"2";"0";"0";"0";"0";"0";"0";"";"";"A4";"A4";"A4";"A4";"A4";"A5";"A5";"A5";"A5";"A5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"J";"N";"N";"G";"J";"N";"J";"N";"J";"N";"3";"2";"2";"1";"3";"1";"3";"1";"1";"1";"A2";"3";"A2";"2";"A2";"1";"A2";"2";"A2"
"?";"1981";"1";"A1";"DSL";"";"16";"";"1";"";"";"19";"7";"A3";"1994";"A1";"A5";"A1";"A1";"A3";"A1";"A1";"A2";"A1";"A1";"";"1";"Rift (2011)";"2011";"USK12";"Starcraft 2 - LotV ()";"";"";" ()";"";"";" ()";"";"";" ()";"";"";"J";"W";"";"";"";"1";"1";"";"";"";"Win";"Win";"";"";"";"";"";"";"";"";"400";"30";"30";"60";"";"A1";"A3";"A2";"A1";"A2";"A1";"A5";"A3";"A3";"";"";"";"";"";"";"";"2";"2";"2";"3";"4";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"1";"";"";"";"";"";"";"";"";"";"1";"1";"1";"2";"2";"3";"1";"";"0";"0";"0";"0";"0";"0";"";"";"A4";"A3";"A4";"A3";"A5";"A2";"A4";"A4";"A5";"A5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"J";"N";"J";"G";"J";"N";"J";"N";"J";"N";"3";"1";"1";"3";"3";"1";"3";"2";"0";"4";"A2";"5";"A2";"4";"A2";"3";"A2";"3";"A2"
"WoP";"1981";"2";"A1";"";"";"";"";"1";"";"";"18";"8";"A1";"1991";"A1";"A4";"A1";"A1";"A1";"A1";"A1";"A1";"A1";"A1";"10";"1";"Suikoden 2 ()";"";"";"DSA-Schicksalsklinge ()";"";"";"Free Cell ()";"";"";"Mahjong (2012)";"2012";"USK12";"(???) Spider Solitaire ()";"";"";"5J";"5J";"J";"5J";"J";"5";"2";"1";"1";"1";"Sony";"Win";"Win";"Win";"Win";"";"";"";"";"";"0";"10";"0";"0";"0";"A5";"A5";"A5";"A2";"A5";"A4";"A5";"A1";"A3";"";"";"";"";"";"";"";"2";"2";"1";"5";"5";"A0";"2";"A2";"1";"A0";"2";"A0";"1";"A0";"1";"A0";"0";"A0";"0";"A0";"0";"A0";"1";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"3";"2";"2";"0";"0";"0";"0";"0";"0";"";"";"A5";"A5";"A4";"A2";"A3";"A3";"A4";"A4";"A3";"A4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"J";"N";"J";"N";"J";"J";"J";"J";"J";"J";"1";"2";"5";"5";"5";"2";"5";"2";"0";"4";"A1";"5";"A1";"4";"A2";"4";"A2";"2";"A2"
"VDVC";"1984";"1";"A1";"DSL";"";"";"";"1";"";"";"58";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";" ()";"";"";" ()";"";"";" ()";"";"";" ()";"";"";" ()";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";""
"?";"1989";"2";"A1";"DSL";"";"50";"";"1";"";"";"35";"10";"A1";"1992";"A1";"A3";"A1";"A5";"A4";"A1";"A4";"A3";"A1";"A1";"20";"1";"HungryCat Mahjong ()";"";"";"The Witcher: Wild Hunt ()";"";"";"Mario Kart Wii (2008)";"2008";"USK0";"Animal Crossing: New Leaf (2013)";"2013";"USK0";" ()";"";"";"W";"T";"J";"J";"";"1";"1";"1";"1";"";"Touch";"Sony";"Wii";"Hand";"";"";"";"";"";"";"50";"500";"0";"60";"0";"A2";"A4";"A3";"A2";"A2";"A2";"A5";"A1";"A3";"";"";"";"";"";"";"";"1";"1";"1";"2";"5";"A0";"1";"A0";"0";"A0";"0";"A0";"0";"A0";"2";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"3";"2";"3";"2";"0";"0";"0";"0";"0";"0";"";"";"A4";"A1";"A2";"A1";"A1";"A1";"A3";"A2";"A1";"A2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"J";"J";"J";"N";"J";"G";"J";"G";"J";"J";"3";"5";"5";"5";"5";"3";"4";"4";"0";"4";"A1";"5";"A1";"4";"A2";"2";"A2";"3";"A2"
