"Unbekannter Titel"	"Nennungen"	"Schreibweise"	"Release"	"Freigabe"	"Kommentar"
"0ad"	1	"0 A.D."		"."	""
"10 Phases"	1	"(???) 10 Phases"		"."	""
"250+ Solitär"	1	""		"."	""
"60 Seconds"	1	"60 Seconds!"	2015	"."	""
"A.V.A. - Alliance of Valiant Arms"	1	"A.V.A - Alliance of Valiant Arms"		"."	""
"Ace Attorney"	1	"Ace Attorney: Phoenix Wright Trilogy HD"		"."	""
"ADOM"	1	"Ancient Domains of Mystery"	1994	"."	""
"Adr1ft (olulus)"	1	"Adrift"		"."	""
"Adrift"	1	""	2016	"."	""
"AdventureQuest 3D"	1	"AdventureQuest 3D"	2016	"."	""
"Age of Conan Online"	1	""		"."	"Age of Conan: Hyborian Adventures"
"AGEODs Civil War 2"	1	""		"."	"Civil War II"
"AiWar"	1	"(???) AiWar"		"."	""
"Alice's Patchwork"	1	"Alice's Patchwork"	2016	"."	""
"Alphabear"	1	""	2015	"."	""
"Anno 1404 Königsedition"	1	""		"."	"Anno 1404"
"Aoe 2"	1	"Age of Empires II: The Age of Kings"		"."	""
"Arche Age"	1	"ArcheAge"	2013	"."	""
"Ares EX"	1	"A.R.E.S.: Extinction Agenda EX"		"."	"A.R.E.S.: Extinction Agenda EX (Steam)"
"Ark Survival Evolve"	1	"Ark: Survival Evolved"		"."	""
"Ark:Survival evolved"	2	"Ark: Survival Evolved"		"."	"Ark: Survival Evolved (Steam, Early Access)"
"Assasians Creed 2"	1	"Assassin’s Creed II"		"."	""
"assassin creed alle teile"	1	"(???) assassin creed alle teile"		"."	""
"Assassins Creed Botherhood"	1	"Assassin's Creed: Brotherhood"		"."	""
"Assetto Cors"	1	"Assetto Corsa"		"."	""
"Astroneer"	1	"ASTRONEER"		"."	""
"ASTRONEER"	1	""	2016	"."	""
"Atelier Sophie"	1	"Atelier Sophie: The Alchemist of the Mysterious Book"	2015	"."	""
"Atlas reactor"	1	"Atlas Reactor"		"."	""
"Atlas Reactor"	1	""	2016	"usk12"	""
"Attack on Titan / A.O.T. Wings of Freedom"	1	""		"."	"Attack on Titan/ A.O.T.: Wings of Freedom (Steam)"
"Automobilista"	1	""	2016	"."	""
"BAM VR (Bullets and More)"	1	"Bullets And More VR - BAM VR"	2016	"."	""
"Banner Saga 2"	1	""	2016	"."	""
"Bastard Bonds"	1	""	2016	"."	""
"Batman - Arkham Knight"	1	"Batman: Arkham Knight"		"."	""
"Batman - The Telltale Series"	3	"Batman: A Telltale Series"		"."	""
"Batman Akrham Knight"	1	"Batman: Arkham Knight"		"."	""
"Batman Arham Knight"	1	"Batman: Arkham Knight"		"."	""
"Batman Arkam Asylum (Remastered)"	1	"Batman: Return to Arkham (Arkham Asylum)"	2016	"usk16"	""
"Batman Arkam City (Remastered)"	1	"Batman: Return to Arkham (Arkham City)"	2016	"usk16"	""
"Batman Telltale"	3	"Batman: A Telltale Series"	2016	"."	""
"Batman: The Telltale Series"	1	"Batman: A Telltale Series"		"."	""
"Battelfield 1"	1	"Battlefield 1"		"."	""
"Battfield 4"	1	""		"."	""
"Battle Brothers"	1	""	2017	"."	""
"Battle realms Complete"	1	"Battle Realms"	2001	"usk12"	""
"battlefiel 1"	1	"Battlefield 1"		"."	""
"Battlefield One"	2	"Battlefield 1"		"."	""
"Battlerite"	2	""	2016	"."	""
"Battlerites"	1	"Battlerite"		"."	""
"Battlestick"	1	"BattleStick"	2016	"."	""
"Batttlefield: Bad Company 2"	1	"Battlefield: Bad Company 2"		"."	""
"Beam.NG Drive"	1	"BeamNG.drive"	2013	"."	""
"Best Fiends"	1	"Best Fiends Puzzle-Abenteuer"	2014	"usk0"	""
"BF1"	3	""		"."	"Battlefield 1"
"Binding of Isaac:Rebirth"	1	"The Binding of Isaac: Rebirth"		"."	""
"Bioshock 2 (Remastered)"	1	""	2016	"usk18"	""
"Bioshock Series"	1	"(???) Bioshock Series"		"."	""
"birth of the empire"	1	"Birth of the Empires"	2006	"."	""
