"0h h1"	2015	"."
"4 Bilder 1 Wort"	"."	"USK6"
"8 Ball Pool Billard"	"."	"USK0"
"Academagia: The Making of Mages"	2010	"."
"Ace of Spades: Battle Builder"	2012	"."
"Action Henk"	2015	"."
"AdVenture Capitalist"	2015	"."
"Adventure Town"	"."	"USK0"
"Age of Empires: Castle Siege"	2014	"USK12"
"Amazing Ninja"	"."	"USK0"
"ArcheAge"	2013	"."
"ArcheBlade"	2014	"."
"ACE - Arena: Cyber Evolution"	2014	"."
"Asphalt 8: Airborne"	"."	"USK6"
"Aura Kingdom"	2013	"."
"A.V.A - Alliance of Valiant Arms"	2011	"."
"Azkend"	"."	"."
"Battle Islands"	2014	"USK12"
"Bike Rivals"	"."	"USK0"
"BlackShot"	2009	"."
"Blendoku"	"."	"USK0"
"Blitz Brigade"	"."	"USK16"
"Blobby Volley"	2000	"."
"Blobby Volley 2"	2006	"."
"Blockstorm"	2015	"."
"Bloons TD 5"	2012	"."
"Boom Beach"	2014	"USK12"
"Brawlhalla"	2015	"."
"Bubble Witch 2 Saga"	"."	"USK0"
"Candy Crush Saga"	2012	"USK0"
"Candy Crush Soda Saga"	2014	"USK0"
"Castleville"	2011	"USK0"
"Castle Clash"	"."	"USK6"
"Crush the Castle"	2009	"."
"Chess (Jeroen Carolus)"	"."	"USK0"
"Clash of Clans"	2012	"USK6"
"Clicker Heroes"	2015	"."
"Clonk Rage"	2007	"USK6"
"Construction Simulator 2015"	2014	"."
"Cookie Clicker"	2013	"."
"CosmicBreak"	2008	"."
"Craft The World"	2014	"."
"Crawl"	2014	"."
"Criminal Case"	2012	"USK12"
"CSI: Hidden Crimes"	"."	"USK12"
"Achtung, die Kurve! 2"	2010	"."
"Cut the Rope"	2010	"USK0"
"Cytus"	2012	"USK0"
"Daedalus - No Escape"	2014	"."
"Darkness Reborn"	"."	"USK6"
"Ich Einfach Unverbesserlich"	"."	"USK6"
"Devil's Attorney"	"."	"USK12"
"Die Siedler Online"	2012	"USK0"
"Die Stämme"	2003	"."
"Dirks kostenloser Fussballmanager"	2009	"."
"Dirty Bomb"	2015	"."
"Dofus"	2004	"."
"Doodle God"	2015	"."
"Defense of the Ancients"	2003	"."
"Dungeon Defenders II"	2014	"."
"Dungeon Hunter 3"	"."	"USK12"
"Dungeon Hunter 4"	"."	"USK16"
"Dungeon of Slyn"	"."	"USK6"
"Dungeon Raid"	"."	"."
"Slaves to Armok II: Dwarf Fortress"	2006	"."
"Earn to Die"	"."	"USK16"
"EDGE Extended"	"."	"."
"Elder Sign: Omens"	2011	"."
"Elsword"	"."	"."
"Emoji Quiz"	"."	"."
"Epic Cards Battle"	2015	"."
"Estranged: Act I"	2014	"."
"Factorio"	"."	"."
"Family Guy: Mission Sachensuche"	"."	"USK16"
"FarmVille"	2009	"."
"FarmVille 2"	"."	"."
"Farm Heroes Saga"	"."	"USK0"
"Fat Princess: Piece of Cake"	"."	"USK12"
"FIFA World"	2013	"."
"Fistful of Frags"	2014	"."
"Flappy Crush: Bird Smash"	"."	"USK12"
"Floating Point"	2014	"."
"Flow Free: Bridges"	"."	"USK0"
"Forge of Empires"	2012	"USK6"
"FreeCol"	2003	"."
"From the Depth"	2014	"."
"Fuchstreff: Doppelkopf für Füchse"	"."	"."
"Galaxy on Fire"	2006	"."
"Game of Thrones Ascent"	2013	"USK6"
"Gang Beasts"	2014	"."
"Gardenscapes"	"."	"."
"Gear Up"	2015	"."
"Gender Bender DNA Twister Extreme"	2014	"."
"Geometry Dash"	2014	"."
"Godville"	2010	"USK12"
"Goodgame Empire"	2012	"USK6"
"Grotesque Tactics 2 – Dungeons and Donuts"	2011	"USK12"
"Guilty Gear Xrd"	2014	"."
"Happy Wheels"	2010	"."
"Haxball"	"."	"."
"Hay Day"	2012	"USK0"
"Helden von Camelot"	"."	"USK0"
"Heroes Charge"	"."	"USK6"
"Heroes of Dragon Age"	2013	"USK12"
"Heroes of the Storm"	2015	"USK12"
"Heroine's Quest: The Herald of Ragnarok"	2014	"."
"Hex: Shards of Fate"	3000	"."
"Highway Racer 3D"	"."	"."
"Ice Age: Die Siedlung"	"."	"USK6"
"Icebreaker"	1995	"."
"Idle Oil Tycoon"	"."	"USK0"
"Imouto Ijime"	2009	"."
"Infinity Wars"	2014	"."
"InflationRPG"	"."	"USK0"
"Ingress"	2012	"."
"InWorldz"	2009	"."
"iRacing.com"	2015	"."
"Kantai Collection"	2013	"."
"Kingdom of Loathing"	2003	"."
"Landmark"	2014	"."
"Life is Feudal: Your Own"	2014	"."
"Lux Touch"	"."	"."
"Magicite"	2014	"."
"Marvel Heroes 2015"	2014	"."
"Marvel Super Heroes vs. Street Fighter"	1997	"."
"Max & Mario - Die Rache des Dr. Düster"	2001	"."
"Melody's Escape"	2014	"."
"Might & Magic Duel of Champions"	2013	"USK6"
"Mines of Mars"	"."	"USK12"
"Minetest"	2011	"."
"Mini Metro"	2014	"."
"MiniDayZ"	2014	"."
"Monopoly Plus"	"."	"USK0"
"Monstermind"	2012	"."
