Titel	Anzahl
'fallout 4'	327
'killing floor 2'	92
'rocket league'	85
'the witcher 3'	85
'just cause 3'	59
'dying light'	52
'witcher 3'	45
'life is strange'	42
'star wars battlefront'	32
'fifa 16'	25
'the witcher 3: wild hunt'	23
'world of warships'	20
'anno 2205'	18
'call of duty black ops 3'	18
'rainbow six siege'	18
'warhammer: end times - vermintide'	18
'ark: survival evolved'	17
'bloodborne'	17
'undertale'	17
'assassin's creed syndicate'	16
'adventure capitalist'	15
'cities: skylines'	15
'assassins creed syndicate'	14
'cities skylines'	14
'metal gear solid v: the phantom pain'	13
'pillars of eternity'	13
'call of duty: black ops 3'	12
'ark survival evolved'	11
'dirt rally'	11
'mortal kombat x'	11
'armored warfare'	10
'call of duty: black ops iii'	10
'xenoblade chronicles x'	10
'metal gear solid 5'	9
'battlefield hardline'	8
'hatred'	8
'helldivers'	8
'ori and the blind forest'	8
'ark'	7
'black ops 3'	7
'grav'	7
'super mario maker'	7
'tales of zestiria'	7
'total war attila'	7
'darkest dungeon'	6
'don't starve together'	6
'hand of fate'	6
'rise of the tomb raider'	6
'soma'	6
'starcraft 2 legacy of the void'	6
'the witcher 3 wild hunt'	6
'total war: attila'	6
'victor vran'	6
'brawlhalla'	5
'call of duty black ops iii'	5
'dragon quest heroes'	5
'hard west'	5
'metal gear solid v'	5
'splatoon'	5
'starwars battlefront'	5
'tabletop simulator'	5
'the binding of isaac: afterbirth'	5
'warhammer vermintide'	5
'wolfenstein the old blood'	5
'zombie army trilogy'	5
'battlefront'	4
'cities skyline'	4
'fallout shelter'	4
'h1z1'	4
'mgs v'	4
'planetbase'	4
'stasis'	4
'subnautica'	4
'the elder scrolls online: tamriel unlimited'	4
'time clickers'	4
'until dawn'	4
'wwe 2k16'	4
'ac syndicate'	3
'assassin's creed: syndicate'	3
'attila total war'	3
'axiom verge'	3
'borderland 2'	3
'chroma squad'	3
'fallout4'	3
'hacknet'	3
'hunie pop'	3
'lego jurassic world'	3
'magic duels'	3
'metal gear solid 5 the phantom pain'	3
'metal gear solid v - the phantom pain'	3
'monster hunter 4 ultimate'	3
'nba 2k16'	3
'one piece pirate warriors 3'	3
'party hard'	3
'rebel galaxy'	3
'reign of kings'	3
'resident evil revelations 2'	3
'squad'	3
'stranded deep'	3
'the order 1886'	3
'the witcher iii'	3
'the witcher® 3: wild hunt'	3
'wolfenstein: the old blood'	3
'act of aggression'	2
'apotheon'	2
'ark - survival evolved'	2
'assassin's creed® syndicate'	2
'assassin’s creed® liberation hd'	2
'batman™: arkham knight'	2
'beyond eyes'	2
'binding of isaac: afterbirth'	2
'black mirror 2'	2
'blood bowl 2'	2
'buzz aldrin's space program manager'	2
'catlateral damage'	2
'cod black ops 3'	2
'contradiction'	2
'counter strike - global offensive'	2
'counter strike globale offensive'	2
'counterstrike : go'	2
'counterstrike:global offensive'	2
'creativerse'	2
'cs-go'	2
'dark souls™ ii: scholar of the first sin'	2
'devilian'	2
'dirt ralley'	2
'disgaea 5'	2
'divinity: original sin - enhanced edition'	2
'doom closed alpha'	2
'dr. langeskov	2
'dungeons 2'	2
